Entity_Name,Type,Source,QID,Page_Numbers,Original_Files,Original_Count
Duel between Aeneas and Mezentius,E22 Man-Made Object,Handmade,Q110872609,,work-English_table.csv,1
"Dughet, Gaspard (Gaspard Poussin)",E21 Person,Index,,"12, 67, 113, 137, 143, 155",D_refined.csv,1
Duplex Intercessio,E22 Man-Made Object,Handmade,A93,,work-English_table.csv,1
"Duquesnoy, François",E21 Person,Index,,"36, 104, 176, 179",D_refined.csv,1
"Durazzo, Marchese Girolamo",E22 Man-Made Object,Index,,213,D_refined.csv,1
Dusseldorf,E53 Place,Index,,"281, 282, 283, 284",D_refined.csv,1
Dutch artists,E74 Group,Index,,20,D_refined.csv,1
Dux,E53 Place,Handmade,Q3621,,gio-English_table.csv,1
"Duyvelant, Jacques",E21 Person,Index,,206,D_refined.csv,1
Ecstasy of Saint Teresa,E22 Man-Made Object,Handmade,Q1333433,,work-English_table.csv,1
Edgar Wind,E21 Person,Handmade,Q72294,,name-English_table.csv,1
Edgar de Vaes,E21 Person,Handmade,R39,,name-English_table.csv,1
Edgwareand,E53 Place,Handmade,G113,,gio-English_table.csv,1
Edmond Bonnaffé,E21 Person,Handmade,Q18011936,,name-English_table.csv,1
Edoardo Lombardo,E21 Person,Handmade,R40,,name-English_table.csv,1
Education of the Virgin,E22 Man-Made Object,Handmade,A333,,work-English_table.csv,1
Edward Coke,E21 Person,Handmade,Q332435,,name-English_table.csv,1
Edward Croft Murray,E21 Person,Handmade,Q20876083,,name-English_table.csv,1
Edward Gibbon,E21 Person,Handmade + Index,Q161841,245n,G_refined.csv; name-English_table.csv,2
Edward Poore,E21 Person,Handmade + Index,Q75928552,374,P_refined.csv; name-English_table.csv,2
Edward Wright,E21 Person,Handmade,Q1294162,,name-English_table.csv,1
Edward Young,E21 Person,Handmade + Index,Q507699,370,UVWXYZ_refined.csv; name-English_table.csv,3
"Effetti, Antonio degli",E21 Person,Index,,"156, 157; 157",E_refined.csv,2
El Escorial,E53 Place,Handmade,G37,,gio-English_table.csv,1
Elena Bassi,E21 Person,Handmade,Q3721387,,name-English_table.csv,1
Elena Crinò,E21 Person,Handmade,R41,,name-English_table.csv,1
Eleonora Zambeccari,E21 Person,Handmade,R42,,name-English_table.csv,1
Elijah,E21 Person,Handmade,Q133507,,name-English_table.csv,1
Elijah carried to Heaven in a Chariot of Fire,E22 Man-Made Object,Handmade,A415,,work-English_table.csv,1
Elisabeth Dhanens,E21 Person,Handmade,Q18346470,,name-English_table.csv,1
Elizabeth Du Gue Trapier,E21 Person,Handmade,Q16271130,,name-English_table.csv,1
Elizabeth Felton,E21 Person,Handmade,R43,,name-English_table.csv,1
Elizabeth Yates,E21 Person,Handmade,Q4990813,,name-English_table.csv,1
Elizabetta Antoniazzi Rossi,E21 Person,Handmade,R44,,name-English_table.csv,1
Ellis Waterhouse,E21 Person,Handmade,Q3051533,,name-English_table.csv,1
Elpidio Benedetti,E21 Person,Handmade,Q60628565,,name-English_table.csv,1
Embassy of Spain in Rome,E53 Place,Handmade,Q55101266,,gio-English_table.csv,1
Emil Kauffmann,E21 Person,Handmade,Q31789636,,name-English_table.csv,1
Emile Baudson,E21 Person,Handmade,R45,,name-English_table.csv,1
Emilia,E53 Place,Handmade,Q1135779,,gio-English_table.csv,1
Emilio Amedeo De Tipaldo,E21 Person,Handmade,Q3724329,,name-English_table.csv,1
Emilio Bonomelli,E21 Person,Handmade,Q93270100,,name-English_table.csv,1
Emilio Lavagnino,E21 Person,Handmade,Q3724437,,name-English_table.csv,1
Emilio Morpurgo,E21 Person,Handmade,Q3724468,,name-English_table.csv,1
Emily Temple,E21 Person,Handmade,Q5372252,,name-English_table.csv,1
Emmanuele Antonio Cicogna,E21 Person,Handmade,Q1338457,,name-English_table.csv,1
"Emo, Procurator",E21 Person,Index,,245n,E_refined.csv,1
Emperor Henry IV Kneeling Before Pope Gregory VII,E22 Man-Made Object,Handmade,Q19898046,,work-English_table.csv,1
English patronage,E28 Conceptual Object,Index,,"177, 178, 195, 196, 197, 198, 199; 278, 279, 280, 281, 286, 287, 288, 289, 290, 291; 286",E_refined.csv,4
English tourists in Italy,E28 Conceptual Object,Index,,197,E_refined.csv,1
Enlightenment in Italy,E28 Conceptual Object,Index,,"317, 318, 319; 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331; 318, 326, 327",E_refined.csv,3
Enrico Brol,E21 Person,Handmade,R46,,name-English_table.csv,1
Enrico Carusi,E21 Person,Handmade,Q21207482,,name-English_table.csv,1
Enrico Narducci,E21 Person,Handmade,Q19999223,,name-English_table.csv,1
Enrico Zuccalli,E21 Person,Handmade + Index,Q124421,193,UVWXYZ_refined.csv; name-English_table.csv,2
Enriqueta Harris,E21 Person,Handmade + Index,Q3054716,190n,H_refined.csv; name-English_table.csv,2
"Entry of the Count of Colloredo, the Imperial ambassador",E22 Man-Made Object,Handmade,A387,,work-English_table.csv,1
Enzo Bentivoglio,E21 Person,Handmade + Index,Q21548348,"48, 49, 50, 55, 182",B_refined.csv; name-English_table.csv,2
Enzo Crea,E21 Person,Handmade,R47,,name-English_table.csv,1
Epicurus,E21 Person,Handmade + Index,Q43216,370,E_refined.csv; name-English_table.csv,2
Equestrian Statue of Henry IV,E22 Man-Made Object,Handmade,A339,,work-English_table.csv,1
Equestrian Statue of Louis XIV,E22 Man-Made Object,Handmade,Q3497625,,work-English_table.csv,1
Ercole Ferrata,E21 Person,Handmade + Index,Q1348674,149,F_refined.csv; name-English_table.csv,2
Ercole Graziani the Younger,E21 Person,Handmade,Q5385225,,name-English_table.csv,1
Ercole Lelli,E21 Person,Handmade + Index,Q3056021,351,L_refined.csv; name-English_table.csv,2
Ercole Procaccini the Elder,E21 Person,Handmade,Q3056023,,name-English_table.csv,1
"Erlach, Fischer von",E21 Person,Index,,201,E_refined.csv,1
Erminia,E21 Person,Handmade,Q17324876,,name-English_table.csv,1
Ernst Gombrich,E21 Person,Handmade,Q78504,,name-English_table.csv,1
Erwin Panofsky,E21 Person,Handmade,Q57656,,name-English_table.csv,1
Esau,E21 Person,Handmade,Q220822,,name-English_table.csv,1
Escape from Egypt,E22 Man-Made Object,Handmade,A481,,work-English_table.csv,1
"Essex, Lord",E21 Person,Index,,31n,E_refined.csv,1
Este,E53 Place,Handmade,G125,,gio-English_table.csv,1
"Este, Azzo, Marchese d'",E22 Man-Made Object,Index,,366,E_refined.csv,1
"Este, Isabella d'",E21 Person,Index,,175,E_refined.csv,1
Estella Brunetti,E21 Person,Handmade,R48,,name-English_table.csv,1
Esther,E21 Person,Handmade,Q732413,,name-English_table.csv; work-English_table.csv,2
Esther before Ahasuerus,E22 Man-Made Object,Handmade,Q26492606,,work-English_table.csv,1
"Estrées, Duc d'",E21 Person,Index,,200,E_refined.csv,1
Et in Arcadia ego,E22 Man-Made Object,Handmade,Q15805858,,work-English_table.csv,1
Etchings of Oriental-style Heads,E22 Man-Made Object,Handmade,A431,,work-English_table.csv,1
Eteocles,E21 Person,Handmade,Q506550,,name-English_table.csv,1
Eteocles and Polynices,E22 Man-Made Object,Handmade,A432,,work-English_table.csv,1
Euclid,E21 Person,Handmade,Q8747,,name-English_table.csv,1
"Eugene, Prince",E21 Person,Index,,,E_refined.csv,1
Eugène Michaud,E21 Person,Handmade,Q23806382,,name-English_table.csv,1
Europa,E22 Man-Made Object,Handmade,A388,,work-English_table.csv,1
European scientific societies,E53 Place,Handmade,G72,,gio-English_table.csv,1
Eusebio Della Lena,E21 Person,Handmade + Index,Q104804972,375,L_refined.csv; name-English_table.csv,2
Eustachio Manfredi,E21 Person,Handmade + Index,Q3541151,347,M_refined.csv; name-English_table.csv,2
Eustachio Zanotti,E21 Person,Handmade + Index,Q3735039,"347, 354n",UVWXYZ_refined.csv; name-English_table.csv,2
Evelina Borea,E21 Person,Handmade,Q3735302,,name-English_table.csv,1
Everhard Jabach,E21 Person,Handmade,Q103934,,name-English_table.csv,1
"Exeter, 5th Lord",E21 Person,Index,,"197, 198, 211",E_refined.csv,1
Ezekiel,E21 Person,Handmade,Q194064,,name-English_table.csv,1
Fabia Borroni,E21 Person,Handmade,Q55946258,,name-English_table.csv,1
Fabio Canal,E21 Person,Handmade + Index,Q3737627,254n,C_refined.csv; name-English_table.csv,2
Fabio Mauroner,E21 Person,Handmade,Q3737779,,name-English_table.csv,1
Fabio de Fabiis,E21 Person,Handmade,R49,,name-English_table.csv,1
Fabio degli Abati Olivieri,E21 Person,Handmade,Q3063732,,name-English_table.csv,1
Fabrizio Moretti,E21 Person,Handmade,Q47542159,,name-English_table.csv,1
"Fabrizio Pignatelli d'Aragona, 10th Duke of Monteleone, 9th Marquess of the Valley of Oaxaca",E21 Person,Handmade,Q105963506,,name-English_table.csv,1
Fabrizio Spada,E21 Person,Handmade,Q1355246,,name-English_table.csv,1
Fabrizio Tarso,E21 Person,Handmade,R50,,name-English_table.csv,1
Facade of S. Maria del Giglio,E22 Man-Made Object,Handmade,A94,,work-English_table.csv,1
"Facciolati, Abate",E21 Person,Index,,"301, 322",F_refined.csv,1
Faith crushing Idolatry,E22 Man-Made Object,Handmade,A433,,work-English_table.csv,1
Fame Carrying the Name of Louis XIV to the Temple of Immortality,E22 Man-Made Object,Handmade,A375,,work-English_table.csv,1
Fame inscribing the glories of Louis XIV on the shoulders of Time,E22 Man-Made Object,Handmade,A397,,work-English_table.csv,1
Famiano Strada,E21 Person,Handmade + Index,Q2531858,137,S_refined.csv; name-English_table.csv,3
Family Chapels in Santa Maria Maggiore,E53 Place,Handmade,G60,,gio-English_table.csv,1
Family of Darius before Alexander the Great,E22 Man-Made Object,Handmade,A349,,work-English_table.csv,1
Fantastical Heads in the Manner of Giorgione,E22 Man-Made Object,Handmade,A95,,work-English_table.csv,1
Fantasy and reason,E28 Conceptual Object,Index,,"318, 320",F_refined.csv,1
Farnese,E53 Place,Handmade,Q138823,,gio-English_table.csv,1
Farnese Palace,E22 Man-Made Object,Index,,250,F_refined.csv,1
"Farnese, Cardinal Alessandro",E21 Person,Index,,"65, 66, 69, 78, 84, 137, 398, 399, 400",F_refined.csv,1
"Farnese, Odoardo, Duke of Parma",E21 Person,Index,,"58, 146",F_refined.csv,1
"Farnese, Ranuccio II, Duke of Parma",E21 Person,Index,,"19, 84, 92; 79, 80, 81",F_refined.csv,2
Farnesina,E53 Place,Handmade,Q3739705,,gio-English_table.csv,1
"Farsetti, Daniele",E21 Person,Index,,"363, 364",F_refined.csv,1
Fates,E22 Man-Made Object,Handmade,A96,,work-English_table.csv,1
Fausta Franchini Guelfi,E21 Person,Handmade,Q111282793,,name-English_table.csv,1
Faustina Savorgnan,E21 Person,Handmade + Index,R51,254,S_refined.csv; name-English_table.csv,2
Fausto Rughesi,E21 Person,Handmade + Index,Q124857379,69,Q-R_refined.csv; name-English_table.csv,2
Federico Barocci,E21 Person,Handmade + Index,Q316731,"26, 69, 71, 94, 268; 69",B_refined.csv; name-English_table.csv,3
Federico Borromeo,E53 Place,Handmade + Index,Q469171,151,B_refined.csv; name-English_table.csv,2
Federico Cervelli,E21 Person,Handmade + Index,Q1747554,219,C_refined.csv; name-English_table.csv,2
Federico Cesi,E21 Person,Handmade + Index,Q322023,99,C_refined.csv; name-English_table.csv,2
Federico Correr Lorenzetti,E21 Person,Handmade,R52,,name-English_table.csv,1
Federico Zeri,E21 Person,Handmade,Q1089074,,name-English_table.csv,1
Federico Zuccari,E21 Person,Handmade,Q345605,,name-English_table.csv,1
Federico da Montefeltre,E21 Person,Handmade,Q435501,,name-English_table.csv,1
Federiko Benkovi?,E21 Person,Handmade,Q1269439,,name-English_table.csv,1
"Fedini, Domenico",E21 Person,Index,,"388, 389",F_refined.csv,1
Felice Boscaratti,E21 Person,Handmade,Q5441673,,name-English_table.csv,1
Felice Salimbeni,E21 Person,Handmade + Index,Q1402999,409,S_refined.csv; name-English_table.csv,2
Felice Torelli,E21 Person,Handmade + Index,Q712531,"203, 227, 348; 389",T_refined.csv; name-English_table.csv,3
Felicita Sartori,E21 Person,Handmade + Index,Q33743656,"295, 344n",S_refined.csv; name-English_table.csv,2
Ferdinand Boyer,E21 Person,Handmade,Q62559508,,name-English_table.csv,1
"Ferdinand Maria, Elector of Bavaria",E21 Person,Handmade + Index,Q60438,193,F_refined.csv; name-English_table.csv,2
Ferdinand van den Eynde,E21 Person,Handmade,Q99237902,,name-English_table.csv,1
Ferdinando Carlo Gonzaga,E21 Person,Handmade,Q714792,,name-English_table.csv,1
Ferdinando Colonna of Stigliano,E21 Person,Handmade,Q43396952,,name-English_table.csv,1
Ferdinando Galiani,E21 Person,Handmade,Q979496,,name-English_table.csv,1
Ferdinando I de' Medici,E21 Person,Handmade,Q297483,,name-English_table.csv,1
Ferdinando Raggi,E21 Person,Handmade + Index,R53,140n,Q-R_refined.csv; name-English_table.csv,2
Ferdinando d'Adda,E21 Person,Handmade,Q1366303,,name-English_table.csv,1
Ferdinando de' Medici,E21 Person,Handmade,Q465178,,name-English_table.csv,1
Ferdinando de’ Medici,E21 Person,Handmade,Q68868116,,name-English_table.csv,1
Fernando Afán de Ribera,E21 Person,Handmade,Q1762520,,name-English_table.csv,1
Ferney,E53 Place,Handmade,G24,,gio-English_table.csv,1
Ferrante Carlo,E21 Person,Handmade + Index,Q98111606,"123, 124, 402",C_refined.csv; name-English_table.csv,2
Ferrara,E53 Place,Index,,"221, 222; 25, 48, 49, 221, 222; 48",F_refined.csv,3
"Ferrerio, Andrea",E21 Person,Index,,"221; 221, 222",F_refined.csv,3
"Ferretti, Gian Domenico",E21 Person,Index,,299,F_refined.csv,1
"Feti, Domenico",E21 Person,Index,,"175, 262, 385, 393",F_refined.csv,1
Filippo Baldinucci,E21 Person,Handmade + Index,Q979574,"17, 23, 102, 154, 158",B_refined.csv; name-English_table.csv,2
Filippo Bosdari,E21 Person,Handmade,Q112228632,,name-English_table.csv,1
Filippo Brunelleschi,E21 Person,Handmade + Index,Q174330,103,B_refined.csv; name-English_table.csv,2
Filippo Clementi,E21 Person,Handmade,Q15410619,,name-English_table.csv,1
Filippo Corsini,E21 Person,Handmade,Q3745158,,name-English_table.csv,1
Filippo Farsetti,E21 Person,Handmade + Index,Q16556042,"322, 361, 362, 363, 364, 368, 373; 362; 362, 363; 363; 364",F_refined.csv; name-English_table.csv,12
Filippo Gherardi,E21 Person,Handmade + Index,Q3071896,156,G_refined.csv; name-English_table.csv,3
Filippo Juvarra,E21 Person,Handmade + Index,Q85000,"164, 165, 202, 296, 297; 296, 297; 297",J，K_refined.csv; name-English_table.csv,4
Filippo Lauri,E21 Person,Handmade + Index,Q3071902,"19, 122n, 197",L_refined.csv; name-English_table.csv,2
Filippo Napoletano,E21 Person,Handmade + Index,Q601644,,N_refined.csv; name-English_table.csv,2
Filippo d'Angeli,E21 Person,Handmade,Q3071925,,name-English_table.csv,1
Filippo della Valle,E21 Person,Handmade + Index,Q2705609,93n,UVWXYZ_refined.csv; name-English_table.csv,2
"Filomarino, Cardinal",E21 Person,Index,,139n,F_refined.csv,1
Finding of Romulus and Remus,E22 Man-Made Object,Handmade,A337,,work-English_table.csv,1
"Fiori, Mario de' (Mario Nuzzi)",E21 Person,Index,,"8n, 20, 143",F_refined.csv,1
Fitzwilliam Museum,E53 Place,Handmade,Q1421440,,gio-English_table.csv,1
Flagstaff Glacier,E53 Place,Handmade,Q5457016,,gio-English_table.csv,1
Flaminio Corner,E21 Person,Handmade + Index,Q3746370,"214n, 274, 275; 274; 275",C_refined.csv; name-English_table.csv; work-English_table.csv,5
Flaminio Scarselli,E21 Person,Handmade,Q54854824,,name-English_table.csv,1
Flavio Chigi,E21 Person,Handmade,Q368700,,name-English_table.csv,1
Flemish artists in Rome,E74 Group,Index,,"26, 206",F_refined.csv,1
Flight into Egypt,E22 Man-Made Object,Handmade,A98,,work-English_table.csv,3
Flight of Aeneas from Troy,E22 Man-Made Object,Handmade,A100,,work-English_table.csv,1
Flora,E21 Person,Handmade,Q209644,,name-English_table.csv; work-English_table.csv,2
Florence,E53 Place,Index,,"210, 211, 212, 213, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241; 241",F_refined.csv,2
Florence Cathedral,E53 Place,Handmade,Q191739,,gio-English_table.csv,1
"Foggini, Giovan Battista",E21 Person,Index,,"233n, 283n",F_refined.csv,1
Fondamenta Foscarini,E53 Place,Handmade,G149,,gio-English_table.csv,1
Fondo di Gesù,E53 Place,Handmade,G90,,gio-English_table.csv,1
"Fontana, Conte Francesco",E53 Place,Index,,17n,F_refined.csv,1
Fontenelle,E21 Person,Index,,291n; 318,F_refined.csv,2
Fordham University,E53 Place,Handmade,Q130965,,gio-English_table.csv,1
Foresteria,E22 Man-Made Object,Handmade,A434,,work-English_table.csv,1
Forlì Cathedral,E53 Place,Handmade,G64,,gio-English_table.csv,1
Fortitude,E22 Man-Made Object,Handmade,A413,,work-English_table.csv,1
Fortune under the control of Virtue,E22 Man-Made Object,Handmade,A398,,work-English_table.csv,1
"Fortune under the control of Virtue, Justice and Peace",E22 Man-Made Object,Handmade,A102,,work-English_table.csv,1
Foscarini family,E74 Group,Index,,261,F_refined.csv,2
Foscarini palace,E22 Man-Made Object,Index,,259,F_refined.csv,1
"Fountaine, Sir Andrew",E22 Man-Made Object,Index,,"279; 279, 343n",F_refined.csv,2
Four Evangelists,E22 Man-Made Object,Handmade,A103,,work-English_table.csv,1
Four Rivers Fountain,E53 Place,Handmade,Q655470,,gio-English_table.csv,1
Fra Bartolomeo,E21 Person,Handmade,Q7780,,name-English_table.csv,1
Fra Galgario,E21 Person,Handmade,Q1440305,,name-English_table.csv,1
"Fragonard, Jean Honoré",E21 Person,Index,,332,F_refined.csv,1
Fran?ois Boucher,E21 Person,Handmade,Q180932,,name-English_table.csv,1
Fran?ois Duquesnoy,E21 Person,Handmade,Q960381,,name-English_table.csv,1
Fran?ois Girardon,E21 Person,Handmade,Q712497,,name-English_table.csv,1
Fran?ois Mansart,E21 Person,Handmade,Q313701,,name-English_table.csv,1
Fran?ois Rabelais,E21 Person,Handmade,Q131018,,name-English_table.csv,1
Fran?ois de Bonne de Créquy,E21 Person,Handmade,Q3086124,,name-English_table.csv,1
Fran?ois de Nomé,E21 Person,Handmade,Q1887392,,name-English_table.csv,1
Fran?ois-Joachim de Pierre de Bernis,E21 Person,Handmade,Q374572,,name-English_table.csv,1
"Francavilla, Pietro",E22 Man-Made Object,Index,,"174; 174, 178",F_refined.csv,2
Frances Lehman Loeb Art Center,E53 Place,Handmade,Q5478803,,gio-English_table.csv,1
Frances Pamela Ann Strickland,E21 Person,Handmade,Q76180855,,name-English_table.csv,1
Francesca Bussi,E53 Place,Handmade + Index,Q109805783,223,B_refined.csv; name-English_table.csv,2
Francesca Flores D'Arcais,E21 Person,Handmade,Q61475877,,name-English_table.csv,1
Francesco Adriano Ceva,E21 Person,Handmade,Q3080894,,name-English_table.csv,1
Francesco Albergati Capacelli,E21 Person,Handmade,Q371439,,name-English_table.csv,1
Francesco Alberto Salvagnini,E21 Person,Handmade,Q104731073,,name-English_table.csv,1
Francesco Algarotti,E53 Place,Handmade + Index,Q439081,"256n, 264, 266, 267, 293n, 300, 303, 307, 309, 330, 331, 343, 363, 373, 407, 408, 409; 294, 295, 298, 349, 356; 319, 320; 321; 347, 349, 351, 352, 353, 354, 355, 357, 359, 360; 347, 349, 357; 348; 348, 358; 349; 349, 350, 355; 349, 356, 357; 350; 350, 351; 350, 351, 352; 352, 353, 354, 355, 356; 353; 354; 354, 355, 359; 354, 359; 354n; 355; 356; 356, 357, 358; 357; 357, 358, 359; 358; 358, 359; 359; 359, 360; 360; 360n; 361; 363",A_refined.csv; name-English_table.csv; work-English_table.csv,45
Francesco Allegrini,E53 Place,Handmade + Index,Q44101021,157,A_refined.csv; name-English_table.csv,2
Francesco Andrea Grassi,E21 Person,Handmade,Q3749533,,name-English_table.csv,1
Francesco Andreosi,E53 Place,Handmade + Index,R54,366,A_refined.csv; name-English_table.csv,3
Francesco Angelo Rapaccioli,E21 Person,Handmade,Q762443,,name-English_table.csv,1
Francesco Angeloni,E53 Place,Handmade + Index,Q1102576,"53n, 114, 158",A_refined.csv; name-English_table.csv,2
Francesco Antonio Correr,E53 Place,Handmade + Index,Q3749550,271,C_refined.csv; name-English_table.csv,2
Francesco Antonio Vallotti,E21 Person,Handmade,Q1395790,,name-English_table.csv,1
Francesco Baratta the Elder,E21 Person,Handmade,Q5479199,,name-English_table.csv,1
Francesco Barberini,E21 Person,Handmade,Q2662344,,name-English_table.csv,1
Francesco Bartolozzi,E21 Person,Handmade,Q734889,,name-English_table.csv,1
Francesco Bassi,E21 Person,Handmade,Q5479206,,name-English_table.csv,1
Francesco Bertos,E53 Place,Handmade + Index,Q1440918,312,B_refined.csv; name-English_table.csv,2
Francesco Bordoni,E53 Place,Handmade + Index,Q13408027,174,B_refined.csv; name-English_table.csv,2
Francesco Borromini,E53 Place,Handmade + Index,Q123150,"147, 148; 48, 59, 61, 75, 76, 86, 104, 147, 148, 348, 397; 75; 75, 76",B_refined.csv; name-English_table.csv,7
Francesco Borzone,E53 Place,Handmade + Index,Q3080999,189,B_refined.csv; name-English_table.csv,2
Francesco Botti,E53 Place,Handmade + Index,Q3749660,233n,B_refined.csv; name-English_table.csv,2
Francesco Bracciolini,E53 Place,Handmade + Index,Q322022,"51, 52, 53, 57; 52; 52, 53",B_refined.csv; name-English_table.csv,4
Francesco Catalano,E53 Place,Handmade + Index,R55,135n,C_refined.csv; name-English_table.csv,2
Francesco Cozza,E53 Place,Handmade + Index,Q1133464,131,C_refined.csv; name-English_table.csv,2
Francesco Donato,E21 Person,Handmade,Q593430,,name-English_table.csv,1
Francesco Drach,E21 Person,Handmade,R56,,name-English_table.csv,1
Francesco Fanelli,E53 Place,Handmade + Index,Q3749954,"178; 178, 179",F_refined.csv; name-English_table.csv,4
Francesco Fontana,E21 Person,Handmade,Q3749996,,name-English_table.csv,1
Francesco Fontebasso,E53 Place,Handmade + Index,Q447991,"272; 272, 297, 339, 361",F_refined.csv; name-English_table.csv,4
Francesco Gerbault,E53 Place,Handmade + Index,R57,336,G_refined.csv; name-English_table.csv,2
Francesco Griseri,E21 Person,Handmade,R58,,name-English_table.csv,1
Francesco Guardi,E53 Place,Handmade + Index,Q318769,"247n, 313n, 361, 373, 375, 376, 380, 382n; 316; 336; 374; 375; 376",G_refined.csv; name-English_table.csv,7
Francesco Guicciardini,E53 Place,Handmade + Index,Q44601,299,G_refined.csv; name-English_table.csv,3
Francesco Imperiali,E53 Place,Handmade + Index,R59,288n,I_refined.csv; name-English_table.csv,2
Francesco Lorenzi,E53 Place,Handmade + Index,Q3750171,255n,L_refined.csv; name-English_table.csv,2
Francesco Maggiotto,E53 Place,Handmade + Index,Q3080993,"325, 340, 408, 409; 325n; 340",M_refined.csv; name-English_table.csv,4
Francesco Maidalchini,E53 Place,Handmade + Index,Q3080994,147,M_refined.csv; name-English_table.csv,2
Francesco Maria I della Rovere,E21 Person,Handmade,Q555015,,name-English_table.csv,1
Francesco Maria Niccolò Gabburri,E21 Person,Handmade,Q3339580,,name-English_table.csv,1
Francesco Maria Richini,E21 Person,Handmade,Q664225,,name-English_table.csv,1
Francesco Maria Zanotti,E21 Person,Handmade,Q2739963,,name-English_table.csv,1
Francesco Maria del Monte,E21 Person,Handmade,Q140106,,name-English_table.csv,1
Francesco Marucelli,E53 Place,Handmade + Index,Q3750256,"157, 158, 235; 158",M_refined.csv; name-English_table.csv,4
Francesco Migliori,E53 Place,Handmade + Index,Q5479459,294,M_refined.csv; name-English_table.csv,2
Francesco Milizia,E53 Place,Handmade + Index,Q323009,371n,M_refined.csv; name-English_table.csv,2
Francesco Monti,E53 Place,Handmade + Index,Q1283256,"214n, 288, 348",M_refined.csv; name-English_table.csv,2
Francesco Morosini,E53 Place,Handmade + Index,Q34481,"246, 248, 249",M_refined.csv; name-English_table.csv,2
Francesco Novelli,E53 Place,Handmade + Index,Q56805137,371,N_refined.csv; name-English_table.csv,3
Francesco Panciatichi,E21 Person,Handmade,R60,,name-English_table.csv,1
Francesco Petrucci,E21 Person,Handmade,Q27507162,,name-English_table.csv,1
Francesco Pio di Savoia,E21 Person,Handmade,R72,,name-English_table.csv,1
Francesco Piranesi,E53 Place,Handmade + Index,Q336028,366,P_refined.csv; name-English_table.csv,2
Francesco Redi,E53 Place,Handmade + Index,Q311187,"229, 230",Q-R_refined.csv; name-English_table.csv,2
"Francesco Ruspoli, 1st Prince of Cerveteri",E21 Person,Handmade,Q1978892,,name-English_table.csv,1
Francesco Scaramuccia,E21 Person,Handmade,R62,,name-English_table.csv,1
Francesco Simonini,E53 Place,Handmade + Index,Q3081094,312,S_refined.csv; name-English_table.csv,2
Francesco Sleter,E53 Place,Handmade + Index,Q5479579,"281, 287",S_refined.csv; name-English_table.csv,2
Francesco Solimena,E53 Place,Handmade + Index,Q736065,"214; 223; 224; 224, 225; xvii, 165, 166, 194, 199, 200, 201, 204, 214, 223, 224, 225, 288, 351",S_refined.csv; name-English_table.csv,10
Francesco Trevisani,E53 Place,Handmade + Index,Q963875,"164; 164n; 7, 129, 164, 194, 227, 233n, 282",T_refined.csv; name-English_table.csv,4
Francesco Valcanover,E21 Person,Handmade,Q55987913,,name-English_table.csv,1
Francesco Zuccarelli,E53 Place,Handmade + Index,Q919093,"262, 292, 309, 310, 314, 316, 336, 342, 361, 362, 392, 393; 292; 308; 328; 351",UVWXYZ_refined.csv; name-English_table.csv,7
Francesco Zugno,E53 Place,Handmade + Index,Q1756544,361,UVWXYZ_refined.csv; name-English_table.csv,2
Francesco d'Este,E21 Person,Handmade,Q3803992,,name-English_table.csv,2
Francesco da Paola,E21 Person,Handmade,Q315640,,name-English_table.csv,1
Francesco de Mura,E53 Place,Handmade + Index,Q1441279,351,M_refined.csv; name-English_table.csv,2
Francesco di Maria,E53 Place,Handmade + Index,Q2440034,208,M_refined.csv; name-English_table.csv,2
Francis Bacon,E21 Person,Handmade + Index,Q37388,"107n, 320, 370",B_refined.csv; name-English_table.csv,2
Francis Haskell,E21 Person,Handmade,Q320477,,name-English_table.csv,1
Francis Henry Taylor,E21 Person,Handmade,Q592755,,name-English_table.csv,1
Francis I of France,E21 Person,Handmade,Q129857,,name-English_table.csv,1
Francis Watson,E21 Person,Handmade,Q1441774,,name-English_table.csv,1
Francis Xavier,E21 Person,Handmade,Q163900,,name-English_table.csv,1
Francisco Goya,E21 Person,Handmade + Index,Q5432,"192, 297n",G_refined.csv; name-English_table.csv,2
Franco Venturi,E21 Person,Handmade,Q481482,,name-English_table.csv,1
Franconia,E53 Place,Handmade,Q150907,,gio-English_table.csv,1
Frank Edward Manuel,E21 Person,Handmade,Q21604910,,name-English_table.csv,1
Frans Pourbus the Younger,E21 Person,Handmade,Q934540,,name-English_table.csv,1
Frans van Mieris the Elder,E21 Person,Handmade,Q959236,,name-English_table.csv,1
Franz Ehrle,E21 Person,Handmade,Q61283,,name-English_table.csv,1
François I of France,E53 Place,Index,,170,F_refined.csv,1
"Fratta, D. M.",E21 Person,Index,,290,F_refined.csv,1
Frederick Antal,E21 Person,Handmade,Q215037,,name-English_table.csv,1
"Frederick Augustus I, Elector of Saxony",E21 Person,Index,,,F_refined.csv,1
"Frederick Augustus II, Elector of Saxony",E21 Person,Index,,,F_refined.csv,1
Frederick Charles,E21 Person,Handmade,Q67281,,name-English_table.csv,1
Frederick II of Prussia,E21 Person,Handmade,Q33550,,name-English_table.csv,1
Frederick III,E21 Person,Handmade,Q58600,,name-English_table.csv,1
Frederick III (Holy Roman Emperor),E21 Person,Index,,19n,F_refined.csv,1
Frederick IV of Denmark,E21 Person,Handmade + Index,Q161059,277,F_refined.csv; name-English_table.csv,2
