QID,序号,数据来源,部分,原始页码,章节,校对词频,原文英文全名,统一英文全名,别称英文,Unnamed: 0,P19|标签|出生地英文,校对出生地英文,P31|标签|人物属性,P569|标签|出生日期,P570|标签|死亡日期,P20|标签|死亡地英文,P106|标签|职业英文,P27|标签|国籍英文,P101|标签|工作领域英文,P937|标签|工作地点英文,P97|标签|贵族头衔英文,P21|标签|性别英文,P611|标签|所属宗教(合并)#P1416|标签|所属机构#P463|标签|属于...机构成员英文,P119|标签|埋葬地点英文,P140|标签|宗教或世界观英文,P69|标签|受教育于英文,P53|标签|家族英文,P1830|标签|拥有财产英文,P166|标签|获奖英文,P800|标签|著名作品英文,P135|标签|风格英文,P136|标签|创作类型英文,P18|标签|图像,P22|标签|父亲英文,P25|标签|母亲英文,P3373|标签|兄弟姐妹英文,P26|标签|配偶英文,P40|标签|孩子英文,P1038|标签|亲属英文,P451|标签|未婚伴侣英文,P737|标签|受…影响英文,P108|标签|雇主英文,P1066|标签|老师#P184|标签|博士导师英文,P802|标签|学生#P185|标签|博士学生英文,P3342|标签|重要人物英文,P1049|标签|崇拜者英文,P1365|标签|继任者英文,P1366|标签|接任者英文,P859|标签|赞助人英文
Q161841,594,wikidata,第三部分,245,第九章,3,Edward Gibbon,Edward Gibbon,,485,Putney,Putney,human,1737,1794,London,historian|politician|classical scholar|writer,Kingdom of Great Britain,history|classical antiquity|popular science literature,,,male,Royal Society,Fletching,Catholicism,Magdalen College,,,,The History of the Decline and Fall of the Roman Empire,,,Edward Emily Gibbon.jpg,Edward Gibbon,Judith Porten,,,,,,Montesquieu,,,,,,,,
Q75928552,595,wikidata,第三部分,374567,第十六章,2,Edward Poore,Edward Poore,,486,,,human,1773,1814,,,,,,,male,,,,,,,,,,,,Edward Poore,Anna Maria Montagu,,Martha Anne Wolff|Elizabeth Gibson,"Matty Wolff Poore|Sir Edward Poore, 2nd Bt.|Eleanora Charlotte Montagu Poore|Annette Gibson Poore|Richard Francis Gibson Poore",,,,,,,,,,,
Q1294162,596,wikidata,第三部分,263312441,第九章,3,Edward Wright,Edward Wright,,487,Garvestone,Garvestone,human,1561,1615,London,cartographer|mathematician,Kingdom of England,,,,male,,,,Gonville and Caius College,,,,,,,EdwardWright-CertaineErrorsinNavigation-1599.jpg,,,,,,,,,,,,,,,,
Q507699,597,wikidata,第三部分,370,第十五章,1,Edward Young,Edward Young,,488,Upham,Upham,human,1683,1765,Welwyn,poet|playwright|literary critic|writer,Kingdom of Great Britain,,,,male,,,Anglicanism,Corpus Christi College,,,,,Romanticism,,,Edward Young,,,Lady Elizabeth Lee,,,,,,,,,,,,
Q3721387,598,wikidata,第三部分,249,第九章,1,Elena Bassi,Elena Bassi,,489,Mantua,Mantua,human,1911,1999,Venice,art historian|university teacher|art critic,Italy,art history|art criticism,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q133507,601,wikidata,第三部分,278,第十章,2,Elijah,Elijah,St. Elijah|Eliyyahu|Eliyahu|Eliahu|Elyahu|Eliyyah|Eliyah|Eliya|Elya|Eilyohu|Eliyohu|Eliahu ha-Navi|Elijah the Tishbite|Elijah the Tishbite from Tishby|Saint Elijah|Ilyaseen|Prophet Elias|Eliyahu Hanavi|Elija|St. Ilija|Elijah the Prophet|’Ilyās|Ilya,490,Tishbe,Tishbe,human biblical figure,-904,-850,Jericho,thaumaturge|prophet,Kingdom of Israel,prophecy|Christianity,,,male,,,Yahwism,,,,,,,,,,,,,,,,,,Ahijah the Shilonite,Elisha,,monotheism,,,
Q18346470,602,wikidata,第二部分,174,第七章,1,Elizabeth Dhanens,Elisabeth Dhanens,,491,,,human,1915,2014,,historian|art historian,Belgium,,,,female,,,,,,,Fulbright Scholarship,,,,,,,,,,,,,,,,,,,,
Q16271130,603,wikidata,第二部分,171172205,第七章,3,Elizabeth du Gué Trapier,Elizabeth Du Gue Trapier,Elizabeth du Gué Trapier,492,"Washington, D.C.","Washington, D.C.",human,1893,1974,Hightstown,art historian,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4990813,605,wikidata,第一部分,IX,第一章,1,Elizabeth Oma,Elizabeth Yates,,493,Caithness,Caithness,human,1840,1918,,politician,New Zealand,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3051533,607,wikidata,第一部分,"IX,XVII,XVIII,12,56,59,164,197",第一章,10,Ellis Kirkham Waterhouse,Ellis Waterhouse,E.K. Waterhouse|Ellis Kirkham Waterhouse|Sir Ellis Kirkham Waterhouse|Sir Ellis Waterhouse,494,Epsom,Epsom,human,1905,1985,Oxford,art historian|university teacher|librarian,United Kingdom,art history|Baroque|art of painting,,,male,,,,New College,,,Knight Bachelor,,,,,,,,Helen Waterhouse,,,,,University of Manchester|Magdalen College|University of Birmingham,,,,,,,
Q60628565,609,wikidata,第二部分,183,第七章,1,Elpidio Benedetti,Elpidio Benedetti,,495,,,human,1661,1682,,artist,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31789636,610,wikidata,第三部分,321,第十二章,1,Emil Kauffmann,Emil Kauffmann,,496,Ludwigsburg,Ludwigsburg,human,1836,1909,,musician,,,,,male,,,,,,,,,,,,,,,,,,,,University of Tübingen,,,,,,,
Q286253,612,wikidata,第三部分,272,第九章,1,Emile Mâle,Émile Mâle,Emile Male|Emile Mâle,497,Commentry,Commentry,human,1862,1954,Fontaine-Chaalis,art historian|writer|university teacher|historian,France,,,,male,"Académie Française|Académie des Inscriptions et Belles-Lettres|Royal Academy of Science, Letters and Fine Arts of Belgium|British Academy|Lincean Academy|Pontifical Academy of Archaeology|Polish Academy of Learning|Hungarian Academy of Sciences|Secció Històrico-Arqueològica de l’Institut d’Estudis Catalans|Medieval Academy of America",Commentry,,École Normale Supérieure,,,Grand Officer of the Legion of Honour|Commander of the Order of Leopold|Broquette-Gonin prize in philosophy|prix Gobert|Corresponding Fellow of the Medieval Academy of America,,,,,,,,,Pierre Mâle|Gilberte Émile-Mâle,,,,University of Paris,,,,,,,
Q155956,613,wikidata,第一部分,118161162,第四章,3,Emilio Bonaventura Altieri,Pope Clement X,Pope Clement X|Emilio Bonaventura Altieri|Emilio Altieri|Clemens PP. X|Klemens X. Papst|Clemens X,498,Rome,Rome,human,1590,1676,Rome,diplomat|Catholic priest|Catholic bishop,Papal States,,Rome|Papal States,,male,,St. Peter's Basilica,Catholic Church,Sapienza University of Rome,,,,,,,,Lorenzo Altieri,Vittoria Delfini,Giambattista Altieri,,,,,,,,,,,,,
Q93270100,614,wikidata,第一部分,40,第二章,2,Emilio Bonomelli,Emilio Bonomelli,,499,Rovato,Rovato,human,1890,1970,Gandolfo,lawyer|politician|journalist|historian,Kingdom of Italy,,,,male,,,,University of Turin,,,,,,,,,,,,,,,,,,,,,,,
Q3724329,615,wikidata,第三部分,362,第十五章,1,Emilio de Tipaldo,Emilio Amedeo De Tipaldo,,500,Corfu,Corfu,human,1798,1878,Mirano,jurist,Kingdom of Italy,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3724437,616,wikidata,第二部分,"193,194,278,282,283,294",第七章,6,Emilio Lavagnino,Emilio Lavagnino,,501,Rome,Rome,human,1898,1963,Geneva,art historian|art critic,Italy,art history|art criticism,,,male,,,,,,,,,,,,,,,Angela Daneu Lattanzi,,,,,,,,,,,,
Q3724468,617,wikidata,第三部分,258,第九章,1,Emilio Morpurgo,Emilio Morpurgo,,502,Padua,Padua,human,1836,1885,Padua,politician|statistician,Kingdom of Italy,,,,male,,,,,,,,,,,,,,,,,,,,University of Padua,,,,,,,
Q5372252,619,wikidata,第三部分,375,第十六章,1,Emily Temple,Emily Temple,"Emily Lamb, Countess Cowper|Emily Lamb, Lady Cowper",503,,,human,1787,1869,Hertfordshire,socialite,United Kingdom of Great Britain and Ireland,,,,female,,Westminster Abbey,,,,,,,,,,"Peniston Lamb, 1st Viscount Melbourne","Elizabeth Lamb, Viscountess Melbourne","Frederick Lamb, 3rd Viscount Melbourne|William Lamb, 2nd Viscount Melbourne","Henry Temple, 3rd Viscount Palmerston|Peter Cowper, 5th Earl Cowper","George Cowper, 6th Earl Cowper|William Cowper-Temple, 1st Baron Mount Temple|Frances Jocelyn, Viscountess Jocelyn|Emily Ashley-Cooper, Countess of Shaftesbury|Charles Spencer Cowper",,,,,,,,,,,
Q1338457,621,wikidata,第一部分,163373379,第六章,3,Emmanuele Antonio Cicogna,Emmanuele Antonio Cicogna,Emanuele Antonio Cicogna|Emmanuele Cicogna,504,Venice,Venice,human,1789,1868,Venice,historian|art historian,Kingdom of Italy,,,,male,Austrian Academy of Sciences|Academy of Sciences of Turin,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21207482,623,wikidata,第一部分,106,第四章,2,Enrico Carusi,Enrico Carusi,,505,Pollutri,Pollutri,human,1878,1945,Vatican City,librarian|priest|historian,Kingdom of Italy,,,,male,Italian Library Association,,,Sapienza University of Rome,,,,,,,,,,,,,,,,Vatican Library,,,,,,,
Q19999223,624,wikidata,第一部分,20,第一章,1,Enrico Narducci,Enrico Narducci,,506,Rome,Rome,human,1832,1893,Rome,librarian|bibliographer|literary scholar|man of letters,Papal States,library science|cataloging|bibliography,,,male,Lincean Academy|Academy of Sciences of Turin,,,,,,,,,,,,,,,,,,,,,,,,,,
Q124421,625,wikidata,第二部分,193,第七章,1,Enrico Zuccalli,Enrico Zuccalli,Enrico Zugalli|Enrico Zucalli,507,Roveredo,Roveredo,human,1642,1724,Munich,architect,Three Leagues,baroque architecture,,,male,,,,,,,,Lustheim Palace,,,,,,,,,Kaspar Zuccalli|Christophorus Zuccalli|Giovanni Gaspare Zuccalli,,,,Kaspar Zuccalli,,,,Agostino Barelli,,
Q3054716,626,wikidata,第一部分,116191,第四章,5,Enriqueta Harris,Enriqueta Harris,Enriqueta Harris Frankfort,508,London,London,human,1910,2006,Madrid,writer|art historian,United Kingdom,,,,female,,,,University College London,,,Grand Cross of the Order of Isabella the Catholic,,,,,,,,Henri Frankfort,,,,,Courtauld Institute of Art,,,,,,,
Q21548348,627,wikidata,第一部分,"49,50",第二章,2,Enzo Bentivoglio,Enzo Bentivoglio,,509,Ferrara,Ferrara,human,1575,1639,Rome,architect|politician|writer,,,,,male,,San Maurelio,,,House of Bentivoglio,,,,,,,Cornelio Bentivoglio,Isabella Bendidio,,,Cornelio II Bentivoglio,,,,,,,,,,,
Q43216,629,wikidata,第一部分,101370,第四章,3,Epicurus,Epicurus,Epíkouros|Epikouros,510,Samos,Samos,human,-342,-270,Athens,philosopher|writer,Classical Athens,philosophy,,,male,,Athens,Ancient Greek religion,,,,,,Epicureanism,,,Neocles,Chaerestrate,Chaeredemus|Aristobulus,,,,,Aristippus|Democritus|Pyrrho,,Nausiphanes,Hermarchus|Polyaenus of Lampsacus|Leonteus of Lampsacus|Themista of Lampsacus|Colotes|Leontion|Mys|Menoeceus|Pythocles|Nicanor|Ctesippus|Apelles|Mammarion|Hedeia|Erotion|Nicidion|Boison|Demetria|Athenaios|Mentorides,,,,,
Q1348674,630,wikidata,第一部分,149,第六章,1,Ercole Ferrata,Ercole Ferrata,,511,Pellio Intelvi,Pellio Intelvi,human,1610,1686,Rome,sculptor,,art of sculpture,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5385225,631,wikidata,第二部分,237,第八章,1,Ercole Graziani,Ercole Graziani the Younger,"Ercole Graziano|Ercole, the Younger Graziani|Ercole Graziani|Ercole, II Graziani|Ercole, il giovane Graziani|Ercole Graziani II|Ercole Graziani the younger|Ercole The Younger Graziani|e. graziani|Gratiani|Sr Graziani|Graziani",512,Bologna,Bologna,human,1688,1765,Bologna,painter,,,Bologna,,male,,,,,,,,,,,,,,,,,,,,,Donato Creti,Giuseppe Becchetti,,,,,
Q3056021,632,wikidata,第三部分,351366,第十四章,2,Ercole Lelli Zanotti,Ercole Lelli,,513,Bologna,Bologna,human,1702,1766,Bologna,anatomist|sculptor|painter|medalist,,,Bologna|Piacenza,,male,,,,,,,,,,,,,,,,,,,,,Giampietro Zanotti,,,,,,
Q3056023,633,wikidata,第二部分,216,第八章,1,Ercole Proccaccini,Ercole Procaccini the Elder,"Ercole I Procaccini|Procaccini|ercole procaccini d. ae.|Procaccino vecchio di Milano|Ercole, d. Ält. Procaccini|Ercole, the elder Procaccini|Ercole Procaccini I|Ercole, I Procaccini|Procaccino Vecchio|Procaccino vecchio|Procaccino Vecchio di Milano|Ercole Procaccini",514,Bologna,Bologna,human,1520,1595,Milan,painter,,,Bologna|Milan|Parma,,male,,,,,,,,,,,,,,,,Camillo Procaccini|Carlo Antonio Procaccini|Giulio Cesare Procaccini,,,,,,,,,,,
Q3619549,634,wikidata,第三部分,323,第十二章,1,Ermalao Paoletti,Antonio Ermolao Paoletti,Antonio Paoletti|a. paoletti|A. Ermolao Paoletti,515,Venice,Venice,human,1834,1912,Venice,painter,Kingdom of Italy,,,,male,,,,Accademia di Belle Arti di Venezia,,,,,,genre painting,,,,,,,,,,,,,,,,,
Q17324876,635,wikidata,第一部分,132398,第五章,2,Erminia,Erminia,Herminia,516,,,fictional human,,,,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q78504,636,wikidata,第三部分,后记,第十七章,1,Ernst Gombrich,Ernst Gombrich,E. H. Gombrich|Sir Ernst Gombrich|Sir Ernst Hans Josef Gombrich|Ernst Hans Josef Gombrich|Enrst Hans Gombrich,517,Vienna,Vienna,human,1909,2001,London,art historian|writer|professor|aesthetician|historian,United Kingdom,art theory|art history|popular science literature,Vienna|London,,male,Royal Swedish Academy of Sciences|British Academy|American Academy of Arts and Sciences|Bavarian Academy of Sciences and Humanities|Royal Netherlands Academy of Arts and Sciences|Academy of Sciences of Turin,,,University of Vienna,,,Pour le Mérite for Sciences and Arts order|Commander of the Order of the British Empire|Erasmus Prize|Balzan Prize|Goethe Prize|Hegel Prize|honorary doctor of the University of Vienna|Prize of the City of Vienna for the Humanities|Fellow of the British Academy|Austrian Decoration for Science and Art|Leverhulme Medal|honorary doctor of the University of Madrid Complutense|Knight Bachelor|Goethe Medal,,,,,,,Dea Forsdyke,,Richard Gombrich,,,,University of London|University of Vienna|Warburg Institute,,,,,,,
Q57656,637,wikidata,第一部分,"57,83,102,117,后记",第二章,6,Erwin Panofsky,Erwin Panofsky,,518,Hanover,Hanover,human,1892,1968,Princeton,art historian|university teacher|art critic,Germany,art history,,,male,"German Academy for Language and Literature|Royal Netherlands Academy of Arts and Sciences|American Academy of Arts and Sciences|British Academy|Royal Swedish Academy of Letters, History and Antiquities|Medieval Academy of America|Accademia delle Arti del Disegno",,,University of Freiburg,,,Pour le Mérite for Sciences and Arts order|Haskins Medal|Corresponding Fellow of the Medieval Academy of America,Saturn and Melancholy|Early Netherlandish Painting,,,,,,,Dora Panofsky,Hans Panofsky|Wolfgang K. H. Panofsky,,,,Princeton University|Harvard University|University of Hamburg|New York University|Institute for Advanced Study,Margarete Bieber|Adolph Goldschmidt|Wilhelm Vöge,Lotte Brand Philip|Ursula Hoff,,,,,
Q220822,638,wikidata,第三部分,"308,XII",第十一章,2,Esau,Esau,Edom|Esav|Eisav|tariq qoraish|تم ميلاده في جنوب واد عربة الغير كنعاني حينها,519,Canaan,Canaan,human biblical figure,-1753,-1606,,hunter,,,Palestine,,male,,,,,,,,,,,,Isaac,Rebecca,Jacob,Basemath|Judith|Mahalath|Q3420035|Ada,Eliphaz|Reuel|Jeush|Korah|Jalam,,,,,,,,,,,
Q732413,640,wikidata,第三部分,274342,第九章,4,Esther,Esther,Ester|Queen Esther,520,Achaemenid Empire,Achaemenid Empire,human biblical figure,-600,-500,Achaemenid Empire,politician,,,,princess,female,,,,,Tribe of Benjamin,,,,,,,,,,Ahasuerus,,,,,,,,,,,,
Q506550,641,wikidata,第三部分,252,第九章,1,Eteocles,Eteocles,,521,,,mythological Greek character,,,,ruler,,,,king of Thebes,male,,,,,,,,,,,,Oedipus,Jocasta,Antigone|Polynices|Ismene,,Laodamas,,,,,,,,,,,
Q8747,642,wikidata,第一部分,89,第三章,1,Euclid,Euclid,Euclides|Euclid of Alexandria|Eukleides,522,,,human,-333,-285,Alexandria,mathematician|writer,Classical Athens,geometry,,,male,,,,,,,,Elements|synthetic geometry,,,,,,,,,,,,,,Diocleides of Athens,,,,,
Q152428,643,wikidata,第二部分,"201,228,280,311,341,403",第七章,12,Eugene Francis of Savoy,Prince Eugene of Savoy,"Eugenio Francesco di Savoia-Carignano, Principe di Carignano|François Eugene, Prince of Savoy|Prince Eugene Francis of Savoy-Carignano",523,Paris,Paris,human,1663,1736,Vienna,military officer|military leader|army officer,Duchy of Savoy,,,prince,male,,Prince Eugene Chapel,,,House of Savoy,Belvedere|Winter Palace of Prince Eugene,Knight of the Order of the Golden Fleece,,,,,"Eugene Maurice, Count of Soissons",Olympia Mancini,"Louis Thomas, Count of Soissons|Marie-Jeanne of Savoy",,,,,,Austrian Federal Government,,,,,,,
Q23806382,644,wikidata,第一部分,162,第六章,1,Eugene Michaud,Eugène Michaud,Eugene Michaud,524,Pouilly-sur-Saône,Pouilly-sur-Saône,human,1839,1917,Bern,Catholic priest|theologian,France,,,,male,Dominican Order#Old Catholics,,Old Catholics,Ludwig Maximilian University of Munich,,,,,,,,,,,,,,,,,,,,,,,
Q104804972,645,wikidata,第三部分,375,第十六章,1,Eusebio,Eusebio Della Lena,Eusebio Maria Della Lena,525,Lucca,Lucca,human,1747,1818,,literary|bibliophile,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3541151,646,wikidata,第三部分,347,第十四章,1,Eustachio Manfredi,Eustachio Manfredi,,526,Bologna,Bologna,human,1674,1739,Bologna,mathematician|astronomer|poet,,,,,male,Royal Society|French Academy of Sciences|Accademia dei Gelati|Accademia della Crusca|Arcadian Academy,,,,,,,,,,,,,Gabriele Manfredi,,,,,,University of Bologna,Domenico Guglielmini,Eustachio Zanotti|Felice Sabatelli,,,,,
Q3735039,647,wikidata,第三部分,354,第十四章,1,Eustachio Zanotti,Eustachio Zanotti,,527,Bologna,Bologna,human,1709,1782,Bologna,astronomer|engineer,,,,,male,Royal Society,,,,,,,,,,,Giampietro Zanotti,,,,,,,,University of Bologna,Eustachio Manfredi,Felice Sabatelli,,,,,
Q3735302,648,wikidata,第三部分,403,第十七章,1,Evelina Borea,Evelina Borea,,528,Ferrara,Ferrara,human,1931,,,art historian,Kingdom of Italy,,,,female,Accademia di San Luca,,,University of Florence,,,,,,,,,,,,,,,,,Roberto Longhi,,,,,,
Q194064,649,wikidata,第一部分,77,第三章,1,Ezekiel,Ezekiel,,529,Jerusalem,Jerusalem,human biblical figure,-621,-571,Babylonian,preacher|thaumaturge|author,Judah,,,,male,,,Judaism,,,,,Ezekiel,,,,,,,,,,,,,,,,,,,
Q55946258,651,wikidata,第三部分,404341344,第十七章,3,Fabia Borroni Salvadori,Fabia Borroni,Fabia Borroni Salvadori,530,Trieste,Trieste,human,1921,1986,Orvieto,librarian,Kingdom of Italy,,,,female,Accademia delle Arti del Disegno,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3737627,652,wikidata,第三部分,254,第九章,1,Fabio Canal,Fabio Canal,Fabio Canale,531,Venice,Venice,human,1703,1767,Venice,painter,Republic of Venice,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q127254,653,wikidata,第一部分,"61,77,86,116,120,124,139,150,151,152,153,155,161",第二章,22,Fabio Chigi,Pope Alexander VII,Pope Alexander VII|Fabio Chigi|Philomathus|papa Alessandro‏ ‎VII|pape Alexandre VII|Alexander VII. Papst,532,Siena,Siena,human,1599,1667,Rome,Catholic priest|Catholic bishop,Papal States,,Cologne|Rome|Papal States,,male,,St. Peter's Basilica,Catholic Church,University of Siena,House of Chigi,,,,,,,"Flavio Chigi, Gonfaloniere",Laura Marsili,Mario Chigi,,,,,,,,,,,,,
Q3737779,655,wikidata,第三部分,"260,277,373,",第九章,3,Fabio Maurone,Fabio Mauroner,,533,Santa Maria la Longa,Santa Maria la Longa,human,1884,1948,Venice,writer|painter,Italy,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3063732,656,wikidata,第一部分,129,第五章,1,Fabio Olivieri,Fabio degli Abati Olivieri,,534,Pesaro,Pesaro,human,1658,1738,Rome,prelate,,,,,male,,,Catholic Church,,,,,,,,,,,,,,,,,,,,,,,,
Q105963506,657,wikidata,第一部分,14,第一章,1,Fabrizio Arragona,"Fabrizio Pignatelli d'Aragona, 10th Duke of Monteleone, 9th Marquess of the Valley of Oaxaca",,535,,,human,1718,1763,,,Kingdom of Naples,,,,male,,,,,,,,,,,,Diego Pignatelli d'Aragona Cortès,"Margherita Pignatelli, 5.Duchessa di Bellosguardo",,Costanza de' Medici di Ottajano,"Ettore Pignatelli d'Aragona, 11th Duke of Monteleone, 10th Marquess of the Valley of Oaxaca|Francesco Maria Pignatelli",,,,,,,,,,,
Q1355246,658,wikidata,第二部分,233,第八章,1,Fabrizio Spada,Fabrizio Spada,,536,Rome,Rome,human,1643,1717,Rome,Catholic priest|Catholic bishop,Papal States,,,,male,,Santa Maria in Vallicella,Catholic Church,University of Perugia,,,,,,,,,,,,,,,,,,,,,,,
Q3852590,660,wikidata,第三部分,396,第十七章,2,Fagiolo dell'Arco,Maurizio Fagiolo dell'Arco,Maurizio Fagiolo|Maurizio Fagiolo Dell'Arco|Maurizio Fagiolo dell' Arco,537,Rome,Rome,human,1939,2002,Rome,art critic|art historian|exhibition curator,Italy,Romanesque art|Baroque,,,male,,,,Sapienza University of Rome,,,,,,,,Mario dell'Arco,,Marcello Fagiolo,,,,,,,,,,,,,
Q2531858,661,wikidata,第一部分,137,第五章,1,Famiano Strada,Famiano Strada,J. Strada,538,Rome,Rome,human,1572,1649,Rome,historian,,,,,male,Society of Jesus,,Catholicism,,,,,,,,,,,,,,,,,,Orazio Torsellino|Francesco Benci,,,,,,
Q111282793,662,wikidata,第三部分,404,第十七章,2,Fausta Franchini Guelfi,Fausta Franchini Guelfi,,539,,,human,1943,,,art historian|university teacher,Kingdom of Italy,,Genoa,,female,,,,,,,,,,,,,,,,,,,,University of Genoa,,,,,,,
Q124857379,664,wikidata,第一部分,69,第三章,1,Fausto Rughesi,Fausto Rughesi,,540,,,human,,,,architect,Italy,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q316731,665,wikidata,第一部分,"25,26,69,71,76,94,204,268",第二章,8,Federico Barocci,Federico Barocci,Federico Barochio|Federigo Baroccio|Federico Barrochio|Fiori da Urbino|Federico Barozio|Federico Varrozio|Federico Barrocci|Frederic Baroche|Fiori Da Urbino Baroccio|Fedricho Borosio|Federico Baroccir|Frederick Baroccio|Fiori Da Urbino Barocci|Barousca Urbino|Federico Barosio|Federico Baroccio|Federico Barroche|Federico Fiori|Federico Barrocio|Fred Baroccio|Federigo Barozzi|Federico Barocco|Federico Baroccio da Urbino|Federico Boroccio|Federico Barrozio|Federico Borocio|Federico Barroccio|Federico Barocio|Federigo Barocci d'Urbino|Federico Boraccio|Federico Baroci|Federico Barrocchio|Frederic Baroci|Federigo Baroccj|Federigo Barocci|Federico Barocchi|Federico Barozzo|Federico Barozi|Federico Barocci da Urbino|Federico Barozzi|Federico Baronci|Federigo Barroccio|Federico Barecci|Federico Fiori da Urbino|Baroch|Barrocci|Frederico Barozio|Barosio|federico Varrocho|Frederick Barrocio|Du Baroche|Frederic Barache|Fedrigo Baroccio|Barozzo|Barotius|Barozzi|Barrochio|Baraccio|Barrovo|Barochius|Frederico Baroccio|Barozio|el Barosio|Frédéric Baroche d'Urbin|Friederico Barrozzio|Fried. Baroccio|Fredericus Barotius|Baroccir|Baronci|Fridrich Baroccio|fedricho borosio|Frederigo Barocci|le Barroche|baroccio frederico|Federigo Barrocci|Federico Baroci Fiorentino|Barecci|F. Baroccio|Borocio|Fred. Barrocio|Barotio|Le Baroche|Frid. Baroccio|Fred. Barozzi|F. Barrocio|federigo baroccio|Federigo Baroccio d'Urbino|Boraccio|Barrocchio|Barrocoio|Barozzio|Fried. Barochius|Barroche|Fed. Baroccio|Baroccioli|Barroccio|Friederich Barozio|Boroetie|fr. baroccio|Fred. Baroccio|Barroche. F.|Frédéric Baroche|Frederico Barrocci|Barocchi|Barraccio|Frederigo Baroccio|Barocci|Barocco|Frederico Barroccio|Barocchio|Barrocio|federico barrocio|F. Barocci|Boroccio|Baroccio|federico Barrozio|Barochi|Frederico Barochi|Baroche|F. Barroccio|M.ro Baro.n|F. Baroche|Fed. Barotius|Bertocci|Fredericus Barotzus Urbanus|Barocio|F. Barroche|F. Barocio|Barrozzi|Federico Baroni|Fr. Barozi|Barochio|F. Barotchi|Varrozio,541,Urbino,Urbino,human,1535,1612,Urbino,painter|printmaker|drawer|visual artist,Italy,art of painting|visual arts,,,male,Order of Friars Minor Capuchin,,,,,,,"Communion of the Apostles|Circumcision|Head of a Shepherd, study for The Circumcision|Madonna of the people",Renaissance,,,,,Simone Barocci,,,,,,,,,,,,,
Q1269439,666,wikidata,第三部分,278,第十章,1,Federico Bencovich,Federiko Benković,"Bencovitch, Benkovitch, Ferighetto Bencović|Ferighetto il Dalmatino|Federico il Dalmatino|Federico Bencovich|Federichetto il Dalmatino|Ferigheto Bencovich|Il Dalmatino|Ferigheto il Dalmatino|Fedrighetto Bencovich|Federiko il Dalmatino|Federichetto Bencovich|Il Federighetto|Ferghetto|Ferighetto Bencovich|Federiko Bencovich|Bencovitch, Ferigheto Bencović|Federico Bencović|Federiko Bencović|Federichetto Bencović|Federico Bencovic|Bencovitch, Benkovitch, Ferigheto Bencović|Bencovitch, Benkovitch, Federico Bencović|Bencovitch, Benkovitch, Federiko Bencović|Bencovitch, Benkovitch, Federichetto Bencović|Ferighetto|Bencovich|Ferigo Bencovich|il dalmatino federigo bencovich",542,Omiš,Omiš,human,1677,1753,Gorizia,painter,Venice,,Italy,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q469171,667,wikidata,第一部分,151,第六章,1,Federico Borromeo,Federico Borromeo,"Federigo Borromeo|Cardinal Federico Borromeo|Federico, Cardinal Borromeo",543,Milan,Milan,human,1564,1631,Milan,Catholic priest|librarian|inquisitor|Catholic bishop,,,,,male,,Milan Cathedral,Catholic Church,,House of Borromeo,,,,,,,Giulio Cesare Borromeo,,,,,Charles Borromeo,,,,,,,,,,
Q1747554,668,wikidata,第二部分,219,第八章,1,Federico Cervelli,Federico Cervelli,Federigo Cervelli|Francisco Cervelli|Cervelli|Fedrico Cervelli,544,Milan,Milan,human,1625,1700,Venice,painter,Republic of Venice,,Venice,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q322023,669,wikidata,第一部分,99219,第四章,6,Federico Cesi,Federico Cesi,Federico Angelo Cesi,545,Rome,Rome,human,1585,1630,Acquasparta,naturalist,,botany|natural science|history of natural science,Rome,,male,,,,,Cesi,,,"Nova plantarum, animalium et mineralium Mexicanorum historia|Apiarium",,,,,,Angelo Cesi,Olimpia Orsini,,,,,Lincean Academy,,,,,,,
