QID,序号,章节,原文英文全名,统一英文全名,P170|标签|创建者英文,P31|标签|实例英文,P571|标签|创作年,P17|标签|国家英文,P495|标签|原产国英文,P2048|标签|高度,P2049|标签|宽度,P195|标签|收藏英文,P276|标签|位置英文,P18|标签|图片英文,P921|标签|主要主题英文,P135|标签|运动英文,P1071|标签|创作地点英文,P88|标签|委托英文,P84|标签|建筑师英文,P149|标签|建筑风格英文,词频,页码,P859|标签|委托人/赞助人英文,P608|标签|展示地英文,T195|标签|收藏方英文,T9|标签|作者国籍英文,T6|标签|现存城市英文,T8|标签|作品属性英文
Q4731387,342,图版目录,Glorification of the Reign of Urban VIII,Allegory of Divine Providence and Barberini Power,Pietro da Cortona,fresco,1633,Italy,,1400 cm,2400 cm,,Galleria Nazionale d'Arte Antica|Rome,Ceiling of Palazzo Barberini.jpg,,Baroque,,Urban VIII,,,1,XII,Pope Urban VIII,Palazzo Barberini,,Italian,Rome,History (Contemporary history)
Q15805858,353,第二章,Happiness subject to Death(The Arcadian Shepherds),Et in Arcadia ego,Nicolas Poussin,group of paintings,,France,,,,,,Nicolas Poussin - Et in Arcadia ego (première version).jpg,,classicism,,,,,2,78117,Giulio Rospigliosi,,,French,Paris,Symbolism
Q126267268,356,第十五章,Hercules,Statue of Hercules restored as killing the Hydra of Lerna,Alessandro Algardi,statue,-350,Italy,,200 cm,,Capitoline Museums,Capitoline Museums,0 Héraclès terrassant l'Hydre de Lerne - Musei Capitolini.JPG,,,,,,,1,371,,Villa Querini,Angelo Querini,Italian,Rome,Mythology
Q427390,364,第五章,Holy Family,The Holy Family,Raphael,painting,1518,,Italy,147.4 cm,116 cm,Museo del Prado,Museo del Prado,Rafael - La Perla.JPG,Holy Family,High Renaissance,,,,,,131,,Basilica of Saint Sabina,Dominican|Vincenzo Giustiniani,Italian,,Religious themes (Biblical stories)
Q24249,366,第二章,Holy Family with St Catherine,Madonna of the Rabbit,Titian,painting,1527,,,71 cm,87 cm,Department of Paintings of the Louvre,"Salle des états, Louvre",La Vierge au Lapin à la Loupe.jpg,Madonna and Child|sacra conversazione,Venetian school,,,,,1,38,,,,Italian,,Religious themes (Biblical stories)
Q20185296,367,第九章,Holy House of Nazareth,The Miracle of the Holy House of Loreto,Giovanni Battista Tiepolo,painting,1743,Italy,,1229 mm,772 mm,J. Paul Getty Museum,Getty Center,Giovanni Battista Tiepolo - The Miracle of the Holy House of Loreto - 94.PA.20 - J. Paul Getty Museum.jpg,,Rococo,,,,,1,270,,,,Italian,Venice,Religious themes (Biblical stories)
Q26038063,369,图版目录,Hunt of Diana,Diana and her Nymphs,Domenichino,painting,1616,Italy,,225 cm,320 cm,Galleria Borghese,Galleria Borghese,Domenichino - La caccia di Diana (Galleria Borghese).jpg,Diana bathing with her nymphs,,,,,,,XIII,House of Borghese,Villa Borghese,,Italian,Rome,Mythology (Roman mythology)
Q60854085,373,第十一章,Il Filosofo Inglese,Il filosofo inglese,Carlo Goldoni,literary work,,,,,,,,,,,,,,,1,300,,,,Italian,,Drama
Q20354950,375,第九章,Il Giudicio di Paride,The Judgment of Paris,Luca Giordano,painting,1700,,,1890.0 mm,2310.0 mm,Statens Museum for Kunst,Statens Museum for Kunst,Luca Giordano - The Judgment of Paris - KMSsp65 - Statens Museum for Kunst.jpg,Judgement of Paris,,,,,,1,250,Labia Family,Labia Palace,,Italian,,Mythology (Ancient Greek mythology)
Q3204226,384,第七章,Inspiration du Poete,The Inspiration of the Poet,Nicolas Poussin,painting,1629,France,,182.5 cm,213 cm,Department of Paintings of the Louvre,Museum of Fine Arts of Lyon,L'Inspiration du poète - circa 1629 - Nicolas Poussin - Louvre - RF 1774.jpg,,classicism,,,,,1,180,Jules Mazarin,,,French,Paris,Fable
Q120884420,392,第八章,Jacob and Rebecca,Jacob and Rachel,Francesco Solimena,painting,1705,,,,,Gallerie dell'Accademia,,(Venice) Jacob and Rachel by Francesco Solimena - Gallerie Accademia.jpg,,,,,,,1,214,,,Baglioni family,Italian,,Religious themes (Biblical stories)
Q52218910,397,图版目录,Jerome Bankes,Jerome Bankes (1635/36-1686),Massimo Stanzione,painting,1655,United Kingdom,,127.0 cm,101.6 cm,National Trust|Kingston Lacy,Kingston Lacy,Massimo Stanzione (1585-1656) - Jerome Bankes (1635-1636–1686) - 1257045 - National Trust.jpg,,,Naples,,,,1,XIV,Bankes Family,Kingston Lacy,Ralph Bankes,Italian,Kingston Lacy,Portrait
Q4717953,404,图版目录,Juan de Pareja,Portrait of Juan de Pareja,Diego Velázquez,painting,1650,United States,,81.3 cm,69.9 cm,Metropolitan Museum of Art,Metropolitan Museum of Art,"Retrato de Juan Pareja, by Diego Velázquez.jpg",Juan de Pareja,Baroque,Rome,,,,1,"XIV,128",,Metropolitan Museum of Art,,Spanish,New York,Portrait
Q27980482,405,第八章,Judith Beheading Holofernes,Judith shows the people the head of Holofernes,Francesco Solimena,painting,1730,,,105 cm,130 cm,Kunsthistorisches Museum,Kunsthistorisches Museum,"Francesco Solimena - Judith with the Head of Holofernes - WGA21626.jpg|Francesco Solimena, , Kunsthistorisches Museum Wien, Gem?ldegalerie - Judith zeigt dem Volk das Haupt des Holofernes - GG 6915 - Kunsthistorisches Museum.jpg",Judith and Holofernes,,,,,,1,214,Girolamo Durazzo,,Baglioni family,Italian,,Religious themes (Biblical stories)
Q1133114,410,第七章,Jupiter and Antiope,Venus and Cupid with a Satyr,Antonio da Correggio,painting,1526,France,Italy,188 cm,125 cm,Department of Paintings of the Louvre,Room 712,"Vénus, Satyre et Cupidon - Le Corrège - Musée du Louvre Peintures INV 42 ; MR 163.jpg",,,,,,,1,185,Federico II Gonzaga,,Charles I|Jules Mazarin,Italian,Paris,Mythology (Roman mythology)
Q119637439,411,图版目录,Jupiter and Io,Jupiter and Io with Cupid and Attendant Putti,Jacopo Amigoni,painting,,United Kingdom,,366 cm,307 cm,Moor Park,Moor Park,,,,,,,,2,"XV,287",British Nobility,Moor Park,,Italian,,Mythology (Ancient Greek mythology)
Q19911476,420,第四章,King Midas washing his Face in the River Pactolus,Midas Washing at the Source of the Pactolus,Nicolas Poussin,painting,1627,,,97.5 cm,72.5 cm,Metropolitan Museum of Art,Metropolitan Museum of Art,Midas Washing at the Source of the Pactolus MET DP123854.jpg,,,,,,,1,117,,,Camillo Massimi,French,,Mythology (Roman mythology)
Q110868028,431,,la Venus,sketch for "Venus at the furnace of Vulcan",Luigi Garzi,painting|sketch,1711,Italy,,50 cm,64 cm,Collezione Lemme|J. Paul Getty Museum|Colnaghi,Rome,,Aeneid,,,,,,1,224,Raimondo Buonaccorsi,Raimondo Gallery,,,,
Q20274952,435,图版目录,Landscape with a Procession at Delphi,View of Delphi with a Procession,Claude Lorrain,painting,1673,United States,,102 cm,127 cm,Art Institute of Chicago,Art Institute of Chicago,Claude Lorrain - View of Delphi with a Procession - 1941.1020 - Art Institute of Chicago.jpg,,,,Carlo Camillo II Massimo,,,2,"XIII,118",Camillo Massimi,,,French,Chicago,Mythology (Roman mythology)
Q106584403,436,第七章,Landscape with Apollo,River Landscape with Apollo and the Cumaean Sibyl,Salvator Rosa,painting,1658,,,173.7 cm,259.5 cm,The Wallace Collection,The Wallace Collection,Salvator Rosa (1615-1673) - River Landscape with Apollo and the Cumaean Sibyl - P116 - The Wallace Collection.jpg,,,,,,,1,184,,Galerie Mazarin,Jules Mazarin,Italian,,Mythology (Roman mythology)
Q75135162,441,第六章,Landscape with the Flight into Egypt,Landscape with the Flight into Egypt,Claude Lorrain,painting,1646,,,100 cm,130 cm,Nivaagaard Museum,Nivaagaard Museum,"Claude Lorrain, Landskab med flugten til Egypten, ca. 1646, 0015NMK, Nivaagaards Maleresamling.jpg",Flight into Egypt,,,,,,1,156,House of Colonna,,,French,,Religious themes
Q93162240,444,第二章,Landscapes with St Matthew and with St John,The Holy Family with St. John,Nicolas Poussin,painting,1629,Germany|USA,,101 cm,76 cm,Staatliche Kunsthalle Karlsruhe,Staatliche Kunsthalle Karlsruhe,Sainte Famille avec st Jean Baptiste - Poussin - Karlsruhe.jpg|Nicolas Poussin - Die Heilige Familie mit dem Johannesknaben - 2485 - Staatliche Kunsthalle Karlsruhe.jpg,Holy Family,,,,,,1,46,House of Barberini,Villa Barberini,,French,Berlin|Chicago,Religious themes (Biblical stories)
Q2308934,450,第四章,Leda and the Swan,Leda and the Swan,Leonardo da Vinci,lost painting,1600,France,,,,Palace of Fontainebleau,Museum Boijmans Van Beuningen,Study for the Kneeling Leda.jpg,Leda and the Swan,Italian Renaissance,,,,,1,100,,Palace of Fontainebleau,,Italian,Fontainebleau,Mythology (Roman mythology)
Q98145601,458,第十章,Lord Manchester's Entry into Venice,The Arrival of the Earl of Manchester in Venice,Luca Carlevarijs,painting,1708,,,132 cm,264 cm,Birmingham Museums Trust,Birmingham Museum and Art Gallery,Luca Carlevarijs (1663-1730) - The Arrival of the Earl of Manchester in Venice - 1949P36 - Birmingham Museums Trust.jpg,,,,,,,1,278,"Charles Montagu, Earl of Manchester",,,Italian,,History (Contemporary history)
Q20529027,463,,Lucretia,The Death of Lucretia,Agostino Carracci,painting,1587,,,,,Statens Museum for Kunst,Statens Museum for Kunst,,suicide of Lucretia,,,,,,1,222,,,Antonio Ruffo,,,
Q18573595,466,图版目录,Madonna and Child,Madonna and Child,Giovanni Battista Salvi da Sassoferrato,painting,1650,Italy,,,,Department of Paintings of the Louvre,Room 729,"Sassoferrato, copia della madonna connestabile di raffaello, xvii sec.JPG",Madonna and Child,,,,,,2,"XIII,70",Roman Church,Italian National Gallery,,Italian,Rome,Religious themes (Biblical stories)
Q123597533,468,第一章,Madonna and Child,A Donor Presented to the Virgin,Guercino,painting,1616,,,309 cm,192 cm,Royal Museums of Fine Arts of Belgium,Old Masters Museum,Guercino Madonna donatore.jpg,,,,,,,,20,A monastery in Sicily,,,Italian,,Religious themes (Biblical stories)
Q45910487,472,第十一章,Madonna and Child with Saints,"Madonna and Child with St. Elizabeth, the Infant St. John the Baptist",Paolo Veronese,painting,1550,Italy,,103.8 cm,158.1 cm,Timken Museum of Art,Timken Museum of Art,"Veronese - Madonna and Child with St. Elizabeth, the Infant St. John the Baptist, and St. Catherine - Timken Museum - San Diego.jpg",Madonna and Child,,,,,,1,313,San Zaccaria,San Zaccaria,,Italian,Venice,Religious themes (Saints' lives)
Q867403,473,第八章,Madonna dal Collo Lungo,Madonna with the Long Neck,Parmigianino,painting,1530,Italy,,219 cm,132 cm,Uffizi Gallery,Uffizi Gallery|Santa Maria dei Servi (Parma),Parmigianino - Madonna dal collo lungo - Google Art Project.jpg,Madonna and Child,mannerism,,,,,1,232,Ferdinand de' Medici,,,Italian,Florence,Religious themes (Biblical stories)
Q3842604,474,第八章,Madonna del Baldacchino,Madonna of the Baldacchino,Raphael,painting,1507,Italy,,276 cm,224 cm,Galleria Palatina,Galleria Palatina,Madonna del Baldacchino.jpg,sacra conversazione,High Renaissance|Italian Renaissance painting,,,,,1,231,Ferdinand de' Medici,,,Italian,Florence,Religious themes (Biblical stories)
Q20068250,475,第九章,Madonna del Carmelo,The Madonna of Carmel and the Souls of the Purgatory,Giovanni Battista Tiepolo,painting,1724,Italy,,210 cm,650 cm,Pinacoteca di Brera,Pinacoteca di Brera,Giovanni Battista Tiepolo - The Madonna of Carmel and the Souls of the Purgatory - WGA22270.jpg,,,,,,,2,270273,,Chiesa di Sant'Aponal,,Italian,Milan,Religious themes (Marian themes)
Q1235695,476,第八章,Madonna delle Arpie,Madonna of the Harpies,Andrea del Sarto,painting,1517,Italy,,207 cm,178 cm,Uffizi Gallery,Uffizi Gallery,Andrea del Sarto - Madonna delle Arpie - Google Art Project.jpg,sacra conversazione,High Renaissance,,,,,2,231235,,,,Italian,Florence,Religious themes (Biblical stories)
Q24531,478,,Madonnaand Four Saints,Cortona Triptych,Fra Angelico,painting series|triptych,1437,,Italy,218 cm,240 cm,Diocesan Museum in Cortona,Diocesan Museum in Cortona,"Angelico, cortona poliptych 01.jpg",,Italian Renaissance,,,,,1,212,,,,,,
Q12123145,481,图版目录,Maecenas presenting the Arts to Augustus,Maecenas Presenting the Liberal Arts to Emperor Augustus,Giovanni Battista Tiepolo,painting,1743,,,69.5 cm,89 cm,Hermitage Museum,Hermitage Museum,Giovanni Battista Tiepolo - Maecenas Presenting the Liberal Arts - 1743.jpg,,,Italy,,,,2,"XVI,354",,,,Italian,,History (Ancient history)
Q16596970,482,图版目录,Maffeo Barberini,Portrait of Maffeo Barberini (Pope Urban VIII),Caravaggio|Scipione Pulzone,painting,1593,Italy,,121 cm,95 cm,Palazzo Corsini,Palazzo Corsini,Portrait of Pope Urban VIII-Caravaggio (Maffeo Barberini).jpg,Urban VIII,,,,,,1,XII,House of Barberini,,,Italian,Florence,Portrait
Q12900942,484,第八章,Magdalene,The Repentant Magdalene,Guido Cagnacci,painting,1660,,,229 cm,266 cm,Norton Simon Museum,Norton Simon Museum,The Repentant Magdalene (Cagnacci).jpg,Penitent Magdalene,,,,,,3,15241295,,,Ferdinand de' Medici,Italian,,Religious themes (Biblical stories)
Q119929412,491,第八章,Marriage Feast at Cana,The Marriage at Cana,Mattia Preti,painting,,,,229 cm,302 cm,Walker Art Gallery,Walker Art Gallery,,Marriage at Cana,,,,,,4,"207,216,373,208",Gaspar Roomer,,,Italian,,Religious themes (Biblical stories)
Q26511045,492,第四章,Marriage of Peleus,Marriage,Nicolas Poussin,painting,1638,,,95.5 cm,121 cm,Duke of Rutland collection|National Gallery,Belvoir Castle|Fitzwilliam Museum,Seven Sacraments - Marriage I (c1637-1640) Nicolas Poussin.jpg,,,,Cassiano dal Pozzo,,,,105,Cassiano dal Pozzo,,,French,,Mythology (Greek mythology)
Q26706747,493,第十章,Marriage of the couple being blessed by the Bishop of Würzburg in 1156,The Marriage of Frederick Barbarossa,Giovanni Domenico Tiepolo,painting,1752,Germany,,72.4 cm,52.7 cm,National Gallery,National Gallery,Giovanni Domenico Tiepolo (1727-1804) - The Marriage of Frederick Barbarossa and Beatrice of Burgundy - NG2100 - National Gallery.jpg,,,,,,,1,296,House of Rezzonico,,,Italian,Würzburg,History (Ancient history)
Q28796946,494,第四章,Mars and Venus,Mars and Venus,Nicolas Poussin,painting,1633,,,1575 mm,1898 mm,Toledo Museum of Art,Toledo Museum of Art,Nicolas Poussin - Mars and Venus - Google Art Project.jpg,Mars and Venus,,,,,,1,105,,,Cassiano dal Pozzo,French,,Mythology (Roman mythology)
Q48809220,497,第九章,Martyrdom of St John the Bishop,martyrdom of St. John the bishop,Giovanni Battista Tiepolo,painting,1745,Italy,,502 cm,240 cm,,Bergamo Cathedral,"Giovan battista tiepolo, martirio di san giovanni vescovo, 1743, 01.JPG|Tiepolo G.B. sec. XVIII, Martirio di S. Giovanni vescovo, Bergamo.jpg",,,,,,,1,262,,Bergamo Cathedral,,Italian,Bergamo,Religious themes (Saints' lives)
Q104585585,499,第四章,Massacre of the Innocents,Massacre of the Innocents,Nicolas Poussin,painting,,France,,,,Musée des Beaux-Arts de la ville de Paris,Petit Palais,Nicolas Poussin - Le Massacre des Innocents - PDUT879 - musée des Beaux-Arts de la ville de Paris.jpg,Massacre of the Innocents,classicism,,,,,5,"96,96,237,237,238",Vincenzo Giustiniani,,,French,Chantilly,Religious themes (Biblical stories)
Q77874854,501,第八章,Massacre of the Innocents,The Massacre of the Innocents,Giuseppe Maria Crespi,painting,,,,131 cm,180 cm,National Gallery of Ireland,National Gallery of Ireland,The Massacre of the Innocents .PNG,Massacre of the Innocents,,,,,,,237,,,,Italian,,Religious themes (Biblical stories)
Q110872609,509,,Mezentius,Duel between Aeneas and Mezentius,Gregorio Lazzarini,painting,1712,Italy,,304 cm,326 cm,Palazzo Buonaccorsi Gallery of Ancient Art,Gallery of Aeneid,"Gregorio lazzarini, battaglia di enea e mesenzio, 01.jpg",Aeneid,Venetian school,,Raimondo Buonaccorsi,,,1,225,Raimondo family,,,,,
Q64547309,512,第九章,Mission,The Mission,Giuseppe Maria Crespi,painting,1710,,,,,Detroit Institute of Arts,Detroit Institute of Arts,Giuseppe Maria Crespi - The Mission - 38.88 - Detroit Institute of Arts.jpg,,,,,,,1,265,Zaccaria Sagredo,,,Italian,,Religious themes (Religious allegory)
Q12418,518,第四章,Mona Lisa,Mona Lisa,Leonardo da Vinci,painting|portrait painting,1503,France,Republic of Florence,77 cm,53 cm,Department of Paintings of the Louvre,"Salle des états, Louvre|Louvre Museum","Mona Lisa, by Leonardo da Vinci, from C2RMF retouched.jpg",Lisa del Giocondo,,Florence,Francesco del Giocondo,,,1,106,Francesco del Giocondo,,Cassiano dal Pozzo,Italian,Paris,Portrait
Q19820177,527,第四章,Moses changing Aaron's Rod into a Serpent,Moses Turning Aaron's Staff into a Serpent,Nicolas Poussin,painting,1645,France,,92 cm,128 cm,Department of Paintings of the Louvre,Room 826,Mo?se changeant en serpent la verge d'Aaron - 1646-1647 - Nicolas Poussin - Louvre - INV 7274 ; MR 2318.jpg,,classicism,,,,,1,114,Camillo Massimi,,,French,Paris,Religious themes (Biblical stories)
Q125220428,529,图版目录,Moses trampling on Pharaoh's crown,Moses Trampling on Pharoah's Crown,Nicolas Poussin,painting,1645,France,,101 cm,144 cm,Duke of Bedford,Woburn Abbey,Mo?se enfant foulant aux pieds la couronne de Pharaon - Poussin - Woburn Abbey.jpg,,,,,,,2,"XII,114",,Woburn Abbey,,French,Paris,Religious themes (Biblical stories)
Q29016692,541,第七章,Muse And Good,"Clio, Muse of History",Artemisia Gentileschi,painting,1632,,,127.6 cm,97.5 cm,Palazzo Giuli Rosselmini Gualandi,Palazzo Giuli Rosselmini Gualandi,"Gentileschi, Artemisia - Clio - 1632.jpg",,,,,,,2,178245,Henrietta Maria of France,,,Italian,London,Fable
Q27967889,543,第四章,Mystic Marriage of St Catherine,The Mystic Marriage of Saint Catherine,Nicolas Poussin,painting,1628,,,126.00 cm,168.00 cm,National Galleries Scotland|Cook collection,Scottish National Gallery|Doughty House,Mariage mystique de sainte Catherine - Poussin - NGofScotland.jpg,mystic marriage of Saint Catherine,,,,,,2,105121,,Palazzo Giuli Rosselmini Gualandi,Cassiano dal Pozzo,French,,Religious themes (Saints' lives)
Q729773,570,第十四章,Palazzo Chiericati,Palazzo Chiericati,Giovanni Antonio Canal (Canaletto),palazzo,1550,Italy,,,,,,Palazzo Chiericati (Vicenza).jpg,,,,Chiericati family,Andrea Palladio,Palladian architecture,,542,Francesco Algarotti,,,Italian,,Landscape
Q2517428,571,第十四章,Palazzo della Ragione,Palazzo della Ragione,Giovanni Antonio Canal (Canaletto),palace|Palazzo della Ragione|palazzo museum|religious museum|museum of a public entity,,Italy,,,,,,Exterior of Palazzo della Ragione (Padua).jpg,,,,,,,,542,Francesco Algarotti,,,Italian,,Landscape
Q55412120,573,图版目录,Pan and Syrinx,Pan and Syrinx,Sebastiano Ricci,painting,1700,Italy,,,,Moravian Gallery in Brno,Moravian Gallery in Brno,,,,,,,,3,XIV，11，236,House of Medici,,,Italian,Florence,Mythology (Ancient Greek mythology)
Q64960921,575,图版目录,Paolo Giordano Orsini,Paolo Giordano Orsini II,Ottavio Leoni,print,,,,,,National Gallery of Art|Prints in the National Gallery of Art,National Gallery of Art,"Ottavio Leoni, Paolo Giordano Orsini II, NGA 934.jpg",,,,,,,1,XIII,Duke of Bracciano,,,Italian,,Portrait
Q126891347,579,第十四章,Perseus,Perseus by Benvenuto Cellini,Benvenuto Cellini,sculpture,,Italy,,,,,Loggia dei Lanzi,,,,,,,,1,348,Cosimo I de' Medici,,,Italian,Florence,Mythology (Ancient Greek mythology)
Q48808515,586,第十七章,Pietà,Pietà (Cosmè Tura),Cosimo Tura,painting,1460,Italy,,48 cm,33 cm,Museo Correr,Museo Correr,CosimoTura.jpg,Pietà,,,,,,1,382,,,Teodoro Correr,Italian,Venice,Religious themes (Biblical stories)
Q62588803,587,,Plague at Ashdod,The Plague at Ashdod,Nicolas Poussin,painting,1620,,,149.5 cm,199 cm,National Museum of Ancient Art,National Museum of Ancient Art,Nicolas Poussin Os Filisteus atacados de peste em Azot.jpg,,,,,,,1,15,,,,,,
Q119496876,605,第七章,Portrait of Charles I,The Children of Charles I,Anthony van Dyck,painting,,United Kingdom,,29.2 cm,30.8 cm,Young V&A,Young V&A,,,,,,,,2,185197,Charles I of England,,Cardinal Mazarin,Flemish,London,Portrait
Q128136233,615,第十一章,Portrait of Field Marshal Schulenburg(5),Johann Matthias von der Schulenburg,Giovanni Antonio Guardi,painting,1741,,,140 cm,113 cm,Ca' Rezzonico,,Ca' Rezzonico - Ritratto di Johann Matthias von der Schulenburg - Antonio Guardi.jpg,,,,,,,,309,Johann Matthias von der Schulenburg,,,Italian,,Portrait
Q118998667,618,第十一章,Portrait of Frederick the Great,Frederick the Great,Antoine Pesne,painting,1743,,,91.4 cm,71.1 cm,Arbuthnot Museum,Arbuthnot Museum,,,,,,,,,316,Sigismund Streit,,,French,,Portrait
Q119075275,637,第六章,Portrait of Pope Clement IX,Portrait of Pope Clement IX,Carlo Maratta,painting,1691,Belgium,Italy,97.5 cm,73 cm,Royal Museums of Fine Arts of Belgium,Royal Museums of Fine Arts of Belgium,"Maratti, Carlo - Portret van Paus Clemens IX - 6293 - Royal Museums of Fine Arts of Belgium.jpg",Clement IX,,,,,,,157,Pope Clement IX,,,Italian,,Portrait
Q60760150,639,第六章,Portrait of Pope Innocent X,Portrait of Pope Innocent X Pamphili,Alessandro Algardi,sculpture,1647,,,97 cm,81 cm,Cleveland Museum of Art,Cleveland Museum of Art,Clevelandart 1957.496.jpg|Alessandro Algardi - Portrait of Pope Innocent X Pamphili - 1957.496 - Cleveland Museum of Art.tif,,,,,,,,149,Pope Innocent XI,,,Italian,,Portrait
Q1240092,640,第四章,Portrait of Pope Innocent X,Portrait of Innocent X,Diego Velázquez,painting,1650,Italy,,141 cm,119 cm,Galleria Doria Pamphilj,Galleria Doria Pamphilj,"Retrato del Papa Inocencio X. Roma, by Diego Velázquez.jpg",Innocent X,Baroque painting of Spain,,,,,,116,Pope Innocent XI,,,Spanish,Rome,Portrait
Q87459322,642,第十五章,Portrait of Rousseau,Jean Jacques Rousseau,Jean-Antoine Houdon,sculpture,1779,,,,0.445m,Department of Sculptures of the Louvre,La Galerie du temps,,,,,,,,,369,Angelo Querini,Villa Altiquiero,,French,,Portrait
Q85342160,643,第十一章,Portrait of Sigismund Streit,Portrait of Sigismund Streit,Jacopo Amigoni,painting,1739,,,97 cm,79 cm,Gem?ldegalerie,"Italian, French and Spanish Paintings in the Gem?ldegalerie, Berlin - Room XII|Gem?ldegalerie","Der Kaufmann Sigismund Streit (1739) - Jacopo Amigoni (Gem?ldegalerie, Berlin).jpg",,,,,,,,316,Sigismund Streit,,,Italian,,Portrait
Q5002065,652,第四章,Portrait of the Archbishop of Pisa,Bust of Carlo Antonio del Pozzo,Gian Lorenzo Bernini,sculpture,1622,United Kingdom,,82 cm,70 cm,Scottish National Gallery,National Galleries Scotland,Bust of Carlo Antonio del Pozzo by Bernini.jpg,,Baroque,,,,,,101,Archbishop of Pisa,,,Italian,,Portrait
Q56062813,659,第十五章,Portrait of Voltaire,Voltaire,Jean-Antoine Houdon,sculpture,1781,Russia,,,,,Hermitage Museum,"Jean-Antoine Houdon, voltaire, 1781.JPG",,,,,,,,369,Angelo Querini,Villa Altiquiero,,French,,Portrait
Q2636862,666,图版目录,Prà de?a Va?e,Prato della Valle,Canaletto,square,,Italy,,,,,,Prato della Valle-Pianta Statue.jpg,,,,,,,1,XVI,,,,Italian,Padua,Landscape
Q106777102,667,第一章,Prometheus,Prometheus,Salvator Rosa,painting,,,,101.30 cm,85.50 cm,Princeton University Art Museum,Princeton University Art Museum,,Prometheus,,United States of America,,,,1,143,Carlo de' Rossi,,,Italian,,Mythology (Ancient Greek mythology)
Q21716446,679,第十章,Regatta in honour of Frederick IV of Denmark,"Regatta on the Grand Canal in Honour of Frederick IV of Denmark on 4 March, 1710",Luca Carlevarijs,painting,1710,,,61 cm,121 cm,Hermitage Museum,Hermitage Museum,,,,Italy,,,,1,278,Frederick IV of Denmark,,,Italian,,History (Contemporary history)
Q28796949,687,第二章,Rest on the Flight into Egypt,The Rest on the Flight into Egypt,Nicolas Poussin,painting,1629,,,57 cm,74 cm,"Museum of Fine Arts, Budapest","Museum of Fine Arts, Budapest",Nicolas Poussin - The Rest on the Flight into Egypt - Google Art Project.jpg,rest on the flight into Egypt,,,,,,,78,Giulio Rospigliosi,,,French,,Religious themes (Biblical stories)
Q52289557,702,第四章,Sacrifice of Noah,The Sacrifice of Noah,Nicolas Poussin,painting,1642,,,99.1 cm,134.6 cm,National Trust,Tatton Park,Nicolas Poussin (1594-1665) - The Sacrifice of Noah - 1298200 - National Trust.jpg,Genesis flood narrative,,,,,,2,105219,Cassiano dal Pozzo,Cappella Colleoni,,French,,Religious themes (Biblical stories)
Q27895778,703,第六章,Sacrifice to Apollo,Landscape with the Father of Psyche Sacrificing at the Milesian Temple of Apollo,Claude Lorrain,painting,,,,,,Indianapolis Museum of Art,Indianapolis Museum of Art,Claude Lorrain - Landscape with the Father of Psyche Sacrificing at the Milesian Temple of Apollo - 64.28 - Indianapolis Museum of Art.jpg,,,,,,,1,162,,,Altieri family,French,,Mythology
Q79516336,707,第九章,"Saints Agnes, Rosa and Catherine","Madonna with Saints Agnes, Catherine and Rosa",Giovanni Battista Tiepolo,print,,Italy,,,,Cleveland Museum of Art,Cleveland Museum of Art,"Giovanni Domenico Tiepolo (Italian, 1727-1804) - Madonna with Saints Agnes, Catherine and Rosa - 1923.234 - Cleveland Museum of Art.jpg",,,,,,,1,271,Gesuati Order,,,Italian,Venice,Religious themes (Saints' lives)
Q27964827,708,,Saints Peter,Saint Peter Penitent,Guercino,painting,1639,,,103.70 cm,85.80 cm,National Galleries Scotland,Scottish National Gallery,Guercino (1591-1666) - Saint Peter Penitent - NG 39 - National Galleries of Scotland.jpg|Guercino (Giovanni Francesco Barbieri) - St Peter Penitent - NG 39 - National Galleries of Scotland.jpg,,,,,,,1,182,,,,,,
Q104443853,712,第二章,Santa Marinella,Landscape with the Port of Santa Marinella,Claude Lorrain,painting,1639,France,,46 cm,53.2 cm,Musée des Beaux-Arts de la ville de Paris|Dutuit collection,Petit Palais,Claude (dit le Lorrain) Gellée - Paysage avec le port de Santa Marinella - PDUT872 - Musée des Beaux-Arts de la ville de Paris.jpg,,,,,,,1,49,Pope Urban VIII,Petit Palais,,French,Paris,Landscape
Q52242065,723,第二章,Seaport,A Seaport,Claude Lorrain,painting,1649,France|United Kingdom,,29.2 cm,43.2 cm,National Trust|Nostell Priory,Nostell Priory,Claude Lorrain (1604-1682) (style of) - A Seaport - 959470 - National Trust.jpg,,,Italy,,,,1,49,Pope Urban VIII,,,French,Paris|London,Landscape
Q97838760,730,第七章,Semiramis,Semiramis Called to Arms,Guercino,painting,1645,,,130 cm,152 cm,,,Guercino Semiramide Babilonia.jpg,Semiramis,,,,,,2,177178,,,,Italian,,History (Ancient history)
Q7457394,741,,Seven Sacraments,Seven Sacraments,Nicolas Poussin,painting series,,,,,,,,,,classicism,,Cassiano dal Pozzo,,,5,"106,107,110,114,401",Cassiano dal Pozzo,,,,,
Q50819037,745,第七章,Sir Thomas Baines,"Sir Thomas Baines, F.R.S., F.R.C.P. 1622-1681",Carlo Dolci,painting,1667,United Kingdom,,86.2 cm,72.4 cm,Fitzwilliam Museum,Fitzwilliam Museum,"Carlo Dolci (1616-1686) - Sir Thomas Baines FRS, FRCP (1622–1681) - PD.13-1972 - Fitzwilliam Museum.jpg",,,,,,,2,"XIV,197",Sir Thomas Baines,Fitzwilliam Museum,,Italian,Cambridge,Portrait
