Refined_Formal_Name,Original-QID,Second-Query_QID,LLM-Fillin_QID,Second-Query_Label,Verification_Status
Dome Frescoes (Sant'Agnese in Agone),,,,,
Domenichino,Q320118,,,Domenichino,
Domenico Bernini,Q2338440,,,Domenico Bernini,
Domenico Brugieri,Q16240592,,,Giovanni Domenico Brugieri,
Domenico Carutti,Q3712948,,,Domenico Carutti,
Domenico Cerato,Q3712960,,,Domenico Cerato,
Domenico Darmanno,,,,,
Domenico Fedini,Q3713023,,,Domenico Farini,
Domenico Fetti,Q551695,,,Domenico Fetti,
Domenico Fontana,Q336806,Q66624849,,Domenico Fontana,
Domenico Gargiulo (Micco Spadaro),Q1170226,,,Domenico Gargiulo,
Domenico Ginnasi,Q1237172,,,Domenico Ginnasi,
Domenico Guidi,Q937081,,,Domenico Guidi,
Domenico Lionati da Fanano,,,,,
Domenico Lovisa,Q19569565,,,Domenico Lovisa,
Domenico Maria Fratta,Q5290109,,,Domenico Maria Fratta,
Domenico Maria Viani,Q5290110,,,Domenico Maria Viani,
Domenico Martinelli,Q685236,,,Domenico Martinelli,
Domenico Michelessi,Q5986198,,,Domenico Michelessi,
Domenico Parodi,Q16853938,,,Domenico Parodi,
Domenico Passignano,Q966655,,,Domenico Passignano,
Domenico Piola,Q1054362,,,Domenico Piola,
Domenico Pompeati,,,,,
Domenico Riccio (Il Brusasorci),Q2297219,,,Domenico Riccio,
Domenico Rossi,Q60335720,Q108446764,,Domenico Rossi,
Domenico Valeriani,Q20203313,,,Domenico Valeriani,
Domenico Viola,Q3034775,,,Domenico Viola,
Domenico Zanetti,Q1237287,,,Domenico Zanetti,
Domenico and Giuseppe Valeriani,Q108451300,,,Domenico,
Domenico da Isnello,,,,,
Dominicans,Q131479,Q3247924,,Dominicans,
"Dominique Vivant, Baron Denon",Q468618,,,Vivant Denon,
Donald Posner,Q18934914,,,Donald Posner,
Donato Bramante,Q7793,,,Donato Bramante,
Donato Creti,Q2340302,,,Donato Creti,
Dora Coggiola,Q104844536,,,Dora Coggiola,
Dosso Dossi,Q356777,,,Dosso Dossi,
"Douglas Hamilton, 8th Duke of Hamilton",Q1252199,,,"Douglas Hamilton, 8th Duke of Hamilton",
Drawings of Sagredo Family Members,,,,,
Dream of St Joseph,Q27895601,,,,
Dresden,Q1731,,,Dresden,
Drunken Silenus,Q17652393,Q3960488,,Drunken Silenus,
Duchess of Bagnara,,,,,
Duchess of Savoy,Q33188,,,,
Duel between Aeneas and Mezentius,Q110872609,,,Duel between Aeneas and Mezentius,
Duke of Devonshire,Q541098,,,Duke of Devonshire,
Duke of Lorraine,Q21096112,,,Duke of Lorraine,
Duke of Manchester,Q302545,,,Duke of Manchester,
Duke of Modena,Q715243,,,"Francesco II d'Este, Duke of Modena",
Duke of Richmond,Q1264599,,,Duke of Richmond,
Dukes of Parma,Q390311,,,liste of dukes of Parma,
Dulwich,Q146766,,,Dulwich,
Duplex Intercessio,,,,,
Dutch artists,Q2344569,,,,
Dux (Duchcov),Q829120,,,Dux,
Dwight C. Miller,Q111592364,,,Dwight C. Miner,
Düsseldorf,Q1718,,,Düsseldorf,
Earl of Carlisle,Q2626440,,,Earl of Carlisle,
Earl of Dartmouth,Q5326247,,,Earl of Dartmouth,
Earl of Halifax,Q1277292,,,Earl of Halifax,
Earl of Tankerville,Q5326378,,,Earl of Tankerville,
Ecstasy of Saint Teresa,Q1333433,,,Ecstasy of Saint Teresa,
Edgar Wind,Q72294,,,Edgar Wind,
Edgar de Vaes,Q46373,,,Edgar Degas,
Edgware,Q149651,,,Edgware,
Edmond Bonnaffé,Q18011936,,,Edmond Bonnaffé,
Edmé Bouchardon,Q987687,,,Edme Bouchardon,
Edoardo Lombardo,,,,,
Education of the Virgin,Q28782831,,,Education of the virgin,
Edward Coke (1758-1837),Q332435,,,Edward Coke,
Edward Croft-Murray,Q20876083,,,Edward Croft-Murray,
Edward Gibbon,Q161841,,,Edward Gibbon,
Edward Poore,Q75928552,Q75928525,,Edward Poore,
Edward Wright,Q1294162,,,Edward Wright,
Edward Young,Q507699,Q15055406,,Eduard Young,
El Escorial,Q985269,,,El Escorial,
Elena Bassi,Q3721387,,,Elena Bassi,
Elena Crinò,Q5359029,,,Elena Grinenko,
Eleonora Zambeccari,,,,,
Elijah,Q133507,Q19827682,,Elijah,
Elijah Taken Up in a Chariot of Fire,Q20177926,,,Elijah Taken Up in a Chariot of Fire,
Elisa Carandini,,,,,
Elisabeth Dhanens,Q18346470,,,Elisabeth Dhanens,
Elisabetta Antoniazzi Rossi,,,,,
Elizabeth Du Gué Trapier,Q16271130,,,Elizabeth Du Gue Trapier,
"Elizabeth Felton, Countess of Bristol",Q3723395,,,Elizabeth Felton,
Elizabeth Yates,Q4990813,Q5363769,,Elizabeth Yates,
Ellis Waterhouse,Q3051533,,,Ellis Waterhouse,
Elpidio Benedetti,Q60628565,,,Elpidio Benedetti,
Emil Kauffmann,Q31789636,,,Emil Kauffmann,
Emilia-Romagna,Q1263,,,Emilia-Romagna,
Emilio Bonomelli,Q93270100,,,Emilio Bonomelli,
Emilio De Tipaldo,Q3724329,,,Emilio Amedeo De Tipaldo,
Emilio Lavagnino,Q3724437,,,Emilio Lavagnino,
Emilio Morpurgo,Q3724468,,,Emilio Morpurgo,
"Emily Temple, Viscountess Palmerston",Q5372252,,,"Emily Temple, Viscountess Palmerston",
Emmanuele Antonio Cicogna,Q1338457,,,Emmanuele Antonio Cicogna,
Emperor Henry IV Kneeling Before Pope Gregory VII,Q19898046,,,,
Enea Arnaldi / Lodovico Arnaldi?,,,,,
Enea Silvio Caprara,,,,,
English patronage,,,,,
Enrico Brol (Author),Q164995,,,Enrico Berlinguer,
Enrico Carusi,Q21207482,,,Enrico Carusi,
Enrico Narducci,Q19999223,,,Enrico Narducci,
Enrico Zuccalli,Q124421,,,Enrico Zuccalli,
Enriqueta Harris,Q3054716,,,Enriqueta Harris,
Entrance of Procurator Giorgio Pisani,,,,,
Entry of the Count of Colloredo,,,,,
Enzo Bentivoglio,Q21548348,Q123115360,,Enzo Bentivoglio,
Enzo Crea,Q132063168,,,Enzo Créations,
Epicurus,Q43216,,,Epicurus,
Equestrian Statue of Henry IV,Q3497607,,,Equestrian statue of Henry IV,
Equestrian Statue of Louis XIV,Q3497625,,,Equestrian Statue of Louis XIV,
Ercole Ferrata,Q1348674,,,Ercole Ferrata,
Ercole Graziani,Q97583522,,,Ercole Graziani the Elder,
Ercole Lelli,Q3056021,,,Ercole Lelli,
Ercole Procaccini the Elder,Q3056023,,,Ercole Procaccini the Elder,
Erminia,Q17324876,Q3732023,,Erminia,
Ernst Gombrich,Q78504,,,Ernst Gombrich,
Ernst Zacharias Platner,Q990955,,,Ernst Zacharias Platner,
Erwin Panofsky,Q57656,,,Erwin Panofsky,
Esau,Q220822,Q81826641,,Esau,
Este,Q34607,,,Este,
Estella Brunetti,,,,,
Esther,Q837839,,,Esther,
Esther before Ahasuerus,Q26492606,Q3733425,,Esther before Ahasuerus,
Et in Arcadia ego,Q15805858,Q1140358,,Et in Arcadia ego,
Etchings of Oriental-style Heads,,,,,
Eteocles,Q506550,,,Eteocles,
Eteocles and Polynices,Q21614334,,,Eteocles and Polynices,
Euclid,Q8747,,,Euclid,
Eugene of Savoy,Q152428,,,Eugene of Savoy,
Eugène Michaud,Q23806382,,,Eugène Michaud,
Euphrasian Basilica (Poreč),Q645105,,,Euphrasian Basilica,
Europa,Q165170,,,Europa,
European scientific societies,,,,,
Eusebio Della Lena,Q104804972,,,Eusebio Della Lena,
Eustachio Manfredi,Q3541151,,,Eustachio Manfredi,
Eustachio Zanotti,Q3735039,,,Eustachio Zanotti,
Evelina Borea,Q3735302,,,Evelina Borea,
Everhard Jabach,Q103934,,,Everhard Jabach,
Exhibition of S. Rocco,,,,,
Ezekiel,Q194064,Q19271130,,Ezekiel,
Fabia Borroni Salvadori,Q55946258,,,Fabia Borroni,
Fabio Canal,Q3737627,,,Fabio Canal,
Fabio Mauroner,Q3737779,,,Fabio Mauroner,
Fabio de Fabiis,,,,,
Fabio degli Abati Olivieri,Q3063732,,,Fabio degli Abati Olivieri,
Fabrizio Moretti,Q47542159,Q522260,,Fabrizio Moretti,
Fabrizio Pignatelli d'Aragona,Q105963506,,,"Fabrizio Pignatelli d'Aragona, 10th Duke of Monteleone, 9th Marquess of the Valley of Oaxaca",
Fabrizio Savelli,Q3064019,,,Fabrizio Savelli,
Fabrizio Spada,Q1355246,,,Fabrizio Spada,
Fabrizio Tarso,Q90244481,,,Fabrizio Carbone,
Fabrizio Valguarnera,Q21714539,,,Fabrizio Valguarnera,
Facade of Santa Maria del Giglio,,,,,
Faith crushing Idolatry,,,,,
Fame Carrying the Name of Louis XIV...,,,,,
Fame inscribing the glories of Louis XIV...,,,,,
Famiano Strada,Q2531858,,,Famiano Strada,
Fantastical Heads in the Manner of Giorgione,,,,,
Fantasy and reason,Q132311,,,fantasy,
Farnese (Family),Q351536,,,Farnese,
Fausta Franchini Guelfi,Q111282793,,,Fausta Franchini Guelfi,
Faustina Savorgnan,,,,,
Fausto Rughesi,Q124857379,Q109295630,,Fausto Rughesi,
Federico Barocci,Q316731,,,Federico Barocci,
Federico Bencovich,Q1269439,,,Federiko Benkovi?,
Federico Borromeo,Q469171,,,Federico Borromeo,
Federico Cervelli,Q1747554,,,Federico Cervelli,
Federico Cesi,Q322023,Q1605089,,Federico Cesi,
Federico Correr Lorenzetti,,,,,
Federico Zeri,Q1089074,,,Federico Zeri,
Federico Zuccari,Q345605,,,Federico Zuccari,
Federico da Montefeltro,Q435501,,,Federico da Montefeltro,
Felice Boscarati,Q5441673,,,Felice Boscaratti,
Felice Brusasorzi,Q2600590,,,Felice Riccio,
Felice Salimbeni,Q1402999,,,Felice Salimbeni,
Felice Torelli,Q712531,,,Felice Torelli,
Felice da Cantalice,Q982691,,,Felix of Cantalice,
Felicita Sartori,Q33743656,,,Felicita Sartori,
Ferdinand Boyer,Q62559508,Q8319285,,Ferdinand Boyer,
Ferdinand Ernst Gabriel von Waldstein,Q472851,,,Count Ferdinand Ernst Gabriel von Waldstein,
"Ferdinand Maria, Elector of Bavaria",Q60438,,,"Ferdinand Maria, Elector of Bavaria",
Ferdinand van den Eynde,Q99237902,Q115811440,,Ferdinand Van den Eynde,
Ferdinando Caiano,Q55228233,,,Ferdinando Gianotti,
Ferdinando Carlo Gonzaga,Q714792,,,"Ferdinando Carlo Gonzaga, Duke of Mantua and Montferrat",
"Ferdinando Carlo Gonzaga, Duke of Mantua",Q714792,,,"Ferdinando Carlo Gonzaga, Duke of Mantua and Montferrat",
Ferdinando Colonna (Prince of Stigliano),Q104527746,,,Ferdinando Colonna di Stigliano,
Ferdinando Galiani,Q979496,,,Ferdinando Galiani,
Ferdinando Galli-Bibiena,Q701319,,,Ferdinando Galli-Bibiena,
"Ferdinando Gonzaga, Duke of Mantua",Q969739,,,"Ferdinando Gonzaga, Duke of Mantua",
Ferdinando I de' Medici,Q297483,,,Ferdinando I de' Medici,
Ferdinando II de' Medici,Q314558,,,Ferdinando II de' Medici,
Ferdinando Raggi,Q3068732,,,Ferdinando Ruggieri,
Ferdinando Uccelli,Q434278,,,Ferdinando Ughelli,
Ferdinando d'Adda,Q1366303,,,Ferdinando d'Adda,
Ferdinando de' Medici,Q465178,Q68868116,,Ferdinando de’ Medici,
Ferdinando de' Medici (Grand Prince),Q68868116,,,Ferdinando de’ Medici,
"Ferdinando de' Medici, Grand Prince of Tuscany",Q465178,,,"Ferdinando de' Medici, Grand Prince of Tuscany",
"Fernando Afán de Ribera, 3rd Duke of Alcalá",Q1762520,,,"Fernando Afán de Ribera, 3rd Duke of Alcalá de los Gazules",
"Fernando Afán de Ribera, duke of Alcalá",Q1762520,,,"Fernando Afán de Ribera, duke of Alcalá de los Gazules",
Ferney-Voltaire,Q233733,,,Ferney-Voltaire,
Ferrante Carli,Q98111606,,,Ferrante Carlo,
Ferrara,Q13362,,,Ferrara,
Filippo Baldinucci,Q979574,,,Filippo Baldinucci,
Filippo Bosdari,Q112228632,,,Filippo Bosdari,
Filippo Brunelleschi,Q174330,,,Filippo Brunelleschi,
Filippo Clementi,Q15410619,,,Filippo Clementi,
Filippo Colonna,Q3745221,,,Filippo I Colonna,
Filippo Corsini,Q3745158,Q110738215,,Filippo Corsini,
Filippo Farsetti,Q16556042,,,Filippo Farsetti,
Filippo Gherardi,Q3071896,,,Filippo Gherardi,
Filippo Juvarra,Q85000,,,Filippo Juvarra,
Filippo Lauri,Q3071902,,,Filippo Lauri,
Filippo Napoletano,Q601644,,,Filippo Napoletano,
Filippo d'Angeli (Filippo Napoletano),Q3071925,,,Filippo d'Angeli,
Filippo della Valle,Q2705609,,,Filippo della Valle,
Finding of Romulus and Remus,Q28801435,,,Finding of Romulus and Remus,
Fitzwilliam Museum,Q1421440,,,Fitzwilliam Museum,
Flagstaff / Glacier?,Q5457016,,,Flagstaff Glacier,
Flaminio Corner,Q3746370,,,Flaminio Corner,
Flaminio Scarselli,Q54854824,,,Flaminio Scarselli,
Flavio Chigi,Q368700,Q1397340,,Flavio Chigi,
Flavio Chigi (1631-1693),Q443236,,,Flavio Chigi,
Flemish artists in Rome,,,,,
Flight into Egypt,Q3754066,,,Flight into Egypt,
Flight of Aeneas from Troy,Q112227049,,,,
Flora,Q7904948,,,Flora,
Florence,Q2044,,,Florence,
Florence Cathedral (Duomo),Q191739,,,Florence Cathedral,
Fondamenta Foscarini,Q110196230 ,,,,
Fondamenta delle Zattere,Q3747124,,,fondamenta delle Zattere,
Fondazione Giorgio Cini,Q1435690,,,Giorgio Cini Foundation,
Fondazione Musei Civici di Venezia,Q3747203,,,Fondazione Musei Civici di Venezia,
Fondo del Gesù,Q1768905,,,El Fondó de les Neus,
Fontana dei Quattro Fiumi,Q655470,,,Four Rivers Fountain,
Fordham University,Q130965,,,Fordham University,
Foresteria (Guest House),Q38228423,,,Foresteria,
Forlì Cathedral,Q2942665,,,Forli cathedral,
Fortitude,Q605035,,,fortitude,
Fortune under the control of Virtue,,,,,
"Fortune under the control of Virtue, Justice and Peace",,,,,
Foscarini (Family),Q1169601,,,Foscarini,
Four Evangelists,Q472773,,,Four Evangelists,
Fra Bartolomeo,Q7780,,,Fra Bartolomeo,
Fra Galgario,Q1440305,,,Fra Galgario,
Fra Galgario (Vittore Ghislandi),Q1440305,,,Fra Galgario,
Frances Lehman Loeb Art Center,Q5478803,,,Frances Lehman Loeb Art Center,
Frances Pamela Ann Strickland,Q76180855,,,Frances Pamela Ann Strickland,
Francesca Bussi,Q109805783,,,Francesca Bussi,
Francesca Flores d'Arcais,Q61475877,,,Francesca Flores D'Arcais,
Francesco Adriano Ceva,Q3080894,,,Francesco Adriano Ceva,
Francesco Albani,Q358147,,,Francesco Albani,
Francesco Albergati Capacelli,Q371439,,,Francesco Albergati Capacelli,
Francesco Alberto Salvagnini,Q104731073,,,Francesco Alberto Salvagnini,
Francesco Algarotti,Q439081,,,Francesco Algarotti,
Francesco Allegrini,Q44101021,,,Francesco Allegrini,
Francesco Andrea Grassi,Q3749533,,,Francesco Andrea Grassi,
Francesco Andreosi,Q1388981,,,Francesco Andreini,
Francesco Angelo Rapaccioli,Q762443,,,Francesco Angelo Rapaccioli,
Francesco Angeloni,Q1102576,,,Francesco Angeloni,
Francesco Antonio Correr,Q3749550,,,Francesco Antonio Correr,
Francesco Antonio Vallotti,Q1395790,,,Francesco Antonio Vallotti,
Francesco Baratta,Q59206190,,,Francesco Baratta,
Francesco Barberini,Q2662344,Q62121634,,Francesco Barberini,
Francesco Barberini (1597–1679),Q62121634,,,Francesco Barberini,
Francesco Barberini (Uncle),Q62121634,,,Francesco Barberini,
Francesco Bartolozzi,Q734889,,,Francesco Bartolozzi,
Francesco Bassi (Il Cremonese),Q5479206,,,Francesco Bassi,
Francesco Bertos,Q1440918,,,Francesco Bertos,
Francesco Bordoni,Q13408027,,,Francesco Bordoni,
Francesco Borromini,Q123150,,,Francesco Borromini,
Francesco Borzone,Q3080999,,,Francesco Borzone,
Francesco Botti,Q3749660,,,Francesco Botti,
Francesco Bracciolini,Q3749673,,,Francesco Bracciolini,Human Verified
Francesco Catalano,,,,,
Francesco Colonna,Q68866392,,,Francesco Colonna,
Francesco Cozza,Q1133464,,,Francesco Cozza,
Francesco De Mura,Q1441279,,,Francesco de Mura,
Francesco Di Maria,Q2440034,,,Francesco di Maria,
Francesco Donato (Doge),Q593430,,,Francesco Donato,
Francesco Drach,Q111632970,,,Francesco Braschi,
Francesco Fanelli,Q3749954,Q3749953,,Francesco Fanelli,
Francesco Fernandi (Imperiali),Q956036,,,Francesco Fernandi,
Francesco Fontana,Q3749996,Q646955,,Francesco Fontana,
Francesco Fontana (Conte),Q646955,,,Francesco Fontana,
Francesco Fontebasso,Q447991,,,Francesco Fontebasso,
Francesco Girolamo Nappi,Q20735494,,,,
Francesco Griseri,,,,,
Francesco Guardi,Q318769,,,Francesco Guardi,
Francesco Guicciardini,Q44601,,,Francesco Guicciardini,
Francesco I d'Este,Q17319639,,,Francesco d'Este,
Francesco Lorenzi,Q3750171,,,Francesco Lorenzi,
Francesco Maffei,Q3289164,,,Francesco Maffei,
Francesco Maggiotto,Q3080993,,,Francesco Maggiotto,
Francesco Maidalchini,Q3080994,Q112434208,,Francesco Maidalchini,
Francesco Mancini,Q3750199,,,Francesco Mancini,
Francesco Maria I della Rovere,Q555015,,,Francesco Maria I della Rovere,
Francesco Maria Niccolò Gabburri,Q3339580,,,Francesco Maria Niccolò Gabburri,
Francesco Maria Richini,Q664225,,,Francesco Maria Richini,
Francesco Maria Ruspoli,Q3750238,,,"Francesco Maria Ruspoli, 6th Prince of Cerveteri",
Francesco Maria Zanotti,Q2739963,,,Francesco Maria Zanotti,
Francesco Maria de' Medici,Q1347454,,,"Francesco Maria de' Medici, Duke of Rovere and Montefeltro",
Francesco Maria del Monte,Q923307,,,Francesco Maria del Monte,Human Verified
Francesco Marucelli,Q3750256,,,Francesco Marucelli,
Francesco Mengardi,,,,,
Francesco Migliori,Q5479459,,,Francesco Migliori,
Francesco Milizia,Q323009,Q3750297,,Francesco Milizia,
Francesco Monti (Bolognese),Q1283256,,,Francesco Monti,
Francesco Morosini (Peloponnesiaco),Q64779800,,,Francesco Morosini,
Francesco Novelli,Q3081039,,,Francesco Novelli,
Francesco Panciatichi,,,,,
Francesco Petrucci,Q27507162,,,Francesco Petrucci,
Francesco Pio di Savoia,Q5479509,,,Francesco Pio de Savoya,
Francesco Piranesi,Q336028,,,Francesco Piranesi,
Francesco Polazzo,Q3750487,,,Francesco Polazzo,
Francesco Redi,Q311187,,,Francesco Redi,
Francesco Rosichino,,,,,
Francesco Scaramuccia,Q3266512,,,,
Francesco Simonini,Q3081094,,,Francesco Simonini,
Francesco Sleter,Q5479579,,,Francesco Sleter,
Francesco Solimena,Q736065,,,Francesco Solimena,
Francesco Trevisani,Q963875,,,Francesco Trevisani,
Francesco Valcanover,Q55987913,,,Francesco Valcanover,
Francesco Zuccarelli,Q919093,,,Francesco Zuccarelli,
Francesco Zugno,Q1756544,,,Francesco Zugno,
Francis Bacon,Q37388,Q154340,,Francis Bacon,
Francis Haskell,Q320477,,,Francis Haskell,
Francis Henry Taylor,Q592755,,,Francis Henry Taylor,
Francis I of France,Q129857,,,Francis I of France,
Francis Watson,Q1441774,Q112540489,,Francis Watson,
Francisco Goya,Q5432,,,Francisco Goya,
Franco Venturi,Q481482,,,Franco Venturi,
Franconia,Q150907,Q1374404,,Franconia,
Frank E. Manuel,Q21604910,,,Frank E. Manuel,
Frans Pourbus the Younger,Q934540,,,Frans Pourbus the Younger,
Frans van Mieris the Elder,Q959236,,,Frans van Mieris the Elder,
Franz Ehrle,Q61283,,,Franz Ehrle,
François Boucher,Q180932,,,François Boucher,
François Duquesnoy,Q960381,,,François Duquesnoy,
François Gerbault,Q116160426,,,François Gerbault,
François Girardon,Q712497,,,François Girardon,
François Mansart,Q313701,,,François Mansart,
François Rabelais,Q131018,,,François Rabelais,
François Sublet de Noyers,Q3085865,,,François Sublet de Noyers,
François de Bonne de Créquy,Q3086124,,,François de Bonne de Créqui,
François de Nomé,Q1887392,,,François de Nomé,
François de Nomé (Monsù Desiderio),Q1887392,,,François de Nomé,
François de Troy,Q1232749,,,François de Troy,
François-Joachim de Pierre de Bernis,Q374572,,,François-Joachim de Pierre de Bernis,
Frederick Antal,Q215037,,,Frederick Antal,
Frederick Augustus I (Augustus II the Strong),Q62129,,,"Frederick Augustus II, Grand Duke of Oldenburg",
Frederick Augustus I (Saxony),Q53444,,,Frederick Augustus I of Saxony,
Frederick Augustus II (Augustus III of Poland),Q439932,,,Frederick Augustus,
Frederick Barbarossa,Q79789,,,Frederick Barbarossa,
Frederick Charles (Bishop),Q5497507,,,Frederick Charles,
Frederick III (Holy Roman Emperor),Q223972,,,Frederick III,
Frederick IV of Denmark,Q161059,,,Frederick IV of Denmark,
Frederick the Great,Q118998667,Q114986073,,Frederick the Great,
Frederiksborg Palace,Q226103,,,Frederiksborg Palace,
French Academy in Rome,Q337494,,,French Academy in Rome,
French hostility to Italian art (17th c.),,,,,
French patronage,,,,,
Fresco on staircase of Hampton Court Palace,,,,,
Frescoes in Lanfranco Chapel (Modena Cathedral),,,,,
Frescoes in Sant'Andrea della Valle,,,,,
Frescoes in the Corsini Chapel,,,,,
Frescoes in the Palazzo Doria Pamphilj (Valmontone),,,,,
Friedrich Karl von Schönborn,Q1458672,,,Friedrich Karl von Schönborn-Wiesentheid,
Frits Lugt,Q1465270,,,Frits Lugt,
Fritz Dworschak,Q17417910,,,Fritz Dworschak,
Fritz Saxl,Q78900,,,Fritz Saxl,
Friuli,Q160570,,,Friuli,
Frédéric Villot,Q3090265,,,Frédéric Villot,
Fulvio Miari,Q17266672,,,Fulvio Martusciello,
Fulvio Testi,Q594614,Q120973899,,Fulvio Testi,
G. J. Hoogewerff,Q19753889,,,Godfridus Johannes Hoogewerff,
Gabinetto Fotografico Nazionale,Q3756432,,,Gabinetto fotografico nazionale,
Gabriel Bonnot de Mably,Q202555,,,Gabriel Bonnot de Mably,
Gabriel Grupello,Q1489831,,,Gabri?l Grupello,
Gabriel Hanotaux,Q956253,,,Gabriel Hanotaux,
Gabriel Maugain,Q15857713,,,Gabriel Maugain,
Gabriel Naudé,Q710176,,,Gabriel Naudé,
Gabriel-François Coyer,Q21166348,,,Gabriel-Francois Coyer,
Gabriel-Jules de Cosnac,Q18012164,,,Gabriel-Jules de Cosnac,
Gabriele Balestrieri,,,,,
Gabriele Emo / Giovanni Emo,,,,,
Gabriele dal Pozzo,Q107060274,,,Gabriele dal Pozzo,
Gaetano Beani,Q97063708,,,Gaetano Beani,
Gaetano Cozzi,Q13380449,,,Gaetano Cozzi,
Gaetano Fanti,Q372889,,,Gaetano Fanti,
Gaetano Majorano (Caffarelli),Q527738,,,,
Gaetano Moroni,Q635968,,,Gaetano Moroni,
Gaetano Pieraccini,Q3757081,,,Gaetano Pieraccini,
Gaetano Zompini,Q3757163,,,Gaetano Zompini,
Gaius Mucius Scaevola,Q312660,,,Gaius Mucius Scaevola,
Galeazzo Arconati,Q47009360,,,Galeazzo Arconati,
Galeazzo Gualdo Priorato,Q960190,,,Galeazzo Gualdo Priorato,
Galileo Galilei,Q307,,,Galileo Galilei,
Galleria Borghese,Q841506,,,Galleria Borghese,
Galleria Doria Pamphilj,Q1203458,,,Galleria Doria Pamphilj,
Galleria Giustiniani,,,,,
Galleria L'Antonina,,,,,
Galleria Nazionale (Rome/Parma?),Q772890,,,Galleria nazionale di Parma,
Galleria Nazionale d'Arte Antica,Q2266081,,,Galleria Nazionale d'Arte Antica,
Galleria Nazionale di Parma,Q772890,,,Galleria nazionale di Parma,
Galleria Spada,Q3757699,,,Galleria Spada,
Gallerie dell'Accademia (Venice),Q338330,,,Gallerie dell'Accademia,
Gallery of the Aeneid (Palazzo Buonaccorsi),,,,,
Ganymede,Q131588,Q3169,,Ganymede,
Gaspar Méndez de Haro (Marquis of Carpio),Q380763,,,"Gaspar Méndez de Haro, 7th Marquess of Carpio",
Gaspar Roomer,Q3098722,,,Gaspar Roomer,
"Gaspar de Guzmán, Count-Duke of Olivares",Q371833,,,"Gaspar de Guzmán, Count-Duke of Olivares",
"Gaspar de Haro, 7th Marquess of Carpio",Q380763,,,,
Gaspard Dughet,Q1348398,,,Gaspard Dughet,Human Verified
Gaspare Altieri,Q27999316,,,"Gaspare Altieri, 1st Prince of Oriolo",
Gaspare Diziani,Q744250,,,Gaspare Diziani,
Gaspare Partridge,,,,,
Gaspare Patriarch,,,,,
Gaspare Vigarani,Q18511859,,,Gaspare Vigarani,
Gasparo Altieri,,,,,
Gasparo Gozzi,Q1232500,Q91016550,,Gasparo Gozzi,
Gaudenzio Claretta,Q4222959,,,Gaudenzio Claretta,
Gazzetta Veneta,Q11699502,,,Gazzetta Veneta,
Gemäldegalerie Alte Meister,Q4890,,,Gemäldegalerie Alte Meister,
Genoa,Q1449,,,Genoa,
Gentile Bellini,Q290407,,,Gentile Bellini,
Gentile da Fabriano,Q312393,,,Gentile da Fabriano,
Georg Friedrich Schmidt,Q877735,,,Georg Friedrich Schmidt,
"George ""Dadie"" Rylands",Q5208082,,,,
"George Byng, 1st Viscount Torrington",Q332634,,,"George Byng, 1st Viscount Torrington",
George Frideric Handel,Q7302,,,George Frideric Handel,
George I of Great Britain,Q130805,,,George I of Great Britain,
George III of Great Britain,Q127318,,,George III of Great Britain,
George IV of the United Kingdom,Q130586,,,George IV of the United Kingdom,
George Knox,Q104637639,,,George Knox,
George Vertue,Q717750,,,George Vertue,Human Verified
"George Villiers, 1st Duke of Buckingham",Q110095286,,,"George Villiers, 1st Duke of Buckingham",
George William (Duke of Brunswick-Lüneburg),Q9267198,,,George William,
"George William, Duke of Brunswick-Lüneburg",Q61574,,,George William of Brunswick-Lüneburg-Celle,
Georges de La Tour,Q203371,,,Georges de La Tour,
Gerald Burden,Q350708,,,Gerald Gardner,
Gerard van Honthorst,Q314548,,,Gerard van Honthorst,
Gerard van der Bos,,,,,
Gerhard Ewald,Q53628961,,,Gerhard Ewald,
Germaine de Staël,Q123041,,,Germaine de Staël,
German patronage,,,,,
Gerolamo Canal,Q23583703,,,Gerolamo Castaldi,
Gerolamo Nappi,Q26702374,,,Gerolamo Cappello,
Gerrit van Honthorst,Q314548,,,Gerard van Honthorst,
Gesuati (Order) / Santa Maria del Rosario (Gesuati),,,,,
Gherardo Sagredo,,,,,
Gherardo Saracini,Q30524250,,,Gherardo Saracini,
Giacinto Brandi,Q1748199,,,Giacinto Brandi,
Giacinto Calandrucci,Q1152778,,,Giacinto Calandrucci,Human Verified
Giacinto Gigli,Q28848553,,,Giacinto Gigli,
Giacomo Barozzi da Vignola,Q297565,,,Giacomo Barozzi da Vignola,
Giacomo Boni,Q1053697,,,Giacomo Boni,
Giacomo Caraboli,Q3762029,,,Giacomo Carboni,
Giacomo Casanova,Q83321,,,Giacomo Casanova,
Giacomo Ceruti (Il Pitocchetto),Q524248,,,Giacomo Ceruti,
Giacomo Di Castro,Q3105105,,,Giacomo di Castro,
Giacomo Leonardis,Q5557896,,,Giacomo Leonardis,
Giacomo Leoni,Q721253,,,Giacomo Leoni,
Giacomo Lomellini,Q15896926,Q117459069,,Giacomo Lomellini,
Giacomo Luigi Brignole,Q2253531,,,Giacomo Luigi Brignole,
Giacomo Lumbroso,Q1114705,,,Giacomo Lumbroso,
Giacomo Piccini,Q19569683,,,Giacomo Piccini,
Giacomo Querini,Q85969264,,,Giacomo Querini,
Giacomo Rospigliosi,Q3105088,,,Giacomo Rospigliosi,
Giacomo Serra,Q3105094,,,Giacomo Serra,
Giacomo Soranzo,Q110215161,,,Giacomo Soranzo,
