Refined_Formal_Name,Original_Entry,Refined_Category,Status/Notes
Carlo Cordellina,Carlo Cordellina,Person,[Validation] 威尼斯律师/别墅主人 (Villa Cordellina)。
Carlo Denina,Carlo Denina,Person,[Validation] 历史学家。
Carlo Dolci,Carlo Dolci,Person,[Validation] 佛罗伦萨画家。
Carlo Emanuele Pio di Savoia,"Pio, Cardinal",Person,红衣主教（Pio di Savoia家族）。
Carlo Fontana,Carlo Fontana,Person,[Validation] 罗马建筑师。
Carlo Galassi Paluzzi,Carlo Galassi Paluzzi,Person,[Validation] 罗马研究学者。
Carlo Giuseppe Ratti,Carlo Giuseppe Ratti,Person,[Validation] 热那亚传记作家。
Carlo Goldoni,Carlo Goldoni,Person,[Validation] 剧作家。
Carlo Gozzi,Carlo Gozzi,Person,[Validation] 剧作家。
Carlo Grimaldi,Carlo Grimaldo,Person,"[OCR Fix] ""Grimaldo"" -> ""Grimaldi"" (可能是乐器制造师或外交官)。"
Carlo Lodoli,"Carlo Lodoli | Lodoli, Padre Carlo",Person,[Reconstruction] 建筑理论家。 | [Validation] 威尼斯建筑理论家。
Carlo M. Cipolla,Carlo M. Cipolla,Person,[Validation] 经济史学家。
Carlo Maderno,Carlo Maderno,Person,[Validation] 罗马建筑师。
Carlo Maratta,"Carlo Maratti | Maratta, Carlo",Person,[Standardization] 画家 (也拼作 Maratti)。 | [Validation] 罗马画家。
Carlo Quarismini,Carlo Quarismini,Person,[Validation] 威尼斯画家 (较小众)。
Carlo Rainaldi,Carlo Rainaldi,Person,[Validation] 罗马建筑师。
Carlo Ridolfi,Carlo Ridolfi,Person,[Validation] 威尼斯画家/传记作家。
Carlo Roberto Dati,"Carlo Roberto Dati | Dati, Carlo",Person,[Validation] 佛罗伦萨学者。
Carlo Saraceni,Carlo Saraceni,Person,[Validation] 罗马画家。
Carlo Silva,"Silva, Don Carlo",Person,米兰画家或贵族。
Carlo de' Rossi,"Rossi, Carlo de'",Person,艺术赞助人。
Carlos da Silva Tarouca,Carlos da Silva Tarouca,Person,[Validation] 历史学家/艺术研究者 (20世纪)。
Carmelites,Carmelites,Group,[Validation] 加尔默罗会。
Carpegna (Count),"Carpegna, Count",Person,[Context] 可能是 Gaspare Carpegna 枢机或家族成员。
Carpoforo Tencalla,Carpoforo Tencalla,Person,[Validation] 壁画画家。
Carro della Notte,Carro Della Notte,Work,[Validation] 绘画主题 (Guercino等)。
Carthage,Carthage,Place,[Validation] 地名。
Carthusians,Carthusian Order,Group,[Category Fix] 原文误标为 Place。
Casa Soster,Casa Soster,Place,[Validation] 威尼斯建筑。
Cascata delle Marmore,Cascata delle Marmore,Place,[Validation] 瀑布。
Cassiano dal Pozzo,Cassiano dal Pozzo,Person,[Validation] 著名学者/赞助人 (Paper Museum)。
Castel Cogolo,Castel Cogolo | Castle of Cogolo,Place,[Validation] 同 Castel Cogolo。 | [Validation] 城堡。
Castel Fusano,Castel Fusano,Place,[Validation] 罗马附近 Sacchetti 家族别墅。
Castel Gandolfo,Castel Gandolfo,Place,[Validation] 教皇夏宫所在地。
Castel Sant'Angelo,S. Angelo,Place,罗马圣天使堡。
Castello Sforzesco,Castello Sfarzesco,Place,"[OCR Fix] ""Sfarzesco"" -> ""Sforzesco""。米兰城堡。"
Castello di Rivoli,Castle of Rivoli,Place,[Validation] 都灵皇宫。
Castle Howard,Castle Howard,Place,[Validation] 英国庄园。
Castro,Castro,Place,[Validation] 拉齐奥古城 (被毁)。
Catalonia,Catalonia,Place,[Validation] 地名。
Caterina Barbarigo,"Barbarigo, Caterina",Person,[Reconstruction] 威尼斯贵族。
Caterina Dolfin,Caterina Dolfin,Person,[Validation] 威尼斯贵族/诗人。
Caterina Dolfin Tron,"Tron, Caterina Dolfin",Person,威尼斯著名沙龙女主人。
Caterina Sagredo Barbarigo,Caterina Sagredo Barbarigo,Person,[Validation] 威尼斯贵族/沙龙女主人。
Cathedral of Our Lady of the Assumption,cathedral of Our Lady of the Assumption,Place,圣母升天大教堂（泛指，需语境）。
Cathedral of Santa Maria Assunta,Cattedrale di Santa Maria Assunta,Place,[Validation] 多地大教堂通用名 (如比萨、锡耶纳、帕多瓦)。
Cathedral of the Holy Trinity,Cathedral of the Holy Trinity,Place,[Validation] 教堂。
Catherine Tofts,Catherine Tofts,Person,[Validation] 英国女高音歌手 (居威尼斯)。
Catherine de' Medici,Catherine de' Medici,Person,[Validation] 法国王后。
Catherine the Great,Catherine the Great of Russia | Sophie Friederike Auguste von Anhalt-Zerbst,Person,[Validation] 俄国女皇。 | 叶卡捷琳娜大帝的原名。
Cato the Elder,Marcus Porcius Cato,Person,老加图。
Cato the Younger,Marcus Porcius Cato Uticensis,Person,小加图。
Cebes,Cebes,Person,[Validation] 古希腊哲学家 (Tabula Cebetis)。
Cecil Gould,Cecil Gould,Person,[Validation] 艺术史学家。
Ceiling Frescoes (Palazzo Altieri),Ceiling Frescoes in Palazzo Altieri,Work,[Validation] 马拉塔/Coli/Gherardi作品。
Ceiling Frescoes (Quirinal Palace),Ceiling Frescoes in the Quirinal Palace Gallery,Work,[Validation] 奎里纳尔宫壁画。
Ceiling Paintings (Hampton Court),Ceiling Paintings at Hampton Court,Work,[Validation] 汉普顿宫壁画 (Verrio等)。
Ceiling fresco (Augustinian Church),Ceiling fresco of the Augustinian Church,Work,[Validation] 可能是帕多瓦 Eremitani 或其他。
Ceiling of Palazzo Doria Pamphilj,Ceiling of Palazzo Doria-Pamphili,Work,[Validation] 壁画。
Cephalus and Aurora,Cephalus and Aurora,Work,[Validation] 绘画主题。
Cerano (Giovanni Battista Crespi),Giovanni Battista Crespi,Person,[Disambiguation] 米兰画家。
Ceremonies of the Grand Duke,Ceremonies of the Grand Duke,Work/Event,[Validation] 托斯卡纳大公典礼记录/画作。
Ceres,Ceres,Person (Myth),[Validation] 丰收女神。
Certosa di San Martino (Museum),Museo Nazionale di San Martino,Organization,[Category Fix] 那不勒斯圣马蒂诺博物馆。
Cesare Augusto Levi,Cesare Augusto Levi,Person,[Validation] 威尼斯历史学家/收藏家。
Cesare Beccaria,Cesare Beccaria,Person,[Validation] 法学家/哲学家。
Cesare Brandi,Cesare Brandi,Person,[Validation] 艺术修复理论家。
Cesare D'Onofrio,Cesare D'Onofrio,Person,[Validation] 罗马艺术史学家。
Cesare Leopardi,"Don Cesare Leopardi d`Osimo | Osimo, Don Cesare Leopardi di",Person,[Validation] 奥西莫贵族。 | 奥西莫的贵族/学者。
Cesare Ripa,Cesare Ripa,Person,[Validation] 图像学家 (Iconologia)。
Cesare d'Este,Cesare d'Este,Person,[Validation] 摩德纳公爵。
Chair of Saint Peter,Chair of Saint Peter,Work,[Validation] 贝尼尼作品 (Cathedra Petri)。
Chantilly,Chantilly,Place,[Validation] 地名。
Chapel of St. Ignatius,Chapel of St. Ignatius,Place,[Validation] 罗马耶稣会教堂礼拜堂。
Chapel of St. Lawrence,Chapel of St. Lawrence,Place,[Validation] 礼拜堂。
Chapel of St. Stanislaus Kostka,Chapel of St. Stanislaus Kostka,Place,[Validation] 罗马Sant'Andrea al Quirinale礼拜堂。
Chapel of the Passion,Chapel of the passion of Jesus Christ,Place,[Validation] 礼拜堂 (Santa Maria in Campitelli等)。
Chapel of the Virgin Mary,Chapel of the Virgin Mary,Place,[Validation] 礼拜堂。
Chapels of Santa Maria Maggiore,Family Chapels in Santa Maria Maggiore,Place,[Validation] 罗马教堂礼拜堂。
Charity,Charity,Work,[Validation] 绘画主题 (Caritas)。
Charlemagne,Karolus Magnus,Person,[Disambiguation] 查理曼大帝。
"Charles Anderson-Pelham, 1st Baron Yarborough",Charles Anderson-Pelham,Person,[Full Name] 英国贵族/收藏家。
Charles Bennet,Charles Bennet,Person,"[Validation] 可能是 Charles Bennet, 1st Earl of Tankerville 等。"
Charles Burney,Charles Burney,Person,[Validation] 音乐史学家/旅行家。
"Charles Cadogan, 2nd Baron Cadogan","Charles Cadogan, 1st Earl Cadogan",Person,"[Correction] 1st Earl Cadogan 是 William。Charles 是 2nd Baron, 后来没成 Earl? 需核实。实际上 William Cadogan 是 1st Earl。Charles Cadogan (brother) 继承了 Barony。后代 Charles Sloane Cadogan 成为 1st Earl (new creation)。此处可能是指 Charles Sloane Cadogan 或单纯混淆。保留原名并加注或修正为 Charles Sloane Cadogan? 可能是指 Charles Cadogan (2nd Baron)。"
"Charles Cocks, 1st Baron Somers",Charles Cocks,Person,[Disambiguation] 英国政治家。
"Charles Colbert, marquis de Croissy","Charles Colbert | Croissy, M. de",Person,[Disambiguation] 外交官。 | [Disambiguation] 法国外交官 (Colbert弟弟)。
"Charles Emmanuel I, Duke of Savoy",Carlo Emanuele I,Person,[Disambiguation] 萨伏伊公爵。
"Charles Emmanuel II, Duke of Savoy",Charles Emmanuel II,Person,[Validation] 萨伏伊公爵。
Charles Emmanuel III of Sardinia,"Savoy, Carlo Emmanuele III of",Person,萨伏伊公爵/撒丁国王。
Charles Errard,Charles Errard,Person,[Validation] 法国画家/法兰西学院院长。
Charles Fox,Charles Fox,Person,[Category Fix] 原文误标为 Work。英国政治家。
"Charles Gordon-Lennox, 3rd Duke of Richmond","March, Lord",Person,"[Disambiguation] 18th c. ""Lord March"" (Earl of March) 通常指查尔斯·戈登-伦诺克斯，著名的艺术赞助人和大游学者。"
"Charles Howard, 1st Earl of Carlisle","Charles Howard, 1st Earl of Carlisle",Person,[Validation] 贵族。
Charles I of England,Charles I | Charles I of England,Person,[Category Fix] 原文误标为 Work。 | [Validation] 英国国王。
Charles I of England / Charles II?,Charles Stuart,Person,[Ambiguity] 可能是查理一世或二世，或 Prince Charles Edward Stuart。待定。
Charles II of England,Charles II | Charles II of England,Person,[Disambiguation] 查理二世 (需结合语境，通常指英国)。 | [Validation] 英国国王。
Charles II of Spain,Charles II of Spain,Person,[Category Fix] 原文误标为 Place。西班牙国王。
Charles III de Créquy,"Crequi, Duc de",Person,[Disambiguation] 法国驻罗马大使。
"Charles III, Duke of Lorraine","Charles III, Duke of Lorraine",Person,[Validation] 洛林公爵。
Charles James Fox,Charles James Fox,Person,[Validation] 英国政治家。
Charles Le Brun,Charles Le Brun,Person,[Validation] 法国画家。
"Charles Lennox, 1st Duke of Richmond",Charles Lennox,Person,[Disambiguation] 伦诺克斯 (通常指 Richmond 公爵)。
Charles Mitchell,Charles Mitchell,Person,[Validation] 艺术史学家。
"Charles Montagu, 1st Duke of Manchester","Charles Montagu, 1st Duke of Manchester",Person,[Validation] 英国外交官/贵族。
"Charles Montagu, 1st Earl of Halifax","Charles Montagu, 1st Earl of Halifax",Person,[Validation] 英国政治家/诗人。
"Charles Mordaunt, 3rd Earl of Peterborough","Charles Mordaunt | Peterborough, 3rd Earl of",Person,[Disambiguation] 英国将领/贵族。
Charles Nisard,Charles Nisard,Person,[Validation] 法国文学史家。
Charles Robert Leslie,Charles Robert Leslie,Person,[Validation] 画家/作家。
"Charles Sackville, 6th Earl of Dorset",Charles Sackville,Person,[Disambiguation] 英国诗人/赞助人。
Charles Sterling,Charles Sterling,Person,[Validation] 艺术史学家。
"Charles V, Holy Roman Emperor","Charles V | Charles V, Holy Roman Emperor",Person,[Disambiguation] 查理五世。 | [Validation] 神圣罗马帝国皇帝。
"Charles Watson-Wentworth, 2nd Marquess of Rockingham","Charles Watson-Wentworth | Rockingham, Lord",Person,[Validation] 英国首相。
Charles XII of Sweden,Carl XII | Charles XII of Sweden,Person,[Disambiguation] 瑞典国王查理十二世。 | [Validation] 瑞典国王。
Charles de Brosses,"Brosses, Président Charles De | Charles de Brosses",Person,[Reconstruction] 法国作家 (Lettres familières)。 | [Validation] 法国作家。
Charles de La Fosse,Charles de La Fosse,Person,[Validation] 法国画家。
Charles de Noyelle,Charles de Noyelle,Person,[Validation] 耶稣会总会长。
Charles-François Poerson,Charles-Fran?ois Poerson,Person,"[OCR Fix] ""?"" -> ""ç""。法国画家。"
Charles-François de Saint-Saulieu,Charles Fran ois de Saint Saulieu,Person,"[OCR Fix] ""Fran ois"" -> ""François""。"
Charles-Irénée Castel de Saint-Pierre,Charles-Irénée Castel de Saint-Pierre,Person,[Validation] 法国作家 (Abbé de Saint-Pierre)。
Charles-Nicolas Cochin,Charles-Nicolas Cochin,Person,[Validation] 法国版画家/艺术评论家。
Charlottenburg Palace,Charlottenburg Palace,Place,[Validation] 柏林宫殿。
Chatsworth House,Chatsworth House,Place,[Validation] 英国庄园。
Chatto & Windus,Directors of Chatto & Windus,Organization,[Category Fix] 原文误标为 Place。出版商。
"Chi soffre, speri","Chi soffre, speri",Work,[Category Fix] 原文误标为 Person。巴洛克歌剧 (Mazzocchi/Marazzoli)。
Chiavari,Chiavari,Place,[Validation] 热那亚附近城镇。
Chiesa Nuova,Oratorian Chiesa Nuova,Place,罗马新堂（Santa Maria in Vallicella）。
Chiesa di Santa Maria dei Servi (Bologna/Venice),Chiesa de' Servi,Place,[Validation] 教堂。
Children at Play,Children at Play,Work,[Validation] 绘画主题。
Chioggia,Chioggia,Place,[Validation] 威尼斯附近城镇。
Chioggia Cathedral,Chioggia Cathedral,Place,[Validation] 基奥贾大教堂。
Chiswick,Chiswick,Place,[Validation] 伦敦地区。
Chiswick House,Chiswick House,Place,[Validation] 伯灵顿勋爵别墅。
Chloe,Chloe,Person (Myth),[Validation] 达夫尼斯与克洛伊。
Chloris,Chloris,Person (Myth),[Validation] 花神。
Christ Calming the Storm,Christ in the Boat calming His Disciples,Work,[Validation] 绘画主题。
Christ Driving the Money Changers from the Temple,Christ driving the Jews from the Temple,Work,[Validation] 绘画主题。
Christ Giving the Keys to St. Peter,St. Peter receiving the Keys,Work,[Category Fix] 交付钥匙（佩鲁吉诺等）。
Christ and St Veronica,Christ and St Veronica,Work,[Validation] 绘画主题。
Christian Cole,"Cole, Christian",Person,[Validation] 英国外交官/驻威尼斯秘书。
"Christian Louis I, Duke of Mecklenburg","Mecklenburg, Christian Louis, Duke of",Person,
"Christian Louis I, Duke of Mecklenburg-Schwerin",Christian Louis I,Person,[Disambiguation] 梅克伦堡公爵。
Christian Wilhelm Ernst Dietrich,Christian Wilhelm Ernst Dietrich,Person,[Validation] 德国画家 (Dietricy)。
Christian Wilhelm Ernst Dietrich (Dietricy),"Dietrich, Christian",Person,[Reconstruction] 德国画家。
Christie's,Christie's,Organization,[Category Fix] 误标为 Place。拍卖行。
Christina of Lorraine,Christina of Lorraine,Person,[Validation] 托斯卡纳大公夫人。
"Christina, Queen of Sweden","Christina of Sweden | Christina, Queen of Sweden",Person,[Validation] 同上。 | [Validation] 瑞典女王。
Christoph Luitpold Frommel,Christoph Luitpold Frommel,Person,[Validation] 建筑史学家。
Christophe Dupuy,Christophe Dupuy,Person,[Validation] 法国学者 (Thuanus图书馆)。
Christopher Hussey,Christopher Hussey,Person,[Validation] 建筑史学家。
Christopher Lloyd,Christopher Lloyd,Person,[Validation] 艺术史学家 (Royal Collection)。
Christopher Wren,Christopher Wren,Person,[Validation] 英国建筑师。
Church of Jesus of Nazareth (Turin),"Church of Jesus of Nazareth, Turin",Place,[Validation] 可能是指都灵某教堂 (需核实具体名)。
Church of Saint Roch (Paris),Church of Saint Roch,Place,[Disambiguation] 巴黎圣罗克教堂。
Church of San Gaetano (Florence/Vicenza),Church of San Gaetano,Place,[Validation] 教堂。
Church of San Geminiano (Venice),Church of San Geminiano,Place,[Validation] 威尼斯已毁教堂 (圣马可广场)。
Church of San Polo (Venice),Church of San Polo,Place,[Validation] 威尼斯教堂。
Church of San Rocco,Church of Saint Rocco,Place,[Validation] 教堂。
Church of San Rocco (Venice),Church of San Rocco,Place,[Validation] 威尼斯教堂。
Church of San Sebastiano (Venice),Church of San Sebastián,Place,[Validation] 威尼斯教堂 (Veronese)。
Church of Santa Marta (Venice/Rome),Church of Santa Marta,Place,[Validation] 教堂。
Church of St. Francis Xavier,Church of St. Francis Xavier,Place,[Validation] 可能是巴黎或其它城市的耶稣会教堂。
Church of St. John,Church of St. John,Place,[Ambiguity] 极普遍，需上下文 (St John Lateran / San Giovanni in Bragora 等)。
Church of the Cross (Scalzi / Croce?),Church of the Cross,Place,[Ambiguity] 可能是 Santa Croce 或 Chiesa degli Scalzi (Venice)。
Church of the Gesù,Jesus Church,Place,[Disambiguation] 耶稣会教堂。
Church of the Gesù (Rome),Church of the Gesù,Place,[Validation] 罗马耶稣会母堂。
Churches,Churches,Place,[Validation] 通用概念。
Churches of Religious Orders,Churches of religious orders,Place,[Validation] 通用概念。
Château de Chantilly,Chateau de Chantilly,Place,[Validation] 法国城堡。
Cicero,Cicero,Person,[Validation] 西塞罗。
Cigoli (Ludovico Cardi),Ludovico Cigoli,Person,[Disambiguation] 佛罗伦萨画家。
Cincinnatus Summoned from the Plough,Cincinnatus summoned from the Plough,Work,[Validation] 绘画主题。
Cincinnatus summoned from the Plough,Cincinnatus summoned from the Plough,Work,[Validation] 绘画主题。
Cinelli (Family/Artist),Cinelli,Person,[Context] 可能是 Giovanni Cinelli Calvoli (学者) 或现代艺术家? 倾向于 17世纪学者。
Cirey-sur-Blaise,Cirey,Place,[Validation] 伏尔泰居住地。
Ciro Ferri,Ciro Ferri,Person,[Validation] 罗马巴洛克画家 (Pietro da Cortona学生)。
Claude Lorrain,Claude Lorrain,Person,[Validation] 风景画家。
Claude Mellan,Claude Mellan,Person,[Validation] 法国版画家。
Claude-Joseph Vernet,Joseph Vernet,Person,[Disambiguation] 法国风景画家。
Claudio Acquaviva,"Aquaviva, Claudio | Claudio Acquaviva",Person,[Reconstruction] 耶稣会总会长。 | [Validation] 耶稣会总会长。
Claudio Monteverdi,Claudio Monteverdi,Person,[Validation] 作曲家。
Clelia Farnese,Clelia Farnese,Person,[Validation] 法尔内塞家族成员。
Clemens August of Bavaria,"Clemens August of Bavaria | Clemens August, Archbishop-Elector of Cologne | Kufürst Clemens August",Person,[Category Fix] 原文误标为 Man-Made Object。科隆选帝侯。 | [Category Fix] 原文误标为 Work。 | [Validation] 科隆选帝侯。
Clement III,Clement III,Person,[Validation] 教皇 (Antipope or Pope? 通常指12世纪教皇，此处可能指对立教皇Wibert或正统。若在18世纪语境，可能是指画作题材)。
Clement IX,"Clement IX | Rospigliosi, Giulio (Pope Clement IX)",Person,[Validation] 教皇。 | 教皇克莱门特九世。
Clement VIII,"Aldobrandini, Ippolito (Pope Clement VIII) | Clement VIII, Pope",Person,[Disambiguation] 教皇克莱门特八世。 | [Validation] 教皇。
Clement X,"Altieri, Emilio (Pope Clement X) | Pope Clement X",Person,[Disambiguation] 教皇克莱门特十世。
Clement XI,"Albani, Gianfrancesco (Pope Clement XI) | Clement XI",Person,[Disambiguation] 教皇克莱门特十一世。 | [Validation] 教皇。
Clement XII,"Clement XII, Pope | Corsini, Lorenzo (Pope Clement XII)",Person,[Disambiguation] 教皇克莱门特十二世。 | [Validation] 教皇。
Clement XIII,"Clement XIII, Pope | Rezzonico, Carlo (Pope Clement XIII)",Person,[Validation] 教皇。 | 教皇克莱门特十三世。
Clement XIII (Carlo Rezzonico),Carlo Rezzonico,Person,[Disambiguation] 教皇克莱门特十三世。
Cleopatra VII,Cleopatra VII,Person,[Validation] 埃及艳后。
Cleopatra showing Octavius the bust of Julius Caesar,Cleopatra showing Octavius the bust of Julius Caesar,Work,"[Validation] 绘画主题 (Batoni, Guercino等)。"
Clio,"Clio, Muse of History",Person (Myth),[Validation] 缪斯女神。
Cloudesley Shovell,Cloudesley Shovell,Person,[Validation] 英国海军元帅。
Clovis Whitfield,Clovis Whitfield,Person,[Validation] 艺术史学家。
Coast Scene with the Landing of Aeneas in Latium,Coast Scene with the Landing of Aeneas in Latium,Work,[Validation] 克劳德·洛兰画作。
Coast View with Apollo and the Cumaean Sibyl,Coast View with Apollo and the Cumaean Sibyl,Work,[Validation] 克劳德·洛兰画作。
Coast View with Perseus and the Origin of Coral,Coast View with Perseus and the Origin of Coral,Work,[Validation] 克劳德·洛兰画作。
Coggio Pittoni,Coggioh Pittoni,Person,[OCR Fix] 同上。
Coggio Pittoni (Artist?),Coggio Pittoni,Person,"[Check Original] 可能是 ""Giovanni Battista Pittoni"" 的 OCR 乱码或极生僻人物。疑似 ""Cugino Pittoni"" (Pittoni 的表亲) 或误拼。待定。"
Colen Campbell,Colen Campbell,Person,[Validation] 英国建筑师 (Vitruvius Britannicus)。
Collegio Teutonico,Collegio Teutonico,Place,[Validation] 罗马德意志学院。
Collegio di Siena,Collegio di Siena,Place,[Validation] 锡耶纳学院。
Collegium Germanicum et Hungaricum,Collegium Germanicum et Hungaricum,Place,[Validation] 罗马神学院。
Competitions,Competitions,Event/Concept,[Category Fix] 原文误标为 Work/Concept。艺术竞赛 (Concorsi)。
Congregazione dei Virtuosi al Pantheon,"Congregazione dei Virtuosi | Virtuosi, Congregazione dei",Group,[Category Fix] 万神殿艺术家协会。 | [Validation] 罗马艺术家行会。
Consiglio del Consorzio,Consiglio del Consorzio,Organization,[Validation] 机构/委员会。
Constantinople,Constantinople,Place,[Validation] 君士坦丁堡。
Contarini (Family),Contarini family,Group,[Validation] 威尼斯家族。
Conte Carpegna,Conte Carpegna,Person,[Validation] 卡佩尼亚伯爵。
Conte Cavazza,Conte Cavazza,Person,[Validation] 博洛尼亚/威尼斯贵族。
Conte Tassis,Conte Tassis,Person,[Validation] 塔西斯伯爵。
Contracts,Contracts,Concept,[Validation] 法律文件/艺术史研究对象。
Copy of Annibale Carracci's Works,Copy of Annibale Carracci's Works,Work,[Validation] 复制品。
Copy of Raphael's Loggias,Copy of Raphael's Loggias,Work,[Validation] 复制品。
Corfu,Corfu,Place,[Validation] 科孚岛。
Coriolano Montemagni,Coriolano Montemagni,Person,[Validation] 托斯卡纳政治家。
Cornaro (Family),Corner family,Group,[Standardization] 威尼斯家族 (Corner/Cornaro)。
Cornaro Chapel,Cornaro chapel,Place,[Validation] 罗马 Santa Maria della Vittoria 礼拜堂 (贝尼尼)。
Cornelis Schut,"Cornelis Schut | Schut, Corneille",Person,[Validation] 佛兰芒画家。 | 佛兰芒画家。
Cornelis de Wael,"Cornelis de Wael | Wael, Cornelius de",Person,[Validation] 佛兰芒画家 (居热那亚/罗马)。 | 佛兰芒画家。
Cornelis van Poelenburgh,"Cornelius van Poelenburgh | Poelenburgh, Cornelius",Person,[Validation] 荷兰画家。 | 荷兰风景画家。
Cornelius Vermeule,Cornelius Clarkson Vermeule III,Person,[Validation] 古典考古学家/策展人。
Cornelius de Stael,"Stael, Cornelius de",Person,
Corrado Giaquinto,Corrado Giaquinto,Person,[Validation] 洛可可画家。
Correggio,Antonio da Correggio | Correggio,Person,[Disambiguation] 柯雷乔。 | [Validation] 画家。
Corsini (Family),Corsini family,Group,[Validation] 佛罗伦萨家族。
Corsini Chapel (Santo Spirito),Corsini chapel in Santo Spirito,Place,[Validation] 佛罗伦萨礼拜堂。
Cortona Triptych,Cortona Triptych,Work,[Validation] 安吉利科修士作品。
Corybantes,Corybantes,Group,[Validation] 神话群体。
Cosimo Fanzago,Cosimo Fanzago,Person,[Validation] 巴洛克建筑师/雕塑家。
Cosimo III de' Medici,"Cosimo III de' Mediciy | Medici, Cosimo III de'",Person,"[OCR Fix] ""Mediciy"" -> ""Medici""。 | 托斯卡纳大公。"
Cosimo Mari,"Mari, Cosimo",Person,17世纪建筑师/工程师。
Cosimo Maria de' Medici,Cosimo Maria de' Medici,Person,"[Validation] 可能是指 Cosimo I, II, III 或家族成员。"
Cosimo Tura,Cosimo Tura,Person,[Validation] 费拉拉画家。
Costaguti (Marchese),"Costaguti, Marchese",Person,[Category Fix] 原文误标为 Work。
Costanza Magalotti,Costanza Magalotti,Person,[Validation] 贵族。
Costanza Piccolomini d'Aragona,Costanza Piccolomini d'Aragona,Person,[Validation] 贵族/Bonarelli夫人? 需区分 Costanza Bonarelli (Bernini的情人) 和此人。Costanza Piccolomini 是 Amalfi公爵夫人。
Council of Ten,Council of Ten,Organization,[Category Fix] 原文误标为 Place。威尼斯十人委员会。
Count Rosenberg,"Rosenberg, Count",Person,可能是 Orsini-Rosenberg 家族成员。
Count Tassis,"Tassis, Count",Person,图恩与塔克西斯家族成员（如在威尼斯的邮政总长）。
Count Waldstein,"Waldstein, Count of",Person,瓦尔德施泰因家族成员。
Count of Bolagno,"Count of Bolagno, the Imperial ambassador",Person,[Category Fix] 原文误标为 Work。
Count of Monterrey,"Monterey, Count of",Person,西班牙贵族/那不勒斯总督。
Count-Duke of Olivares,"Olivarez, Count Duke",Person,西班牙首相奥利瓦雷斯伯爵-公爵。
Couvent des Augustins Déchaussés,Couvent des Augustins Déchaussés,Place,[Validation] 巴黎修道院 (Petits-Pères)。
Cremonese School,Cremonese,Group,[Validation] 克雷莫纳画派。
Crete,Crete,Place,[Validation] 地名。
Creusa imploring Aeneas,Creusa imploring Aeneas to rescue his father Anchises from the fire of Troy,Work,[Validation] 绘画主题。
Cristoforo Dall'Acqua,Cristoforo Dall'Acqua,Person,[Validation] 维琴察版画家。
Cristoforo Ivanovich,Cristoforo Ivanovich,Person,[Validation] 威尼斯歌剧史学家。
Cristoforo Monari,"Monari, Cristofano",Person,晚期巴洛克雕塑家 (Cristoforo/Cristofano)。
Cristoforo Munari,Cristoforo Munari,Person,[Validation] 静物画家。
Cristoforo Roncalli,"Roncalli, Cristoforo (Pomerancio)",Person,别名 Il Pomarancio。
Cristoforo Roncalli (Il Pomarancio),Cristoforo Roncalli,Person,[Validation] 画家。
Cristoforo Tencalla,"Tencala, Cristoforo",Person,提契诺壁画家。
Cristoforo Tentori,Cristoforo Tentori,Person,[Validation] 威尼斯历史学家。
Cristoforo dall'Acqua,"Acqua, Cristoforo dall'",Person,[Reconstruction] 名字倒装复原。
Crossing of the Red Sea,Crossing of the Red Sea,Work,[Validation] 绘画主题。
Crucifixion,Crucifixion,Work,[Validation] 绘画主题。
Crucifixion of St. Peter,Crocifissione di Pietro,Work,[Validation] 绘画主题 (Guido Reni / Caravaggio)。
Crucifixion with the Madonna,Crucifixion with the Madonna,Work,[Validation] 绘画主题。
Customs duty on pictures,Customs duty on pictures,Concept,[Validation] 经济/法律概念。
Cybele,Cybele,Person (Myth),[Validation] 女神。
Cyril Davenport,Cyril James Humphries Davenport,Person,[Validation] 英国艺术作家/图书管理员。
César d'Estrées,"Estrées, Duc d'",Person,[Disambiguation] 法国枢机/外交官 (César) 或其兄 (François Annibal)。驻罗马通常是 César。
D. P. Walker,Daniel Pickering Walker,Person,[Validation] 历史学家 (Warburg Institute)。
Dalmatia,Dalmatia,Place,[Validation] 达尔马提亚 (威尼斯领地)。
Danaë,Danae,Work,[Validation] 绘画主题 (提香/伦勃朗等)。
Dance of Nymphs,Dance of Nymphs,Work,[Validation] 绘画主题。
Daniele Beltrami,Daniele Beltrami,Person,[Validation] 威尼斯经济史学家。
Daniele Concina,"Concina, Padre Daniele | Daniele Concina",Person,[Validation] 多明我会神学家。
Daniele Dolfin,Daniele Dolfin,Person,"[Validation] 威尼斯贵族/枢机主教 (需区分 Daniele II, III, IV)。"
Daniele Dolfin (1653-1704),"Dolfin, Daniele (Archbishop of Udine)",Person,[Category Fix] 原文误标为 Work。
Daniele Dolfin III,"Dolfin, Daniele III",Person,[Validation] 威尼斯大使。
Daniele Dolfin IV,"Daniele Dolfin IV | Dolfin, Daniele IV",Person,[Validation] 威尼斯贵族/大使。 | [Validation] 威尼斯贵族。
Daniele Farsetti,"Farsetti, Daniele",Person,[Reconstruction] 威尼斯赞助人/作家。
Daniele Florio,Daniele Florio,Person,[Validation] 乌迪内诗人。
Daniello Bartoli,Daniello Bartoli,Person,[Validation] 耶稣会作家/历史学家。
Dante Alighieri,Dante | Dante Alighieri,Person,[Validation] 但丁。
Daphnis,Daphnis,Person (Myth),[Validation] 神话人物。
