原始名称 (CSV),英文正式名称 (Formal Name),实体类型,判断依据与参考数据库,Description_CN,Description_EN,Matched_QID,Matched_Label,Matched_Desc,Match_Score,Match_Method
Count of Monterrey,Manuel de Acevedo y Zúñiga,人名,原书: 第8章; 库: Wikidata,那不勒斯总督，西班牙国王在意大利的核心赞助代理人。,Spanish Viceroy of Naples and major art patron.,Q3845070,Manuel de Acevedo y Zúñiga,Viceroy of Naples,0.8999999999999999,Smart Match (Formal Name)
Couvent des Augustins Déchaussés,Couvent des Petits-Pères,机构,"依据: IA; 库: Gallica, Wikidata",巴黎赤足奥斯定会修道院。哈斯克尔以此讨论法意修会间的艺术标准流变。,Discalced Augustinian convent in Paris.,Q60965652,Couvent des Petits Pères,"convent located in Paris, in France",0.7791666666666668,Smart Match (Formal Name)
Cremonese School,Cremonese School,概念,依据: 艺术史术语; 库: Getty AAT,克雷莫纳画派。哈斯克尔分析其对伦巴第现实主义赞助传统的贡献。,Artistic school of Cremona.,,,,,Failed (Relaxed)
Creusa imploring Aeneas,Creusa imploring Aeneas,作品,原书: p.231; 库: RKD,弗朗切斯科·索利梅纳 (Solimena) 为马切拉塔 Buonaccorsi 宫创作。体现了赞助人对英雄史诗叙事的审美。,By Solimena for Palazzo Buonaccorsi.,,,,,Failed (Relaxed)
Cristoforo Tencalla,Cristoforo Tencalla,人名,"库: Wikidata, DBI",巴洛克建筑师。哈斯克尔通过其在多地的工程分析赞助人的跨区域审美偏好。,Baroque architect active in Central Europe.,,,,,Failed (Relaxed)
Customs duty on pictures,Customs duty on art,概念,原书: 第16章; 库: JSTOR,艺术品进出口关税。哈斯克尔探讨艺术品作为商品在欧洲流通的经济壁垒。,Economic barriers to the art trade.,,,,,Failed (Relaxed)
Dance of Nymphs,Dance of Nymphs,作品,原书: 第6章; 库: RKD,常见于 克劳德·洛兰 或 普桑 的理想风景画中。哈斯克尔探讨其在古典口味中的象征意义。,Subject in classical landscapes by Claude or Poussin.,,,,,Failed (Relaxed)
Daniele Dolfin III,Daniele Dolfin,人名,依据: 家族谱系; 库: DBI,威尼斯政治家与赞助人。哈斯克尔研究多尔芬家族在威尼斯末期的权力与艺术投入。,Venetian statesman and patron.,Q3014934,Daniele Dolfin,Italian cardinal (1688–1762),0.7,Smart Match (Formal Name)
Daniele Dolfin IV,Daniele Dolfin IV,人名,依据: 家族谱系; 库: DBI,威尼斯高级官员。哈斯克尔以此讨论18世纪威尼斯贵族的官僚赞助模式。,Venetian official and family patron.,,,,,Failed (Relaxed)
Death of Regulus,The Death of Regulus,作品,"原书: 第8章; 库: RKD, ArtIC",萨尔瓦托·罗莎 (Salvator Rosa) 创作的具有斯多葛主义色彩的作品（现藏芝加哥艺术博物馆）。,By Salvator Rosa; reflects Stoic heroic taste.,Q77877582,The Death of Regulus,painting by Claude-Joseph Vernet,0.7,Smart Match (Formal Name)
Death of St. Francis Xavier,The Death of St. Francis Xavier,作品,"原书: 第6章; 库: RKD, Wikidata",巴奇乔 (Baciccio) 为耶稣教堂创作。哈斯克尔分析教皇支持下的耶稣会赞助巅峰。,"By Baciccio for the Gesù, Rome.",Q20266977,The Death of St. Francis Xavier,"painting by Veronica Stern, attributed to",0.7,Smart Match (Formal Name)
Decorations for St. Augustine Church,Decorations of Sant'Agostino,作品,原书: 第5章; 库: RKD,罗马圣奥古斯丁教堂的内部装饰，涉及 彼得罗·达·科尔托纳 的赞助计划。,"Decorative programs in Sant'Agostino, Rome.",,,,,Failed (Relaxed)
Dedicatory Frontispiece,Dedicatory Frontispiece,概念,原书: 第14章; 库: Getty AAT,献词扉页。哈斯克尔以此分析版画出版中赞助人与艺术家之间的正式契约关系。,Frontispieces showing patron-artist relationships.,,,,,Failed (Relaxed)
Design for Sant'Andrea al Quirinale,Sant'Andrea al Quirinale Designs,作品,原书: 第6章; 库: RKD,贝尔尼尼 为教皇亚历山大七世设计的耶稣会教堂方案及草图。,Bernini's designs for the Jesuit church.,,,,,Failed (Relaxed)
Design for St. Peter's Square,Designs for Piazza San Pietro,作品,原书: 第6章; 库: Wikidata,涉及贝尔尼尼及前代建筑师为圣彼得广场提交的竞争性方案。,Bernini's and others' plans for St. Peter's Square.,,,,,Failed (Relaxed)
Devolution of Urbino to the Papacy,Devolution of Urbino,事件,原书: 绪论; 库: Wikidata,1631年乌尔比诺公国并入教皇国。哈斯克尔探讨该事件对地方赞助资源的重组影响。,Inclusion of Urbino into Papal States in 1631.,,,,,Failed (Relaxed)
Diffusion of Neapolitan painting,Diffusion of Neapolitan painting,概念,原书: 第8章; 库: JSTOR,那不勒斯绘画的跨国扩散。哈斯克尔以此分析索利梅纳等人的国际艺术影响力。,The spread of Neapolitan stylistic influence.,,,,,Failed (Relaxed)
Divine Virtues,The Divine Virtues,概念,原书: 第6章; 库: Getty ICON,常见于巴洛克天顶画中的寓言形象（如马拉塔创作）。象征赞助人的神圣授权。,Allegorical figures in Baroque ceilings.,,,,,Failed (Relaxed)
Dome Frescoes (Sant'Agnese in Agone),Sant'Agnese in Agone Dome,作品,原书: 第7章; 库: RKD,西罗·费里 (Ciro Ferri) 创作的穹顶画。哈斯克尔讨论帕姆菲利家族的赞助轨迹。,Fresco by Ciro Ferri in Sant'Agnese.,,,,,Failed (Relaxed)
Domenico Darmanno,Domenico Darmanno,人名,依据: 档案记录; 库: DBI,活跃于威尼斯的雕塑家或工匠。哈斯克尔引用其记录以揭示基层赞助情况。 / Sculptor,craftsman active in Venice.,,,,,Failed (Relaxed)
Domenico Lionati da Fanano,Domenico Lionati,人名,库: Google Scholar; DBI,17世纪活跃于罗马艺术市场的代理商，在朱斯蒂尼亚尼家族账目中出现。,Art agent or broker active in the Roman market.,,,,,Failed (Relaxed)
Domenico Pompeati,Domenico Pompeati,人名,依据: 拼写核对; 库: DBI,威尼斯收藏家与鉴赏家。哈斯克尔分析其与扎内蒂 (Zanetti) 在版画市场的交集。,Venetian collector linked to Zanetti.,,,,,Failed (Relaxed)
Domenico da Isnello,Domenico da Isnello,人名,依据: 赞助记录; 库: DBI,18世纪西西里方济各会教士，哈斯克尔引用其在罗马的艺术订单记录。,Sicilian patron active in Rome.,,,,,Failed (Relaxed)
Drawings of Sagredo Family Members,Sagredo Family Portrait Drawings,作品,原书: 第14章; 库: British Museum,可能指代 扎内蒂 为萨格雷多家族创作的素描集（现分藏于BM等处）。,Drawings of the Sagredo family members by Zanetti.,,,,,Failed (Relaxed)
Dream of St Joseph,The Dream of St. Joseph,作品,原书: 宗教赞助; 库: RKD,哈斯克尔以此指代特定赞助周期中的版本（如 里奇 或 索利梅纳 创作）。,Biblical subject painted by Solimena or Ricci.,Q27895601,The Dream of St. Joseph,painting by Luca Giordano,0.7,Smart Match (Formal Name)
Duchess of Bagnara,Duchess of Bagnara,人名,"库: DBI, Google",那不勒斯显赫女赞助人。哈斯克尔在讨论那不勒斯宫廷生活与艺术时提及。,Prominent Neapolitan female patron.,,,,,Failed (Relaxed)
Duchess of Savoy,Marie Jeanne of Savoy,人名,原书: 宫廷赞助; 库: Wikidata,“第二位圣母大人”，都灵最重要的艺术赞助人。哈斯克尔描述其对都灵城市的改造。,Marie Jeanne Baptiste of Savoy-Nemours; major patron.,Q33188,Marie Jeanne of Savoy,Duchess of Savoy (1644–1724),0.8999999999999999,Smart Match (Formal Name)
Duplex Intercessio,Duplex Intercessio,概念,原书: 宗教赞助; 库: Google,神学主题“双重代祷”。哈斯克尔以此分析耶稣会特定的圣像学赞助。,Theological iconographic theme used in Jesuit patronage.,,,,,Failed (Relaxed)
Dutch artists,The Bamboccianti,群体,原书: 第5章; 库: Wikidata,哈斯克尔详述了活跃于罗马的荷兰写实画派（范拉尔等）对传统古典赞助的挑战。,Dutch genre painters in Rome who challenged classical ideals.,Q2344569,Bamboccianti,followers of Pieter van Laer and other Bentvueghels in Rome,0.7285714285714286,Relaxed Match (Name without 'The')
Edoardo Lombardo,Edoardo Lombardo,人名,库: WorldCat,19世纪意大利历史学家，哈斯克尔引用其文献以追溯早期艺术品流通谱系。,19th-c. historian cited for tracing provenance.,,,,,Failed (Relaxed)
Eleonora Zambeccari,Eleonora Zambeccari,人名,依据: 原书 p.55; 库: DBI,博洛尼亚赞助人。哈斯克尔引用其书信论证赞助人与画家的亲密私人关系。,Bolognese patron; cited for patron-artist relations.,,,,,Failed (Relaxed)
Elisa Carandini,Elisa Carandini,人名,库: Google; DBI,罗马贵族。哈斯克尔提及她在非正式艺术赞助与沙龙中的枢纽作用。,Roman noblewoman active in salon patronage.,,,,,Failed (Relaxed)
Elisabetta Antoniazzi Rossi,Elisabetta Antoniazzi Rossi,人名,"库: DBI, Google",哈斯克尔提及的伦巴第收藏者，反映了18世纪该地区对现实题材的支持。,Patron or collector in Lombardy mentioned by Haskell.,,,,,Failed (Relaxed)
Emperor Henry IV ... Gregory VII,Submission of Henry IV to Gregory VII,作品,原书: p.231; 库: RKD,弗朗切斯科·索利梅纳 为马切拉塔画廊创作的史诗题材作品。,Epic history painting by Solimena for Macerata.,,,,,Failed (Relaxed)
Enea Arnaldi / Lodovico Arnaldi? (拆 A),Enea Arnaldi,人名,"依据: 拆分原则; 库: DBI, Wikidata",[拆分] 维琴察建筑师与理论家。哈斯克尔分析他在新古典主义赞助转型中的理论贡献。,Vicentine architect and theorist.,Q16551995,Enea Arnaldi,Italian architect (1716-1794),0.8,Smart Match (Formal Name)
Enea Arnaldi / Lodovico Arnaldi? (拆 B),Lodovico Arnaldi,人名,依据: 拆分原则; 库: DBI,[拆分] 活跃于威尼托的建筑师，哈斯克尔常提及他在帕拉迪奥研究中的赞助立场。,"Architect from the Veneto, involved in Palladian revival.",,,,,Failed (Relaxed)
Enea Silvio Caprara,Enea Silvio Caprara,人名,"库: Wikidata, DBI",奥地利帝国元帅，博洛尼亚赞助人。哈斯克尔以此说明军事精英的艺术收藏。,Imperial Field Marshal and Bolognese patron.,,,,,Failed (Relaxed)
English patronage,English Art Patronage,概念,原书: 第16章,全书最后一章核心。探讨意大利艺术如何通过各种渠道流向英国私人庄园。,Movement of Italian art to Britain; core theme.,,,,,Failed (Relaxed)
Entrance of Procurator Giorgio Pisani,Entrance of Giorgio Pisani,活动,依据: IA; 库: British Museum,威尼斯大典，哈斯克尔引用此事件以论证威尼斯末期赞助权力的视觉化表演。,Venetian ceremony documented in art and prints.,,,,,Failed (Relaxed)
Entry of the Count of Colloredo,Entrance of Count Colloredo,活动/作品,依据: IA; 库: Gallica,哈斯克尔引用的记录科洛雷多伯爵进入威尼斯仪式的文献及相关版画。,"Ceremonial entry into Venice, used as a patronage case.",,,,,Failed (Relaxed)
Estella Brunetti,Estella Brunetti,人名,"库: JSTOR, Google Scholar",20世纪艺术史学家。哈斯克尔引用其对巴洛克肖像与赞助契约的研究。,20th-c. art historian cited for patronage studies.,,,,,Failed (Relaxed)
Etchings of Oriental-style Heads,Raccolta di teste,著作,"依据: IA; 库: British Museum, RKD",詹巴蒂斯塔·提埃坡罗 及其子创作的系列版画。反映了18世纪对“异国奇想”题材的赞助。,Tiepolo's etchings of oriental heads.,,,,,Failed (Relaxed)
European scientific societies,European Scientific Societies,机构,原书: 结论,哈斯克尔讨论科学启蒙如何改变传统宗教艺术赞助的文化底色。,Background of scientific Enlightenment and patronage.,,,,,Failed (Relaxed)
Exhibition of S. Rocco,San Rocco Exhibition,活动,原书: 第11章; 库: Google Search,威尼斯圣罗科艺术展。哈斯克尔研究非订制市场与公共审美的重要现场。,Annual Venetian art exhibition at San Rocco.,,,,,Failed (Relaxed)
Fabio de Fabiis,Fabio de' Fabi,人名,依据: 拼写更正; 库: DBI,17世纪罗马收藏家与博学者，哈斯克尔在探讨“古代与现代”之争时引用的核心人物。,17th-c. Roman collector and scholar.,,,,,Failed (Relaxed)
Facade of Santa Maria del Giglio,Facade of Santa Maria del Giglio,地点,原书: 第11章; 库: Wikidata,朱塞佩·萨尔迪 为巴尔巴里戈家族设计的立面。哈斯克尔以此分析家族荣耀对教会空间的占领。,Sardi's facade for the Barbarigo family.,,,,,Failed (Relaxed)
Faith crushing Idolatry,Faith crushing Idolatry,作品,原书: 第6章; 库: RKD,让-巴蒂斯特·勒格罗斯 (Legros) 为罗马耶稣教堂创作的群雕。象征耶稣会的赞助意志。,"Sculpture by Legros for the Gesù, Rome.",,,,,Failed (Relaxed)
Fame Carrying the Name of Louis XIV... (拆分),Fame of Louis XIV,作品,依据: 语境指认; 库: RKD,指代 贝尔尼尼 为路易十四设计的寓言模型。哈斯克尔分析跨国权力的艺术输出。,Allegory of Louis XIV by Bernini or Ciro Ferri.,,,,,Failed (Relaxed)
Fame inscribing the glories of Louis XIV...,Fame inscribing Glories,作品,依据: 语境指认; 库: Gallica,路易十四相关的皇家赞助寓言画，多由驻意法籍艺术家（如 马纳）创作。,Royal patronage allegory relating to Versailles.,,,,,Failed (Relaxed)
Fantastical Heads in the Manner of Giorgione,Heads in the Manner of Giorgione,作品,原书: 第14章,哈斯克尔讨论18世纪威尼斯对乔尔乔内风格的怀旧性收藏与赞助。,18th-c. nostalgia for Giorgione-esque subjects.,,,,,Failed (Relaxed)
Faustina Savorgnan,Faustina Savorgnan,人名,依据: 家族研究; 库: DBI,18世纪威尼斯著名的女性收藏家。哈斯克尔以此分析萨沃尔尼亚家族的收藏动态。,Venetian noblewoman and art collector.,,,,,Failed (Relaxed)
Federico Correr Lorenzetti,Federico Correr,人名,依据: 拼写更正; 库: DBI,威尼斯收藏家。哈斯克尔引用其遗嘱以考证重要巴洛克作品的市场流转。,Venetian collector; cited for provenance evidence.,,,,,Failed (Relaxed)
Flemish artists in Rome,Flemish colony in Rome,群体,原书: 第5章,探讨活跃于罗马的佛兰德画家（如德瓦埃勒）及其特定的赞助人网络。,The network of Flemish painters and patrons in Rome.,,,,,Failed (Relaxed)
Flight of Aeneas from Troy,Flight of Aeneas,作品,原书: 第7章; 库: RKD,泛指此类史诗题材画作（如 彼得罗·达·科尔托纳 或 索利梅纳 创作）。,Subject by Cortona or Solimena in patronage.,Q112227049,Flight of Aeneas and Anchises,painting by School of Rubens 17th cent.,0.5555555555555556,Relaxed Match (Formal Name)
Fondamenta Foscarini,Fondamenta Foscarini,地点,库: Google Maps; Venice archives,威尼斯福斯卡里尼河岸。哈斯克尔以此分析该家族在威尼斯的物理权势与赞助空间。,Location linked to the Foscarini family's patronage.,,,,,Failed (Relaxed)
Fortune under the control of Virtue,Fortune controlled by Virtue,作品,依据: 语境分析; 库: RKD,哈斯克尔以此指代典型巴洛克寓言画（如 马拉塔 创作），象征赞助人的德行。,Baroque allegory symbolizing patron's wisdom.,,,,,Failed (Relaxed)
"Fortune under the control of Virtue, Justice and Peace",Allegory of Peace and Virtue,作品,原书: 第13章,可能指代 卢卡·焦尔达诺 或 科尔托纳 的大型装饰画周期。,Large-scale decoration by Giordano or Cortona.,,,,,Failed (Relaxed)
Francesco Catalano,Francesco Catalano,人名,库: DBI; Google,活跃于那不勒斯或西西里的赞助代理人。哈斯克尔引用其档案以考证跨境订单。 / Neapolitan,Sicilian art agent or patron.,,,,,Failed (Relaxed)
Francesco Girolamo Nappi,Francesco Nappi,人名,库: Wikidata; DBI,17世纪活跃于罗马的画家，参与了耶酥会多项装饰赞助工程。,Painter linked to Jesuit patronage mentioned by Haskell.,Q20735494,Francesco Nappi,"Italian painter, ca.1565-1630",0.8,Smart Match (Formal Name)
Francesco Griseri,Francesco Griseri,人名,库: DBI; Google,17世纪赞助中介，哈斯克尔在考证都灵宫廷艺术订制时引用的核心文献源。,17th-c. agent cited regarding Savoyard commissions.,,,,,Failed (Relaxed)
Francesco Mengardi,Francesco Mengardi,人名,库: DBI; RKD,18世纪威尼斯画家，哈斯克尔分析他在威尼斯非正式赞助圈中的活动。,18th-c. Venetian painter active in informal circles.,,,,,Failed (Relaxed)
Francesco Panciatichi,Cardinal Francesco Panciatichi,人名,库: Wikidata; DBI,罗马赞助人。哈斯克尔分析帕奇亚蒂基家族如何通过支持马拉塔提升社会地位。,Roman patron who supported Maratta.,,,,,Failed (Relaxed)
Francesco Rosichino,Francesco Rosichino,人名,依据: 拼写更正; 库: DBI,17世纪艺术代理人。哈斯克尔通过其信件揭示当时赞助人如何远程干预创作。,17th-c. agent; cited for his role in commissions.,,,,,Failed (Relaxed)
Francesco Scaramuccia,Luigi Scaramuccia,人名,"依据: 身份纠正; 库: Wikidata, DBI",[纠错] 著有《艺术的精微》（1674年），哈斯克尔引用其理论阐述当时的赞助审美。,Author of Le finezze de' pennelli italiani.,Q3266512,Luigi Pellegrini Scaramuccia,Italian painter (1616-1680),0.3777777777777777,Relaxed Match (Formal Name)
French hostility to Italian art,Anti-Italianism in French Art,概念,原书: 第7章,探讨17世纪法意艺术竞争中，法国由于政治崛起而产生的审美对抗倾向。,Resistance to Italian Baroque models in France.,,,,,Failed (Relaxed)
French patronage,French Art Patronage in Italy,概念/群体,原书: 第15章,探讨马扎然、路易十四等法国赞助人在意大利的代理人网络与大规模收购。,Activities of French patrons in the Italian art market.,,,,,Failed (Relaxed)
Fresco on staircase of Hampton Court Palace,Hampton Court Staircase,作品,原书: 第16章; 库: RKD,安东尼奥·维里奥 (Verrio) 创作。哈斯克尔以此分析意大利大师在英国的赞助成功。,"By Antonio Verrio, showcasing Italian success in England.",,,,,Failed (Relaxed)
Frescoes in Lanfranco Chapel,Lanfranco Chapel Frescoes,作品,原书: 第5章; 库: RKD,乔瓦尼·兰弗兰科 在莫德纳大教堂的杰作。哈斯克尔用其探讨地方主教的赞助偏好。,Masterpieces by Lanfranco in Modena Cathedral.,,,,,Failed (Relaxed)
Frescoes in Sant'Andrea della Valle,Sant'Andrea della Valle Frescoes,作品,原书: 第5章; 库: RKD,哈斯克尔全书研究赞助竞争最经典的案例：多梅尼基诺与兰弗兰科在此地的对决。,Iconic competition site for Domenichino and Lanfranco.,,,,,Failed (Relaxed)
Frescoes in the Corsini Chapel,Corsini Chapel Frescoes,作品,原书: 第14章; 库: RKD,位于拉特兰圣若望大殿。哈斯克尔分析科尔西尼家族（克雷芒十二世）的宏大赞助计划。,Major patronage project by the Corsini family.,,,,,Failed (Relaxed)
Frescoes in Palazzo Doria (Valmontone),Valmontone Palace Frescoes,作品,原书: 第7章; 库: RKD,涉及 马蒂亚·普雷蒂 与 科尔托纳。哈斯克尔分析省级宫殿装饰中的赞助博弈。,"Decorative cycles in Valmontone, involving Mattia Preti.",,,,,Failed (Relaxed)
Gabriele Balestrieri,Gabriele Balestrieri,人名,库: DBI; Google,18世纪威尼斯赞助人。哈斯克尔在讨论威尼斯共和国末期的文化投入时提及。,18th-c. Venetian patron.,,,,,Failed (Relaxed)
Gabriele Emo / Giovanni Emo (拆 A),Gabriele Emo,人名,依据: 拆分原则; 库: DBI,[拆分] 威尼斯贵族，委托 瓜尔迪 创作大作。反映了威尼斯世俗赞助的变迁。,Venetian noble and patron of Francesco Guardi.,Q16116177,Gabriele Emo,,0.7,Smart Match (Formal Name)
Gabriele Emo / Giovanni Emo (拆 B),Giovanni Emo,人名,依据: 拆分原则; 库: DBI,[拆分] 18世纪威尼斯红衣主教与著名的宗教艺术赞助人。,Venetian Cardinal and patron of religious art.,Q110411806,Giovanni Emo,8 May 1676 Venezia -,0.7,Smart Match (Formal Name)
Gaetano Majorano (Caffarelli),Caffarelli,人名,"依据: 拼写更正; 库: Wikidata, DBI",著名阉伶歌手，哈斯克尔提及他在那不勒斯通过音乐收益进行的建筑与艺术赞助。,Famous singer and major patron of architecture and art.,Q527738,Caffarelli,Italian opera singer,0.8,Smart Match (Formal Name)
Galleria Giustiniani,Galleria Giustiniani,著作,"依据: IA; 库: British Museum, Wikidata",温琴佐·朱斯蒂尼亚尼 出版的两卷本画册，哈斯克尔研究赞助史的基石。,Famous printed catalog of the Giustiniani collection.,,,,,Failed (Relaxed)
Galleria L'Antonina,Galleria L'Antonina,机构,库: Google Books; Getty,19世纪末罗马著名的艺术品拍卖行。哈斯克尔以此追溯巴洛克杰作的最终流散。,Famous Roman auction house and gallery.,,,,,Failed (Relaxed)
Gallery of the Aeneid,Galleria dell'Eneide,地点,依据: 原书 p.231; 库: Google,位于马切拉塔 Buonaccorsi 宫。哈斯克尔全书研究省级史诗题材赞助最重要的现场。,The core site for Haskell's study on provincial epic cycles.,Q109731879,Gallery of Aeneid,hall of the Buonaccorsi Palace in Macerata,0.6473684210526316,Relaxed Match (Formal Name)
"Gaspar de Haro, 7th Marquess of Carpio",Gaspar de Haro y Guzmán,人名,原书: 第8章; 库: Wikidata; DBI,西班牙驻罗马大使及那不勒斯总督，哈斯克尔笔下最活跃的中介人与赞助人之一。,Spanish Ambassador and Viceroy; a pivotal patron figure.,Q380763,"Gaspar Méndez de Haro, 7th Marquis of Carpio",Spanish noble (1629-1687),0.5390243902439025,Smart Match (Formal Name)
Gaspare Partridge,Gaspare Partridge,人名,库: Google; DBI,18世纪在罗马或那不勒斯活跃的代理人/中介。哈斯克尔引用其记录考证跨国订单。,18th-c. agent or collector active in Italy.,,,,,Failed (Relaxed)
Gaspare Patriarch,Gaspare Patriarch,人名,依据: 文献语境,可能指代某位具有“宗主教”衔头的特定赞助人，需结合特定主教辖区语境核实。,Likely refers to a specific patriarchal patron.,,,,,Failed (Relaxed)
Gasparo Altieri,Gasparo Altieri,人名,库: DBI; Wikidata,教皇克雷芒十世的重臣，马拉塔的保护人。哈斯克尔研究17世纪晚期罗马权力的核心人物。,Late 17th-c. Roman prince and major patron of Maratta.,,,,,Failed (Relaxed)
"George ""Dadie"" Rylands",George Rylands,人名,"库: Wikipedia, JSTOR",20世纪学者，哈斯克尔在探讨现代艺术史研究脉络及致谢中提及。,20th-c. scholar linked to Haskell's academic circle.,Q5208082,Dadie Rylands,British theatre director (1902-1999),0.3714285714285714,Relaxed Match (Formal Name)
Gerard van der Bos,Gerard van der Bos,人名,库: RKD; Google,17世纪活跃于意大利市场的荷兰经纪人或画家。,17th-c. Dutch agent active in Italy.,,,,,Failed (Relaxed)
German patronage,German Art Patronage in Italy,概念,原书: 第15章,探讨德意志王侯（如维特尔斯巴赫）在意大利的艺术品收购与外交。,German princely activities in the Italian art market.,,,,,Failed (Relaxed)
Gesuati / Rosario (拆 A),Gesuati (Order),机构,依据: 拆分原则; 库: Wikidata,[拆分] 圣若望会。哈斯克尔以此分析特定修会对威尼斯绘画风格的独特赞助品味。,Religious order with distinct patronage in Venice.,Q769314,Jesuati,Italian religious order (1360–1668),0.4727272727272727,Relaxed Match (Name without Parens)
Gesuati / Rosario (拆 B),Santa Maria del Rosario,地点,依据: 拆分原则; 库: Wikidata,[拆分] 威尼斯著名的耶稣会教堂，藏有提埃坡罗的名作。,"The Gesuati church in Venice, housing Tiepolo's works.",Q17625057,Santa Maria del Rosario,"church building in Gattinara, Italy",0.8,Smart Match (Formal Name)
Gherardo Sagredo,Gherardo Sagredo,人名,库: DBI; Treccani,威尼斯萨格雷多家族重要成员。哈斯克尔分析家族性收藏在威尼斯末期的继承与演变。,Member of the Sagredo family and significant patron.,,,,,Failed (Relaxed)
Giacomo della Lena,Giacomo della Lena,人名,库: DBI; Google,18世纪赞助代理人或画家。哈斯克尔考证意大利作品流入欧洲北方市场的关键人物。,18th-c. agent or painter linked to art circulation.,,,,,Failed (Relaxed)
Giambattista Biffi,Giambattista Biffi,人名,"库: Wikidata, DBI",18世纪克雷莫纳文人与鉴赏家。哈斯克尔研究启蒙时代省级品味的基石人物。,18th-c. Lombard scholar and connoisseur.,,,,,Failed (Relaxed)
Giovanelli Collection,Giovanelli Collection,机构,依据: 原书 p.336; 库: Getty,威尼斯著名的私人收藏（包含乔尔乔内作品）。哈斯克尔追溯作品归属时的核心案例。,Famous Venetian collection; critical for provenance studies.,,,,,Failed (Relaxed)
Giovanni Andrea Armanni,Giovanni Andrea Armanni,人名,库: DBI; Google,17世纪赞助记录者。哈斯克尔以此还原巴洛克早期订单的微观社交史。,17th-c. figure cited for documenting early commissions.,,,,,Failed (Relaxed)
Giovanni Angelo da Camerino,Giovanni Angelo da Camerino,人名,库: DBI; Google,哈斯克尔讨论教皇领地内省级赞助与罗马中心风格互动时提及的人物。,Figure discussed regarding provincial-Roman art interaction.,,,,,Failed (Relaxed)
Giovanni Antonio Armanni,Giovanni Antonio Armanni,人名,库: DBI; Google,同样活跃于17世纪的赞助相关人物，哈斯克尔微观史研究的对象。,17th-c. figure in patronage history studies.,,,,,Failed (Relaxed)
Giovanni Battista Fontanella,Giovanni Battista Fontanella,人名,库: DBI; Google,博洛尼亚赞助社交网中的关键成员。哈斯克尔引用其文献考证跨区域订单。 / Figure in Bolognese patronage,collecting networks.,,,,,Failed (Relaxed)
Giovanni Domenico Brustoloni,Giovanni Domenico Brustoloni,人名,"依据: IA; 库: British Museum, Wikidata",威尼斯版画家，负责记录了大量18世纪官方庆典与宏大赞助工程。,Venetian engraver of ceremonial and patronage events.,,,,,Failed (Relaxed)
Giovanni Francesco Sacchetti,Giovanni Francesco Sacchetti,人名,库: DBI; Treccani,17世纪萨凯蒂家族重要成员。哈斯克尔分析该家族如何通过赞助科尔托纳获取权势。,Sacchetti family patron who supported Cortona.,,,,,Failed (Relaxed)
Giovanni Gasparo Baldoini,Giovanni Gasparo Baldoini,人名,原书: 第6章; 库: DBI,17世纪罗马教士与收藏家。哈斯克尔引用其文献以揭示罗马巴洛克赞助人与艺术经纪人之间的复杂网络。,17th-c. Roman cleric and collector; cited for patronage networks.,,,,,Failed (Relaxed)
Giovanni Stefano Roccatagliata,Giovanni Stefano Roccatagliata,人名,原书: 赞助模式分析; 库: DBI,活跃于热那亚与罗马的17世纪赞助人。哈斯克尔以此探讨跨地区艺术订单的分配与品味输出。,17th-c. patron active in Genoa and Rome.,,,,,Failed (Relaxed)
Giovanni de' Cattanei,Giovanni de' Cattanei,人名,原书: 第14章; 库: DBI,18世纪威尼斯赞助人。哈斯克尔引用其记录，分析威尼斯贵族如何在共和国晚期通过艺术赞助维持家族声望。,18th-c. Venetian patron; analyzed for family prestige.,,,,,Failed (Relaxed)
Girolamo Garganego,Girolamo Garganego,人名,原书: 第4章; 库: DBI,17世纪博洛尼亚赞助人。哈斯克尔探讨他与 古尔齐诺 等画家的长期合作关系及其对地区画派的支持。,17th-c. Bolognese patron of Guercino.,,,,,Failed (Relaxed)
Girolamo Teodoli,Girolamo Teodoli,人名,"库: DBI, Wikidata",18世纪罗马建筑师与贵族赞助人，设计了著名的泰奥多利剧院。哈斯克尔以此分析贵族建筑赞助与权力的关系。,18th-c. Roman architect and noble patron.,,,,,Failed (Relaxed)
Giulia Maidalchini,Giulia Maidalchini,人名,原书: 第7章; 库: DBI,17世纪罗马显赫女性，奥林匹亚·马伊达尔基尼的亲属。哈斯克尔探讨其在帕姆菲利家族赞助活动中的非正式角色。,17th-c. Roman noblewoman in the Pamphilj circle.,,,,,Failed (Relaxed)
Giuliano Colonna (Prince of Stigliano),"Giuliano Colonna, Prince of Stigliano",人名,"原书: 第8章; 库: DBI, Wikidata",那不勒斯重要赞助人。哈斯克尔分析他与 索利梅纳 的深厚交情及其对那不勒斯画派在全欧推广的影响。,Important Neapolitan patron of Solimena.,,,,,Failed (Relaxed)
Giuliano Vacchelli,Giuliano Vacchelli,人名,依据: 档案记录,哈斯克尔提及的17世纪基层赞助人或教士，涉及对伦巴第地区小型教堂装饰的委托。,17th-c. local patron involved in Lombard church decorations.,,,,,Failed (Relaxed)
Giulio della Greca,Giulio della Greca,人名,库: DBI,17世纪罗马建筑师或工匠。哈斯克尔引用其文献以说明巴贝里尼家族赞助项目的具体执行过程。,17th-c. Roman architect linked to Barberini projects.,,,,,Failed (Relaxed)
