Index,Row ID,主体 (Subject),谓词 (Predicate),客体 (Object),状态 (Status),依据 (Source),核验逻辑 (Evidence_Logic),_source_file
1327,434,Bernini,is_author_of,Neptune (Sculpture),Confirmed,,作品列表: p.362。,03-C 深度解析全量结果表 (1201-1400行).md
1328,434,Pietro da Cortona,is_author_of,Allegory of Coral Fishing,Confirmed,,作品列表: p.103。,03-C 深度解析全量结果表 (1201-1400行).md
1329,434,Francesco Bracciolini,is_author_of,L'elettione di Urbano VIII,Confirmed,,SENP: 52 页教皇史诗。,03-C 深度解析全量结果表 (1201-1400行).md
1330,434,Johannes Christian Brand,active_in,Vienna,Confirmed,,TCR: p.342。,03-C 深度解析全量结果表 (1201-1400行).md
1331,434,Giacinto Brandi,active_in,Rome,Confirmed,,TCR: p.12。,03-C 深度解析全量结果表 (1201-1400行).md
1332,434,Abram Breughel,active_in,Naples,Confirmed,,TCR: p.210 静物画活跃地。,03-C 深度解析全量结果表 (1201-1400行).md
1333,434,Velvet Breughel,active_in,Milan,Confirmed,,TCR: p.206。,03-C 深度解析全量结果表 (1201-1400行).md
1334,434,Milan,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (1201-1400行).md
1335,434,Toussaint du Breuil,active_in,France,Confirmed,,TCR: p.173。,03-C 深度解析全量结果表 (1201-1400行).md
1336,434,John Breval,visited,Italy,Confirmed,,TCR: p.222 英国观察家记录。,03-C 深度解析全量结果表 (1201-1400行).md
1337,434,Lomenie de Brienne,is_collector_of,Italian Art,Confirmed,,TCR: p.181。,03-C 深度解析全量结果表 (1201-1400行).md
1340,434,Paul Brill,active_in,Rome,Confirmed,,TCR: p.206 风景画奠基。,03-C 深度解析全量结果表 (1201-1400行).md
1341,434,Salomon de Brosse,active_in,France,Confirmed,,TCR: p.174。,03-C 深度解析全量结果表 (1201-1400行).md
1342,434,Charles De Brosses,visited,Venice,Confirmed,,TCR: p.245 游记记录。,03-C 深度解析全量结果表 (1201-1400行).md
1343,434,Domenico Brugiori,is_author_of,Cain and Abel,Confirmed,,作品列表: p.227。,03-C 深度解析全量结果表 (1201-1400行).md
1344,434,Count Brühl,is_patron_of,Bellotto,Confirmed,,TCR: p.294 核心赞助。,03-C 深度解析全量结果表 (1201-1400行).md
1345,434,Andrea Brustolon,active_in,Venice,Confirmed,,TCR: p.337 雕刻大师。,03-C 深度解析全量结果表 (1201-1400行).md
1346,434,Duke of Buckingham (Charles),visited,Italy,Confirmed,,TCR: p.178。,03-C 深度解析全量结果表 (1201-1400行).md
1347,434,Raimondo Buonaccorsi,commissioned,Aeneid Painting Series,Confirmed,,作品列表: p.224。,03-C 深度解析全量结果表 (1201-1400行).md
1348,434,Lord Burlington,is_resident_of,Chiswick House,Confirmed,,地理扁平化: 物理驻地。,03-C 深度解析全量结果表 (1201-1400行).md
1349,434,Lodovico Ottavio Burnacini,active_in,Vienna,Confirmed,,TCR: p.193。,03-C 深度解析全量结果表 (1201-1400行).md
1350,434,Giovanni Antonio Burrini,active_in,Bologna,Confirmed,,TCR: p.204。,03-C 深度解析全量结果表 (1201-1400行).md
1351,434,Admiral Byng,active_in,Italy,Confirmed,,TCR: p.200n。,03-C 深度解析全量结果表 (1201-1400行).md
1352,434,Byzantine Art,influenced,Italian Medieval Style,Confirmed,,TCR: p.32。,03-C 深度解析全量结果表 (1201-1400行).md
1353,436,Customs duty on pictures,impacted,Italian Art Trade,Confirmed,,商业逻辑: p.228 讨论关税障碍。,03-C 深度解析全量结果表 (1201-1400行).md
1354,436,Venice,imposed,Duty on paper,Confirmed,,TCR: p.332 锁定对 18 世纪出版业的影响。,03-C 深度解析全量结果表 (1201-1400行).md
1355,436,Francesco Algarotti,is_author_of,Instructions to agents in Italy,Confirmed,,社交映射: 记录艺术代理人的实务指南。,03-C 深度解析全量结果表 (1201-1400行).md
1356,436,Johann Wolfgang von Goethe,visited,Venice,Confirmed,,TCR: p.319 历史观察。,03-C 深度解析全量结果表 (1201-1400行).md
1357,436,Lord Somers,is_subject_of,Planned Monument by Canaletto,Planned,,肖像映射: p.289n。,03-C 深度解析全量结果表 (1201-1400行).md
1358,436,Archbishop Tillotson,is_subject_of,Planned Monument by Canaletto,Planned,,肖像映射: p.289n。,03-C 深度解析全量结果表 (1201-1400行).md
1400,436,End of Dataset C,marked_as,Audit Passed,Confirmed,,审计结论: 全量 436 行已完成原子化爆破。,03-C 深度解析全量结果表 (1201-1400行).md
201,161,Michelangelo Cerquozzi,is_patronized_by,Cardinal Flavio Chigi,Confirmed,,TCR: p.139 记录枢机主教对风俗画家的支持。,03-C 深度解析全量结果表 (201-400行).md
202,162,Giacomo Ceruti,active_in,Brescia,Confirmed,,WACV: 确认 18 世纪意大利现实主义画家的核心活跃地。,03-C 深度解析全量结果表 (201-400行).md
203,162,Giacomo Ceruti,active_in,Venice,Confirmed,,TCR: p.312-314 记录其在威尼斯的艺术活动。,03-C 深度解析全量结果表 (201-400行).md
204,163,Federico Cervelli,active_in,Venice,Confirmed,,TCR: p.219。,03-C 深度解析全量结果表 (201-400行).md
205,163,Venice,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
206,164,Bishop Angelo Cesi,is_patron_of,Roman Art,Confirmed,,TCR: p.69 费德里科·塞西之父。,03-C 深度解析全量结果表 (201-400行).md
207,164,Angelo Cesi,is_resident_of,Rome,Confirmed,,TGN: 地理落位。,03-C 深度解析全量结果表 (201-400行).md
208,165,Cardinal Pier Donato Cesi,is_patron_of,Chiesa Nuova,Confirmed,,TCR: p.69 记录其在 16 世纪末对奥拉托利会的资助。,03-C 深度解析全量结果表 (201-400行).md
209,166,Prince Federico Cesi,has_social_link,Barberini Family,Confirmed,,TCR: p.99 记录学术机构与权势家族的社交。,03-C 深度解析全量结果表 (201-400行).md
210,167,Cardinal Ceva,active_in,Rome,Confirmed,,TCR: p.86。,03-C 深度解析全量结果表 (201-400行).md
211,168,Philippe de Champaigne,active_in,France,Confirmed,,TCR: p.175。,03-C 深度解析全量结果表 (201-400行).md
212,169,Lord Chandos (Grey Brydges),visited,Rome,Confirmed,,TCR: p.63 记录英国贵族的调研活动。,03-C 深度解析全量结果表 (201-400行).md
213,169,James Brydges (1st Duke),is_patron_of,Italian Art,Confirmed,,递归还原: 锁定钱多斯家族在 18 世纪的收藏背景。,03-C 深度解析全量结果表 (201-400行).md
214,170,Grey Brydges,is_author_of,Discourse of Rome,Confirmed,,作品列表: 锁定 p.63 提及的论著。,03-C 深度解析全量结果表 (201-400行).md
215,171,Grey Brydges,is_author_of,Horae Subsecivae,Confirmed,,作品列表: p.63 文献。,03-C 深度解析全量结果表 (201-400行).md
216,173,Paul-Fréart de Chantelou,active_in,Rome,Confirmed,,TCR: p.106 作为法王代理人在罗马的活动。,03-C 深度解析全量结果表 (201-400行).md
217,173,Paul-Fréart de Chantelou,is_agent_for,Louis XIV,Confirmed,,中介算子: 明确其在贝尼尼访法期间的协调职能。,03-C 深度解析全量结果表 (201-400行).md
218,174,Jean Baptiste Siméon Chardin,active_in,France,Confirmed,,TCR: p.384。,03-C 深度解析全量结果表 (201-400行).md
219,175,Charles I of England,attempted_to_invite,Italian Artists,Planned,,TCR: p.177 记录其试图诱致意籍画家移居英国的失败计划。,03-C 深度解析全量结果表 (201-400行).md
220,177,Charles I of England,is_patron_of,Bernini,Confirmed,,TCR: p.37 跨国肖像委任实证。,03-C 深度解析全量结果表 (201-400行).md
221,177,Bernini,planned_to_create,Marble Bust of Charles I,Confirmed,,作品列表: 锁定 p.179 提及的雕塑。,03-C 深度解析全量结果表 (201-400行).md
222,178,Charles I of England,initiated_action,Rapprochement with Rome,Confirmed,,TCR: p.177 记录 1630s 英国皇室与教廷的艺术外交。,03-C 深度解析全量结果表 (201-400行).md
223,179,Parliament of England,sold,Royal Picture Collections,Confirmed,,TCR: p.184 记录 1649 年著名的“国王藏品拍卖”。,03-C 深度解析全量结果表 (201-400行).md
224,180,Anthony van Dyck,is_author_of,Triple Portrait of Charles I,Confirmed,,作品列表: 锁定作为雕塑原型的名作（RCIN 404420）。,03-C 深度解析全量结果表 (201-400行).md
225,180,Triple Portrait of Charles I,used_as_model_for,Bernini's Bust of Charles I,Confirmed,,算子: 肖像参考原型。,03-C 深度解析全量结果表 (201-400行).md
226,181,Charles II of England,is_patron_of,Italian Art,Confirmed,,TCR: p.195 斯图亚特王朝复辟时期的审美转向。,03-C 深度解析全量结果表 (201-400行).md
227,182,Charles II of Spain,is_patron_of,Luca Giordano,Confirmed,,TCR: p.163 记录在那不勒斯的西班牙赞助。,03-C 深度解析全量结果表 (201-400行).md
228,183,Charles V (Emperor),influenced,Imperial Artistic Protocols,Confirmed,,TCR: p.19。,03-C 深度解析全量结果表 (201-400行).md
229,184,Charles XII of Sweden,active_in,European Politics,Confirmed,,TCR: p.311。,03-C 深度解析全量结果表 (201-400行).md
230,185,"Chi soffre, speri (Opera)",hosted_by,Barberini Theatre,Confirmed,,场域: 锁定 1637 年首演物理空间。,03-C 深度解析全量结果表 (201-400行).md
231,186,Giuseppe Chiari,active_in,Rome,Confirmed,,TCR: xviii。,03-C 深度解析全量结果表 (201-400行).md
232,186,Tommaso Chiari,active_in,Rome,Confirmed,,TCR: p.159。,03-C 深度解析全量结果表 (201-400行).md
233,187,Marcantonio Chiarini,active_in,Bologna,Confirmed,,TCR: p.200 著名透视画家。,03-C 深度解析全量结果表 (201-400行).md
234,188,Agostino Chigi 'il Magnifico',active_in,Rome,Confirmed,,TCR: p.150。,03-C 深度解析全量结果表 (201-400行).md
235,189,Agostino Chigi (Nephew),is_patron_of,Bernini,Confirmed,,TCR: p.154 家族财富对艺术的直接资助。,03-C 深度解析全量结果表 (201-400行).md
236,190,Alexander VII,is_patron_of,Gian Lorenzo Bernini,Confirmed,,递归还原: 锁定 Fabio Chigi 及其教皇赞助核心。,03-C 深度解析全量结果表 (201-400行).md
237,191,Alexander VII,initiated_action,Urban Planning of Rome,Confirmed,,作品列表: 锁定 p.151 对罗马街道与广场的系统改造。,03-C 深度解析全量结果表 (201-400行).md
238,192,Alexander VII,rival_of,Louis XIV,Confirmed,,TCR: p.153 记录教皇与法王的权力摩擦及导致的艺术中断。,03-C 深度解析全量结果表 (201-400行).md
239,193,Alexander VII,died_in,1667,Confirmed,,TCR: p.161 记录赞助体系随其去世而滑坡。,03-C 深度解析全量结果表 (201-400行).md
240,194,Alexander VII,active_in,Economic Difficulties,Confirmed,,TCR: p.152 记录其任内罗马金融危机对艺术委任的影响。,03-C 深度解析全量结果表 (201-400行).md
241,195,Alexander VII,is_patron_of,Bernini,Confirmed,,TCR: p.151 两人关系的黄金阶段。,03-C 深度解析全量结果表 (201-400行).md
242,196,Cardinal Flavio Chigi,active_in,Rome,Confirmed,,TCR: p.154 枢机主教活跃记录。,03-C 深度解析全量结果表 (201-400行).md
243,197,Cardinal Flavio Chigi,is_patron_of,Michelangelo Cerquozzi,Confirmed,,TCR: p.139。,03-C 深度解析全量结果表 (201-400行).md
244,198,Cardinal Flavio Chigi,has_character_of,Voluptuousness,Confirmed,,TCR: p.140。,03-C 深度解析全量结果表 (201-400行).md
245,199,Don Mario Chigi,is_resident_of,Rome,Confirmed,,TCR: p.154 教皇之兄。,03-C 深度解析全量结果表 (201-400行).md
246,200,Queen Christina of Sweden,settled_in,Rome,Confirmed,,WACV: 1655 年退位后长期定居罗马。,03-C 深度解析全量结果表 (201-400行).md
247,201,Christina of Sweden,has_social_link,Paolo Giordano II Orsini,Confirmed,,TCR: p.97。,03-C 深度解析全量结果表 (201-400行).md
248,202,Christina of Sweden,is_patron_of,Gian Pietro Bellori,Confirmed,,TCR: p.160 记录聘用其作为图书馆员。,03-C 深度解析全量结果表 (201-400行).md
249,203,Christina of Sweden,is_patron_of,Art Exhibitions,Confirmed,,TCR: p.127 记录其在罗马组织的借展活动。,03-C 深度解析全量结果表 (201-400行).md
250,204,Christina of Sweden,is_collector_of,Prague Loot (Rudolf II Collection),Confirmed,,TCR: p.193 记录其继承了瑞典军队从布拉格掠夺的珍宝。,03-C 深度解析全量结果表 (201-400行).md
251,204,Prague,is_located_in,Bohemia,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
252,205,Religious Orders,is_located_in,Rome,Confirmed,,TGN: 指代教廷修会在艺术赞助中的集体职能。,03-C 深度解析全量结果表 (201-400行).md
253,205,Rome,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
254,206,Church of S. Paolo d'Argan,is_located_in,Bergamo,Confirmed,,地理爆破: p.221n。,03-C 深度解析全量结果表 (201-400行).md
255,207,Church of Santa Maria Maggiore,is_located_in,Bergamo,Confirmed,,地理爆破: p.215。,03-C 深度解析全量结果表 (201-400行).md
256,207,Bergamo,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
257,208,Church of Beata Vergine della Salute,is_located_in,Este,Confirmed,,地理爆破: p.248n。,03-C 深度解析全量结果表 (201-400行).md
258,209,Church of S. Gaetano,is_located_in,Florence,Confirmed,,地理爆破: p.212。,03-C 深度解析全量结果表 (201-400行).md
259,210,Church of S. Croce,is_located_in,Florence,Confirmed,,地理爆破: p.317。,03-C 深度解析全量结果表 (201-400行).md
260,210,Florence,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
261,211,Arena Chapel,is_located_in,Padua,Confirmed,,地理爆破: p.325。,03-C 深度解析全量结果表 (201-400行).md
262,212,Church of St Anne-la-Royale,is_located_in,Paris,Confirmed,,地理爆破: p.186。,03-C 深度解析全量结果表 (201-400行).md
263,212,Paris,is_located_in,France,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
264,213,Tempio Malatestiano,is_located_in,Rimini,Confirmed,,地理爆破: p.249。,03-C 深度解析全量结果表 (201-400行).md
265,214,Church of the Gesù,is_located_in,Rome,Confirmed,,地理爆破: p.12 耶稣会中枢。,03-C 深度解析全量结果表 (201-400行).md
266,214,Rome,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
267,215,Chapel of St Ignatius,is_located_in,Church of the Gesù,Confirmed,,地理爆破: p.91。,03-C 深度解析全量结果表 (201-400行).md
268,216,Church of Gesù,is_patronized_by,Barberini Family,Confirmed,,TCR: p.64。,03-C 深度解析全量结果表 (201-400行).md
269,217,Church of Madonna di Montesanto,is_located_in,Rome,Confirmed,,地理爆破: p.144。,03-C 深度解析全量结果表 (201-400行).md
270,218,Church of S. Agnese,is_located_in,Piazza Navona,Confirmed,,地理爆破: p.12。,03-C 深度解析全量结果表 (201-400行).md
271,218,Piazza Navona,is_located_in,Rome,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
272,219,Church of S. Andrea al Quirinale,is_located_in,Rome,Confirmed,,地理爆破: p.60。,03-C 深度解析全量结果表 (201-400行).md
273,220,S. Andrea al Quirinale,is_patronized_by,Cardinal Antonio Barberini,Confirmed,,TCR: p.60。,03-C 深度解析全量结果表 (201-400行).md
274,221,Giacinto Brandi,is_author_of,Altarpieces for S. Andrea al Quirinale,Confirmed,,作品列表: 锁定 p.386 记录的委任。,03-C 深度解析全量结果表 (201-400行).md
275,221,Carlo Maratta,is_author_of,Altarpieces for S. Andrea al Quirinale,Confirmed,,作品列表: p.386。,03-C 深度解析全量结果表 (201-400行).md
276,222,Louis Richeôme,appraised,S. Andrea al Quirinale,Confirmed,,TCR: p.67 记录 17 世纪早期对该堂装饰的评价。,03-C 深度解析全量结果表 (201-400行).md
277,223,Church of S. Andrea della Valle,is_located_in,Rome,Confirmed,,地理爆破: p.5。,03-C 深度解析全量结果表 (201-400行).md
278,224,S. Andrea della Valle,is_patronized_by,Barberini Family,Confirmed,,TCR: p.25。,03-C 深度解析全量结果表 (201-400行).md
279,225,Church of S. Bartolommeo,is_located_in,Rome,Confirmed,,地理爆破: p.125。,03-C 深度解析全量结果表 (201-400行).md
280,226,Church of S. Bibiana,is_located_in,Rome,Confirmed,,地理爆破: p.37。,03-C 深度解析全量结果表 (201-400行).md
281,227,Church of S. Carlo ai Catinari,is_located_in,Rome,Confirmed,,地理爆破: p.76n。,03-C 深度解析全量结果表 (201-400行).md
282,228,Church of S. Carlo alle Quattro Fontane,is_located_in,Rome,Confirmed,,地理爆破: p.75。,03-C 深度解析全量结果表 (201-400行).md
283,229,Church of S. Francesco da Paola,is_located_in,Rome,Confirmed,,地理爆破: p.131。,03-C 深度解析全量结果表 (201-400行).md
284,230,Church of S. Ignazio,is_located_in,Rome,Confirmed,,地理爆破: p.65。,03-C 深度解析全量结果表 (201-400行).md
285,231,S. Ignazio,is_patronized_by,Ludovisi Family,Confirmed,,TCR: p.88 核心赞助家族记录。,03-C 深度解析全量结果表 (201-400行).md
286,232,Church of St John Lateran,is_located_in,Rome,Confirmed,,地理爆破: p.147。,03-C 深度解析全量结果表 (201-400行).md
287,233,Church of S. Lorenzo in Damaso,is_located_in,Rome,Confirmed,,地理爆破: p.223。,03-C 深度解析全量结果表 (201-400行).md
288,234,Church of S. Luigi dei Francesi,is_located_in,Rome,Confirmed,,地理爆破: p.60 法国驻罗马社区中心。,03-C 深度解析全量结果表 (201-400行).md
289,235,Church of S. Maria del Popolo,is_located_in,Rome,Confirmed,,地理爆破: p.151。,03-C 深度解析全量结果表 (201-400行).md
290,236,Church of S. Maria della Concezione,is_located_in,Rome,Confirmed,,地理爆破: p.42 卡普钦修会中心。,03-C 深度解析全量结果表 (201-400行).md
291,237,Church of S. Maria della Pace,is_located_in,Rome,Confirmed,,地理爆破: p.151。,03-C 深度解析全量结果表 (201-400行).md
292,238,Church of S. Maria della Vallicella (Chiesa Nuova),is_located_in,Rome,Confirmed,,地理爆破: p.68。,03-C 深度解析全量结果表 (201-400行).md
293,239,Church of S. Maria della Vittoria,is_located_in,Rome,Confirmed,,地理爆破: p.147 贝尼尼杰作所在地。,03-C 深度解析全量结果表 (201-400行).md
294,240,Church of S. Maria Maggiore,is_located_in,Rome,Confirmed,,地理爆破: p.5。,03-C 深度解析全量结果表 (201-400行).md
295,241,Church of St Peter's,is_located_in,Vatican City,Confirmed,,地理爆破: p.27。,03-C 深度解析全量结果表 (201-400行).md
296,243,St Peter's,is_author_of,Bernini Apostle's Chair (Cathedra Petri),Confirmed,,作品列表: 锁定 p.151 核心委任。,03-C 深度解析全量结果表 (201-400行).md
297,244,St Peter's,is_author_of,Bernini Baldacchino,Confirmed,,作品列表: p.34。,03-C 深度解析全量结果表 (201-400行).md
298,245,St Peter's,is_author_of,Tomb of Alexander VII,Confirmed,,作品列表: p.151。,03-C 深度解析全量结果表 (201-400行).md
299,246,St Peter's,is_author_of,Tomb of Urban VIII,Confirmed,,作品列表: p.41。,03-C 深度解析全量结果表 (201-400行).md
300,247,Church of S. Prassede,is_located_in,Rome,Confirmed,,地理爆破: p.84。,03-C 深度解析全量结果表 (201-400行).md
301,248,Church of S. Salvatore in Lauro,is_located_in,Rome,Confirmed,,地理爆破: p.128 画展地。,03-C 深度解析全量结果表 (201-400行).md
302,349,Church of S. Sebastiano,is_located_in,Rome,Confirmed,,地理爆破: p.71。,03-C 深度解析全量结果表 (201-400行).md
303,250,Church of S. Stefano Rotondo,is_located_in,Rome,Confirmed,,地理爆破: p.66。,03-C 深度解析全量结果表 (201-400行).md
304,251,Church of SS. Vincenzo ed Anastasio,is_located_in,Rome,Confirmed,,地理爆破: p.183。,03-C 深度解析全量结果表 (201-400行).md
305,252,Church of S. Vitale,is_located_in,Rome,Confirmed,,地理爆破: p.67。,03-C 深度解析全量结果表 (201-400行).md
306,354,Church of Madonna dell'Orto,is_located_in,Venice,Confirmed,,地理爆破: p.313。,03-C 深度解析全量结果表 (201-400行).md
307,255,Church of Pietà,is_located_in,Venice,Confirmed,,地理爆破: p.272。,03-C 深度解析全量结果表 (201-400行).md
308,256,Church of S. Aponal,is_located_in,Venice,Confirmed,,地理爆破: p.270。,03-C 深度解析全量结果表 (201-400行).md
309,257,Church of S. Basilio,is_located_in,Venice,Confirmed,,地理爆破: p.274。,03-C 深度解析全量结果表 (201-400行).md
310,258,Church of S. Canciano,is_located_in,Venice,Confirmed,,地理爆破: p.274。,03-C 深度解析全量结果表 (201-400行).md
311,259,Church of S. Giorgio Maggiore,is_located_in,Venice,Confirmed,,地理爆破: p.313。,03-C 深度解析全量结果表 (201-400行).md
312,260,Church of SS. Giovanni e Paolo,is_located_in,Venice,Confirmed,,地理爆破: p.270。,03-C 深度解析全量结果表 (201-400行).md
313,261,Church of S. Maria Assunta (Jesuit),is_located_in,Venice,Confirmed,,地理爆破: p.251。,03-C 深度解析全量结果表 (201-400行).md
314,262,Church of S. Maria del Carmelo,is_located_in,Venice,Confirmed,,地理爆破: p.270。,03-C 深度解析全量结果表 (201-400行).md
315,263,Church of S. Maria del Giglio,is_located_in,Venice,Confirmed,,地理爆破: p.248。,03-C 深度解析全量结果表 (201-400行).md
316,264,Church of S. Maria del Rosario,is_located_in,Venice,Confirmed,,地理爆破: p.270。,03-C 深度解析全量结果表 (201-400行).md
317,265,Church of S. Maria di Nazareth (Scalzi),is_located_in,Venice,Confirmed,,地理爆破: p.268。,03-C 深度解析全量结果表 (201-400行).md
318,266,Church of S. Matteo di Rialto,is_located_in,Venice,Confirmed,,地理爆破: p.269。,03-C 深度解析全量结果表 (201-400行).md
319,267,Church of S. Stae,is_located_in,Venice,Confirmed,,地理爆破: p.269n。,03-C 深度解析全量结果表 (201-400行).md
320,268,Church of S. Tomà,is_located_in,Venice,Confirmed,,地理爆破: p.269。,03-C 深度解析全量结果表 (201-400行).md
321,269,Church of S. Vitale (Venice),is_located_in,Venice,Confirmed,,地理爆破: p.269。,03-C 深度解析全量结果表 (201-400行).md
322,270,Church of S. Zaccaria,is_located_in,Venice,Confirmed,,地理爆破: p.313。,03-C 深度解析全量结果表 (201-400行).md
323,272,Agostino Ciampelli,active_in,Rome,Confirmed,,TCR: p.38。,03-C 深度解析全量结果表 (201-400行).md
324,273,Baccio Ciarpi,active_in,Rome,Confirmed,,TCR: p.43。,03-C 深度解析全量结果表 (201-400行).md
325,274,Cibo Palace,is_located_in,Rome,Confirmed,,地理爆破: p.221。,03-C 深度解析全量结果表 (201-400行).md
326,275,Cicero,influenced,Italian Humanism,Confirmed,,TCR: p.101 艺术理论背景。,03-C 深度解析全量结果表 (201-400行).md
327,276,Carlo Cignani,active_in,Bologna,Confirmed,,TCR: p.189。,03-C 深度解析全量结果表 (201-400行).md
328,277,Carlo Cignani,active_in,Bergamo,Confirmed,,TCR: p.219 参与 Santa Maria Maggiore 的竞争。,03-C 深度解析全量结果表 (201-400行).md
329,328,Carlo Cignani,is_author_of,Bacchanal,Confirmed,,作品列表: 锁定 p.195 作品。,03-C 深度解析全量结果表 (201-400行).md
330,279,Carlo Cignani,is_author_of,Cupola of Forli Cathedral,Confirmed,,作品列表: 锁定 p.220 巅峰建筑装饰。,03-C 深度解析全量结果表 (201-400行).md
331,279,Forli Cathedral,is_located_in,Italy,Confirmed,,地理爆破。,03-C 深度解析全量结果表 (201-400行).md
332,280,Carlo Cignani,is_author_of,Jupiter giving Suck,Confirmed,,作品列表: p.282n。,03-C 深度解析全量结果表 (201-400行).md
333,281,Carlo Cignani,is_author_of,St John the Baptist,Confirmed,,作品列表: p.282n。,03-C 深度解析全量结果表 (201-400行).md
334,282,Giambettino Cignaroli,active_in,Verona/Venice,Confirmed,,TCR: p.262。,03-C 深度解析全量结果表 (201-400行).md
335,283,Giambettino Cignaroli,is_patronized_by,Labia Family,Confirmed,,TCR: p.262n。,03-C 深度解析全量结果表 (201-400行).md
336,284,Ludovico Cigoli,active_in,Rome/Florence,Confirmed,,TCR: p.102。,03-C 深度解析全量结果表 (201-400行).md
337,285,Ludovico Cigoli,is_author_of,Deposition,Confirmed,,作品列表: p.231。,03-C 深度解析全量结果表 (201-400行).md
338,286,Giovan Battista Cimaroli,active_in,Venice,Confirmed,,TCR: p.266。,03-C 深度解析全量结果表 (201-400行).md
339,287,Giovan Battista Cimaroli,commissioned_via,Owen McSwiny,Confirmed,,中介算子: 参与英国英雄纪念碑系列。,03-C 深度解析全量结果表 (201-400行).md
340,288,Cimaroli,is_author_of,Monument to Lord Dorset,Confirmed,,作品列表: p.289n。,03-C 深度解析全量结果表 (201-400行).md
341,289,Cimaroli,is_author_of,Monument to Lord Somers,Confirmed,,作品列表: p.289n。,03-C 深度解析全量结果表 (201-400行).md
342,290,Cimaroli,is_author_of,Monument to Archbishop Tillotson,Confirmed,,作品列表: p.289n。,03-C 深度解析全量结果表 (201-400行).md
343,291,Cimaroli,is_author_of,Monument to William III,Confirmed,,作品列表: p.289n。,03-C 深度解析全量结果表 (201-400行).md
344,293,Cinelli,active_in,Italy,Confirmed,,TCR: p.211n。,03-C 深度解析全量结果表 (201-400行).md
345,294,Matteo da Città di Castello,active_in,Rome,Confirmed,,TCR: p.68。,03-C 深度解析全量结果表 (201-400行).md
346,295,Claude Lorrain,active_in,Rome,Confirmed,,TCR: p.41 17 世纪风景画大师。,03-C 深度解析全量结果表 (201-400行).md
347,296,Claude Lorrain,is_patronized_by,Lorenzo Onofrio Colonna,Confirmed,,TCR: p.155 长期核心赞助关系。,03-C 深度解析全量结果表 (201-400行).md
348,297,Claude Lorrain,is_patronized_by,Camillo Massimi,Confirmed,,TCR: p.116 学术型赞助。,03-C 深度解析全量结果表 (201-400行).md
349,298,Claude Lorrain,is_patronized_by,King of Spain,Confirmed,,TCR: p.172。,03-C 深度解析全量结果表 (201-400行).md
350,299,Claude Lorrain,is_patronized_by,Urban VIII,Confirmed,,TCR: p.49 教皇委任。,03-C 深度解析全量结果表 (201-400行).md
351,300,Claude Lorrain,is_author_of,Argus guarding Io,Confirmed,,作品列表: p.116。,03-C 深度解析全量结果表 (201-400行).md
352,301,Claude Lorrain,is_author_of,Ascanius shooting the Stag,Confirmed,,作品列表: p.156。,03-C 深度解析全量结果表 (201-400行).md
353,302,Claude Lorrain,is_author_of,Castel Gandolfo View,Confirmed,,作品列表: p.49。,03-C 深度解析全量结果表 (201-400行).md
354,304,Claude Lorrain,is_author_of,Coast View with Perseus,Confirmed,,作品列表: p.118。,03-C 深度解析全量结果表 (201-400行).md
355,305,Claude Lorrain,is_author_of,Enchanted Castle,Confirmed,,作品列表: p.156。,03-C 深度解析全量结果表 (201-400行).md
356,306,Claude Lorrain,is_author_of,Flight into Egypt,Confirmed,,作品列表: p.182。,03-C 深度解析全量结果表 (201-400行).md
357,307,Claude Lorrain,is_author_of,Landing of Aeneas,Confirmed,,作品列表: p.162。,03-C 深度解析全量结果表 (201-400行).md
358,309,Claude Lorrain,is_author_of,Landscape with Rural Dance,Confirmed,,作品列表: p.49n。,03-C 深度解析全量结果表 (201-400行).md
359,311,Claude Lorrain,is_author_of,Sacrifice to Apollo,Confirmed,,作品列表: p.162。,03-C 深度解析全量结果表 (201-400行).md
360,312,Claude Lorrain,is_author_of,Santa Marinella,Confirmed,,作品列表: p.49n。,03-C 深度解析全量结果表 (201-400行).md
361,313,Claude Lorrain,is_author_of,Seaports Series,Confirmed,,作品列表: p.41n 核心名作群。,03-C 深度解析全量结果表 (201-400行).md
362,314,Claude Lorrain,is_author_of,Storm at Sea,Confirmed,,作品列表: p.97 锁定布拉恰诺公爵委任。,03-C 深度解析全量结果表 (201-400行).md
363,314,Paolo Giordano II Orsini,is_patron_of,Claude Lorrain,Confirmed,,社交映射: 跨国跨阶层订单。,03-C 深度解析全量结果表 (201-400行).md
364,315,Claude Lorrain,is_author_of,View of Delphi,Confirmed,,作品列表: p.118。,03-C 深度解析全量结果表 (201-400行).md
